video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715642262.webp","Vince Staples - Norf Norf","Vince Staples - Norf Norf (2015)","The music video for ""Norf Norf"" by Vince Staples, released in 2015, features documentary-style footage that portrays the harsh realities of life in North Long Beach, California. Through scenes of Vince in a police car and visuals of his neighborhood, the video underscores the song's themes of systemic injustice and police brutality.","Spike Jordan, Vince Staples","","","INTERIOR | BLACK AND WHITE | POLICE | COPS | JAIL | ARRESTED | PRISON | VINCE STAPLES | INTERROGATION | POLICE OFFICERS","Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715643438.webp","Oblé Reed - WESTON.","Oblé Reed - WESTON. (2023)","","Nash Pearson","","","","Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700309.webp","Hunger Games: Catching Fire","Hunger Games: Catching Fire (2013)","","Alan Edward Bell","Jo Willems","","WATER | WOMAN | GREEN | NATURE | ARC SHOT | EXTERIOR | TREES | HUNGER GAMES | OUTSIDE | JENNIFER LAWRENCE","Action | Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700412.webp","Deliveroo - The Arrival","Deliveroo - The Arrival (2022)","A woman receives a Deliveroo order, prepares her table with royal china, and savors a burger, culminating with the tagline ""Food. We get it.""","Trim Editing","Patrick Meller","Tom Mangham","INTERIOR | NATURAL LIGHT | DOLLY IN | HOME | THE ARRIVAL | TAKE OUT | ARRIVAL | TABLE | DOLLY | BURGER","Probe | Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700133.webp","Instagram - Coeur Sur Toi","Instagram - Coeur Sur Toi (2019)","","CANADA, Nicolás Méndez","","","DAY | RED | WALKING | OUTDOORS | SKY | EXTERIOR | SHOES | HEADPHONES | SHIRT | SUNNY | CITY | DAY TIME | DAYTIME | CONCRETE | INSTAGRAM | SOCKS | WALK","Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700390.webp","Unknown Source","Unknown Source","","","","","RED | WHITE | WOMAN | DRIVING | NIGHT | NIGHTTIME | NIGHT TIME | WHITE PANTS | HANDHELD | UPSIDE DOWN | RAIN | CAMERA ROTATE | PAVEMENT | HANDS","Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704107201.webp","Sub Urban - UH OH! (feat. BENEE)","Sub Urban - UH OH! (feat. BENEE) (2022)","","Erin McCaffrey, Rock Paper Scissors, Sebastian Zotoff","Kristian Zuniga","Company 3, Matt Osborne","INTERIOR | 35MM | PHONE | KODAK | POLICE OFFICER | CALL","Ratio Switch | Split Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539891.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Fast Motion | Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700344.webp","Source Unknown","Source Unknown","","","","","WHITE | WOMAN | RESTAURANT | BAR | COUPLE | BEERS | 3 SHOT | DRINKING | MARTINI | ASPECT RATIO","Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715641301.webp","Vince Staples - Norf Norf","Vince Staples - Norf Norf (2015)","The music video for ""Norf Norf"" by Vince Staples, released in 2015, features documentary-style footage that portrays the harsh realities of life in North Long Beach, California. Through scenes of Vince in a police car and visuals of his neighborhood, the video underscores the song's themes of systemic injustice and police brutality.","Spike Jordan, Vince Staples","","","DAY | CAR | BLACK AND WHITE | EXTERIOR | POLICE | ARRESTED | SERIOUS | VINCE STAPLES","Intensity | Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700218.webp","Mommy","Mommy (2014)","In this shot, the character breaks the fourth wall by pushing the aspect ratio wider.","Xavier Dolan","André Turpin","Michael Haeley","MALE | WHITE | BLONDE | HEADPHONES | ASPECT RATIO | PILON | ANTOINE OLIVIER PILON | GRIMACE | STEVE DESPRÉS | OLIVIER PILON | WINCE","Fourth Wall | Frame play | Ratio Switch"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704107162.webp","Sub Urban - UH OH! (feat. BENEE)","Sub Urban - UH OH! (feat. BENEE) (2022)","","Erin McCaffrey, Rock Paper Scissors, Sebastian Zotoff","Kristian Zuniga","Company 3, Matt Osborne","INTERIOR | 35MM | PHONE | KODAK | POLICE OFFICER | CALL","Ratio Switch | Split Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700440.webp","Unknown Source","Unknown Source","","","","","WHITE | JACKET | RESTAURANT | NIGHT | NIGHTTIME | NIGHT TIME | PANTS | ASPECT RATIO SWITCH | NEON | SKATING | SKATEBOARD","Ratio Switch"
