video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704507761.webp","Clip from Mikhail Parkhomenko","Clip from Mikhail Parkhomenko","","Mikhail Parkhomenko (parh0)","","","CAR | INTERIOR | STUDIO | GREEN SCREEN","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700697.webp","@actionvfx / Giphy","@actionvfx / Giphy","","","","","MALE | EXPLOSION | BLUE SKY | VFX | BREAKDOWN | SUIT | SUNNY | FIRE | WIDE SHOT | DAY TIME | TOWN | DAYTIME | SMALL TOWN","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703403949.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. We'd identify this clip as a pedestal shot VFX breakdown. As we ascend higher, the post-production begins to fall away until all that is left is the studio it was shot in.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","STUDIO | VFX | BREAKDOWN | GREEN SCREEN","BTS | Pedestal"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702982231.webp","Star Wars: Force Awakens (Breakdown)","Star Wars: Force Awakens (Breakdown) (2015)","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Maryann Brandon, Mary Jo Markey","Dan Mindel","Juan Ignacio Cabrera","DAY | VFX | BREAKDOWN | EXTERIOR | JJ ABRAMS | STAR WARS | SPACE SHIP","BTS"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708474559.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","DAY | EXTERIOR | GREEN SCREEN | EDITING | PARACHUTING","BTS | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708474105.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","DANCING | GREEN SCREEN | EDITING","Background replacement | BTS | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702700631.webp","@actionvfx / Giphy","@actionvfx / Giphy","","","","","CAR | WARM | VFX | BREAKDOWN | NIGHT TIME | ORANGE | HEADLIGHTS | RAINING","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702701232.webp","Harry Potter and the Prisoner of Azkaban (Breakdown)","Harry Potter and the Prisoner of Azkaban (Breakdown) (2004)","Harry Potter and the Prisoner of Azkaban (Breakdown) (2004)","Steven Weisberg","Michael Seresin","Mel Kangleon","VFX | HARRY POTTER | AZKABAN | BREAKDOWN | SNITCH | GREEN SCREEN | BROOMSTICK | DANIEL RADCLIFFE","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702701130.webp","The Shape of Water (Breakdown)","The Shape of Water (Breakdown) (2017)","","Sidney Wolinsky","Dan Laustsen","","WATER | SKY | VFX | BREAKDOWN | CLOUDS | REFLECTION | SHAPE OF WATER | GUILLERMO DEL TORO | CITY","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703055180.webp","Nope","Nope (2022)","The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.","Nicholas Monsour","Hoyte van Hoytema","Company 3, Greg Fisher","DAY | VFX | BREAKDOWN | GREEN SCREEN | 65MM | PANAVISION 65 HR | PANAVISION SYSTEM 65M | DANIEL KALUUYA | 2020S | GREG FISHER | HOYTE VAN HOYTEMA | COMPANY 3 | NICHOLAS MONSOUR | JORDAN PEELE","BTS"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711433463.webp","Yung Jake - Unfollow","Yung Jake - Unfollow (2014)","""Unfollow"" by Yung Jake, presented on MOCAtv, explores the challenge of moving on from a past relationship in the digital era, emphasizing the difficulty of severing ties through social media. The music video captures the emotional turmoil and the haunting presence of past memories amplified by social media feeds. It artistically portrays the struggle of detaching from a former partner in a world where digital connections persistently remind one of the past.","Yung Jake","Temra Pavlovic","","PHOTOSHOP","BTS | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708473082.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","PLANE | LIL NAS X | EDITING | STOCK FOOTAGE","Background replacement | BTS | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702701052.webp","The Martian","The Martian (2015)","","Pietro Scalia","Dariusz Wolski","","OUTDOORS | EXTERIOR | SPACESUIT | SPACE SUIT | GREEN SCREEN | MATT DAMON | MARS","BTS"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702982429.webp","Star Wars: The Last Jedi (Breakdown)","Star Wars: The Last Jedi (Breakdown) (2017)","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.","Bob Ducsay","Steve Yedlin","Walter Volpatto","","BTS"
