video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711247530.webp","Audrey Nuna - Cellulite","Audrey Nuna - Cellulite (2023)","Audrey Nuna's ""Cellulite"" music video, directed by Zac Dov, is a vivid narrative of self-liberation and defiance, drawing inspiration from icons like the Pharcyde and Missy Elliott. The video visually represents Nuna's personal theme of overcoming constraints, symbolized by motifs of flying and motion, reflecting her introspective yet rebellious spirit. It's a cinematic portrayal of cutting out life's ""toxic fat,"" aiming to resonate with viewers on a journey of spiritual unburdening.","Zac Dov Wiesel","Gabe Knoos-Newton","Brian Niles","WOMAN | MUSIC VIDEO | NIGHT | EXTERIOR","Camera Roll"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707686352.webp","Casino","Casino (1995)","In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Thelma Schoonmaker","Robert Richardson","John Gardiner","TWO SHOT | EXTERIOR","1990s | Camera Roll | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705432933.webp","Pa Salieu - My Family feat BackRoad Gee","Pa Salieu - My Family feat BackRoad Gee (2020)","","Femi Ladi","Stefan Yap","","BLACK AND WHITE","Camera Roll | Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711254690.webp","Coach - Life Has Different Paths","Coach - Life Has Different Paths (2024)","","Nik Valentin","Pat Aldinger","Marina Starke","WOMAN | MIRROR | REFLECTION | ELEVATOR | DROSTE","Camera Roll"
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704508408.webp","Clip from Mikhail Parkhomenko","Clip from Mikhail Parkhomenko","","Mikhail Parkhomenko (parh0)","","","ROAD | NIGHT | DARK | DRONE | SODIUM | CARS | HIGHWAY | FPV","Aerial | Camera Roll | FPV Drone"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704077112.webp","Ford Kuga - Levels","Ford Kuga - Levels (2021)","Daniel Warwick invites us on an otherworldly virtual reality journey with Ford. Shot breakdown: Camera roll + Datamosh","Alex Jurkat","Ekkehart Pollack","Mike Bothe","DAY | CAR | FORD | ROAD | EXTERIOR | TRACKING","Camera Roll | Datamosh"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705435201.webp","Polo G - GNF (OKOKOK)","Polo G - GNF (OKOKOK) (2021)","","Cole Bennett","Garry Torrance","","BROWN | BEIGE | HALLWAY","Camera Roll | Roll Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702701508.webp","The North Face x Gucci presented by Highsnobiety","The North Face x Gucci presented by Highsnobiety (2021)","The North Face x Gucci presented by Highsnobiety (2021)","Rich Woolway","Luke C. Harper","Rich Fearon","SPIN | ROLL | CAMERA ROLL | NORTH FACE | FIELD | FIONA JANE | HIGHSNOBIETY | GUCCI","Camera Roll"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702701757.webp","Fujifilm - Give Instax","Fujifilm - Give Instax (2021)","","Kat Webber","","","WOMAN | SPIN | WOMEN | PURPLE | COLORFUL | ROLL | CAMERA ROLL | INSTANT CAMERA | MAGNIFYING GLASS | TAKING PICUTRE | FUJIFILM","Camera Roll"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708476240.webp",":aexattack - Next Year",":aexattack - Next Year (2021)","","Jetski","","","DAY | EXTERIOR | ROOF | DRUMMER | DRUM SET | DRUMMING","Camera Roll"
