video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/31/261704025107.webp","Kevin Burg & Jamie Beck for Amazon","Kevin Burg & Jamie Beck for Amazon","Cinemagraphs are a mesmerizing visual medium that combines a static image with subtle, isolated movements, creating an immersive and captivating experience.","Kevin Burg & Jamie Beck","","","INTERIOR | MUTED | FULL SHOT | DIRECT ADDRESS","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702703087.webp","The Life Aquatic with Steve Zissou","The Life Aquatic with Steve Zissou (2004)","With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","David Moritz","Robert Yeoman","","WATER | UNDERWATER | WARM | WES ANDERSON | INTERIOR | OCEAN | BEANIE | ORCA | SYMMETRICAL | BILL MURRAY | LIFE AQUATIC | APPLE","1970s | Adventure | Central Framing | Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702702761.webp","Original Source: Till The End Of The Moon","Original Source: Till The End Of The Moon (2023)","","Kuk Kok-Leung Wang Haiqi","","","RED | INTERIOR | DRESS | SURREALIST | WIND | HAIQI | SMOKE","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261704025383.webp","Jamie Beck and Kevin Burg for Harpers Bazaar","Jamie Beck and Kevin Burg for Harpers Bazaar (2016)","Cinemagraphs are a mesmerizing visual medium that combines a static image with subtle, isolated movements, creating an immersive and captivating experience.","Kevin Burg & Jamie Beck","","","WOMAN | GREEN | NATURE | WEDDING | DRESS | MEDIUM | FLORAL | FLOWERS | DIRECT ADDRESS","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704070605.webp","Léon","Léon (1994)","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Sylvie Landra","Thierry Arbogast","Bruno Patin","INTERIOR | MUTED | KITCHEN | JEAN RENO","1990s | Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071547.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","OVERHEAD | HIGH ANGLE | BOOK | PEDALS | TEA","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709960094.webp","The Tragedy of Macbeth","The Tragedy of Macbeth (2021)","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.","Lucian Johnston","Bruno Delbonnel","","BLACK AND WHITE","Cinemagraph | Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709533443.webp","Cinemagraph","Cinemagraph (2014)","","Julien Douvier","","","BLACK AND WHITE | SMOKE | CHIMNEY","Cinemagraph | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071823.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","INTERIOR | KITCHEN | POUR | SPOON | HONEY","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071955.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","NIGHT | INTERIOR | BED | BOOK | CANDLE | MAGIC","Cinemagraph | Levitation | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709960187.webp","The Tragedy of Macbeth","The Tragedy of Macbeth (2021)","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.","Lucian Johnston","Bruno Delbonnel","","WATER | BLACK AND WHITE","Cinemagraph | Middle Ages"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709533288.webp","Cinemagraph","Cinemagraph (2014)","","Julien Douvier","","","DAY | WATER | BLACK AND WHITE | EXTERIOR | RIVER | UMBRELLA | CANAL","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071509.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","DARK | DRINK | FOOD | COOKING | SPOON","Cinemagraph | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261704026169.webp","Joy","Joy (2015)","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.","Alan Baumgarten, Christopher Tellefsen, Jay Cassidy (Editor), Tom Cross","Linus Sandgren","Stephen Nakamura","DAY | EXTERIOR | JENNIFER LAWRENCE | SNOWING | SUNGLASSES","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071615.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","OVERHEAD | BOOK | LEAVES | TEA | LIME | PIE","Cinemagraph | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071058.webp","Memories of Murder","Memories of Murder (2003)","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Sun-min Kim","Kim Hyung-ku","Yong-gi Lee","INTERIOR | TWO SHOT","2000s | Cinemagraph | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709960114.webp","The Tragedy of Macbeth","The Tragedy of Macbeth (2021)","A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.","Lucian Johnston","Bruno Delbonnel","","BLACK AND WHITE","Cinemagraph | Middle Ages"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702702658.webp","Golden Exits","Golden Exits (2017)","","Robert Greene","Sean Price Williams","","WOMAN | WIND | EXTERIOR | 2010S | STAIRS | BROWNSTONE | GOLDEN EXITS | 10S | BROWN | BEIGE","Cinemagraph"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710312965.webp","New York Cinemagraph","New York Cinemagraph (2017)","","","","","DAY | TAXI | EXTERIOR | CITY | NEW YORK CITY","Cinemagraph | Reflections"
