video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708403082.webp","Talladega Nights: The Ballad of Ricky Bobby","Talladega Nights: The Ballad of Ricky Bobby (2006)","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","Brent White","Oliver Wood","Joe Finley","RACING | INTERIOR | STADIUM | NASCAR | RACETRACK | RACE CAR","Close-Up"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704110821.webp","Fear and Loathing in Las Vegas","Fear and Loathing in Las Vegas (1999)","An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.","Lesley Walker","Nicola Pecorini","","NIGHT | EXTERIOR | 1990S | 35MM | SUPER 35 | SPHERICAL | ARRIFLEX 35 IIA | ARRIFLEX BL4 | ZEISS STANDARD PRIMES","1990s | Close-Up"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710315461.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","HAND | IPHONE | SCREEN | TEXTING","Close-Up | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455130.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","FACE | COOL WHITE | PATRICIA ARQUETTE","Close-Up | Confusion | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686611.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","INTERIOR | DANCING | RECORD | VINYL | CHOREOGRAPHY | CLOSE-UP","Close-Up | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717742460.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024) | WOMAN | CLOSE UP","Close-Up | Crash Dolly"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706175220.webp","Silo (TV Series)","Silo (TV Series) (2023)","Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.","Alexis Seymour, Asher Thornton, Darren Tucker, Matt Davies, Sara Hutchinson","Baz Irvine, David Luther, Ed Moore, James Layton, Laurie Rose, Mark Patten, Ollie Downey","Charbel Semaan","WOMAN | INTERIOR | FACE | BEIGE | SILO","Close-Up | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707022423.webp","Top Gun: Maverick","Top Gun: Maverick (2022)","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Chris Lebenzon, Eddie Hamilton","Claudio Miranda","Adam Nazarenko, Stefan Sonnenfeld","","Close-Up | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/27/261706399869.webp","Bourne - Ere We Go","Bourne - Ere We Go (2022)","Gritty music video for artist Bourne, from directing duo Truman & Cooper","Simon Colin","Adolpho Veloso","Mathieu Caplanne","INTERIOR | PROFILE | ORANGE | SWEATING","Close-Up | Handheld"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711140017.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","MALE | EXTERIOR | DOOR | FIRE | FLAME | LIGHTER","Altered state | Close-Up | Drug trip | Fisheye"
