video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/10/3_HV1C4dz/04d030e8fdda3d3c305c0a42d3be7a21.gif","The Gentlemen (TV Series)","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_2490c9a8231619c395dfb26f56903687_ccd7655c_540/cb7fa90e3cf7500266c4c46c23910960.gif","Top Gun: Maverick","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/09/12/261726175597.webp","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","CAR | MUSIC VIDEO | DRIFTING | DUST | MOROCCO | STUNT","Cut-ins | High Angle | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704075342.webp","Ford Kuga - Levels","Ford Kuga - Levels (2021)","Daniel Warwick invites us on an otherworldly virtual reality journey with Ford.","Alex Jurkat","Ekkehart Pollack","Mike Bothe","NIGHT | DARK | SPOTLIGHT | WIDE | CAR LIGHT","Cut-ins"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707642984.webp","Into the Ring (TV Series)","Into the Ring (TV Series) (2020)","A dirt-born character chooses to join politics over getting a job and punishing rogue politicians with an elite official.","","","","WOMAN | INTERIOR","Cut-ins | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705030926.webp","Unknown T - Hocus Pocus Feat. Loyle Carner","Unknown T - Hocus Pocus Feat. Loyle Carner (2023)","","Fouad Gaber","Anna Smoroňová","Marina Starke","DAY | GOLD | GREEN | EXTERIOR | PUTTING","Cut-ins | High Angle"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715814201.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","DAY | BEACH | WOMEN | GROUP | SUNNY | TAN | SUN | SUMMER | TANNING | SURFBOARDS","1960s | Central Framing | Choreo | Cut-ins | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/09/12/261726175068.webp","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","CAR | MUSIC VIDEO | GROUP | ROOF | DESERT | MOROCCO","Cut-ins"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709017710.webp","Sheck Wes, JID & Ski Mask The Slump God - Fly Away","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Cole Bennett","Franklin Ricart","Josh Bohoskey","DAY | MALE | CLOSE UP | NIGHT | EXTERIOR | DESERT | ALL IS YELLOW","Cut-ins | Yo-Yo Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703403762.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. We'd identify this clip as a VTR glitch bringing us into a conveyor shot cut-in.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","NIGHT | EXTERIOR | SODIUM | WARM WHITE","Conveyor | Cut-ins | Feedback"
