video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/11/Joao_Borsch_-_Apaz_7zjNg3N/9369e0144d0a00ac8c6f9c8b7e3ad491.gif","João Borsch - Apaz","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703924303.webp","slowthai - Yum","slowthai - Yum (2023)","Shot breakdown: x-axis arc trip shot + double exposure","John Holloway","Jack Exton","","NIGHT | BLUE | EXTERIOR | DARK | SODIUM LIGHT | SNOWING","Altered state | Arc | Double Exposure | Drug trip | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455372.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","GREEN | INTERIOR | DARK | CYAN | ADAM SCOTT | NORA DALE","Double Exposure | Two Shot"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703390482.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","RED | CHANGING ROOM","Double Exposure | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706152181.webp","Cat People","Cat People (1982)","A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.","Jacqueline Cambas, Jere Huggins, Ned Humphreys","John Bailey","","BLACK AND WHITE | CAT","Double Exposure"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703234033.webp","Animation by Matthias Brown","Animation by Matthias Brown","","Matthias Brown (TraceLoops)","","","CLOSE UP | FACE | BLACK AND WHITE | DARK | PHOTOGRAPHY","Arc | Double Exposure | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704916887.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","RED | DOUBLE EXPOSURE | SURREAL | PROFILE","Double Exposure | Echo print | Light Flash | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455258.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","INTERIOR | WARM WHITE | ADAM SCOTT","Double Exposure"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707008836.webp","Untitled Animation","Untitled Animation (2020)","","Fuzzy Ghost","","","","Concern | Double Exposure | Vintage Graphics"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704334033.webp","Source unknown","Source unknown","","","","","DAY | EXTERIOR","Double Exposure"
