video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705180916.webp","Source unknown","Source unknown","","","","","FACE | PORTRAIT","Duplication | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705181133.webp","Cartier - Yvan Fabing","Cartier - Yvan Fabing (2021)","","Yvan Fabing","","","INTERIOR | FLASH | CAMERA","Duplication | Freeze Frame"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708420385.webp","AJR - The DJ Is Crying For Help","AJR - The DJ Is Crying For Help (2022)","Directed by Austin Roa and released on November 18, 2022. The video was filmed in Paris during a cloudy day off from AJR's Europe tour and features the band running through the city, most notably in front of the Eiffel Tower.","Austin Roa","","","DAY | EXTERIOR | SITTING","Duplication | Echo print"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705288057.webp","Squarespace - The Singularity","Squarespace - The Singularity (2023)","Squarespace's award-winning Super Bowl commercial, directed by Aoife McArdle and featuring Adam Driver. In the commercial, actor Adam Driver ponders the infinite possibilities of a website selling websites.","Dan Sherwen","Khalid Mohtaseb","George Kyriacou","DUSK | EXTERIOR | DESERT | ADAM DRIVER | ECLIPSE","Duplication | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705289907.webp","Moncler x Will Smith - Genius is Born Crazy","Moncler x Will Smith - Genius is Born Crazy (2019)","Campaign for the collaboration between fashion label Moncler and actor Will Smith","","","","YELLOW | WILL SMITH","Duplication | Light Void"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705127145.webp","Atlantic - Typecast","Atlantic - Typecast (2018)","","Gavin Cutler","Maryse Alberti","","HOUSE | INTERIOR | MICHAEL K WILLIAMS","Duplication"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708420589.webp","AJR - The DJ Is Crying For Help","AJR - The DJ Is Crying For Help (2022)","Directed by Austin Roa and released on November 18, 2022. The video was filmed in Paris during a cloudy day off from AJR's Europe tour and features the band running through the city, most notably in front of the Eiffel Tower.","Austin Roa","","","DAY | RUNNING | EXTERIOR | PARIS","Duplication | Echo print | Trucking"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715295034.webp","Shit Robot ""Take 'Em Up""","Shit Robot ""Take 'Em Up"" (2010)","The music video for ""Take 'Em Up"" by Shit Robot, featuring Nancy Whang, merges retro and modern visuals to create a vibrant, psychedelic effect. Set against an electro-disco track, the video shows characters in colorful 80s outfits moving through surreal cityscapes with playful animations and dynamic edits, enhancing the song's upbeat rhythm. Rotoscoping by Magdelena Turnier, Jairo Neto, Camilo Rosas, Brett Bittner, Atsushi Yamamoto, Eoin Whelehan and Chris Mooney. Contributed by Till Brokhausen.","Eoghan Kidney","","","DAY | WOMAN | WALKING | EXTERIOR","Duplication"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705288265.webp","Squarespace - The Singularity","Squarespace - The Singularity (2023)","Squarespace's award-winning Super Bowl commercial, directed by Aoife McArdle and featuring Adam Driver. In the commercial, actor Adam Driver ponders the infinite possibilities of a website selling websites.","Dan Sherwen","Khalid Mohtaseb","George Kyriacou","DUSK | EXTERIOR | DESERT | SUNGLASSES | ADAM DRIVER | ECLIPSE","Duplication"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705284835.webp","Clip by Erdal Inci","Clip by Erdal Inci (2013)","Erdal Inci is an artist from Istanbul known for their surrealist art that pulls heavily from realistic situations, and then adds a touch of surrealism to them.","Erdal Inci","","","DAY | GROUP | EXTERIOR | CIRCLE","Duplication | High Angle"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715294987.webp","Shit Robot ""Take 'Em Up""","Shit Robot ""Take 'Em Up"" (2010)","The music video for ""Take 'Em Up"" by Shit Robot, featuring Nancy Whang, merges retro and modern visuals to create a vibrant, psychedelic effect. Set against an electro-disco track, the video shows characters in colorful 80s outfits moving through surreal cityscapes with playful animations and dynamic edits, enhancing the song's upbeat rhythm. Rotoscoping by Magdelena Turnier, Jairo Neto, Camilo Rosas, Brett Bittner, Atsushi Yamamoto, Eoin Whelehan and Chris Mooney. Contributed by Till Brokhausen.","Eoghan Kidney","","","WOMAN | WALKING | EXTERIOR","Duplication"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705289284.webp","Squarespace - The Singularity","Squarespace - The Singularity (2023)","Squarespace's award-winning Super Bowl commercial, directed by Aoife McArdle and featuring Adam Driver. In the commercial, actor Adam Driver ponders the infinite possibilities of a website selling websites.","Dan Sherwen","Khalid Mohtaseb","George Kyriacou","WALKING | INTERIOR | DOOR | BATHROOM | SET | ADAM DRIVER | BTS | BACKSTAGE | BEHIND THE SCENES","Duplication"
