video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703369912.webp","PeeWee's Big Adventure","PeeWee's Big Adventure (1985)","When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.","Billy Weber","Victor J. Kemper","Richard Garibaldi","DAY | EXTERIOR | PANAVISION | SCARY | HORROR | 35MM | CLOWN","1980s | Campy | Dutch Angle | Fear"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709544778.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","BLUE","Dutch Angle | Light Flash"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703730392.webp","Evil Dead Rise","Evil Dead Rise (2023)","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable. Stunning use of a split-diopter lens throughout the film. Shot breakdown: Dutch angle ground shot + split diopter lens + close up.","Bryan Shaw","Dave Garbett","Gary Curran","INTERIOR | ANAMORPHIC | 2020S | ARRI ALEXA MINI LF | PANAVISION LENSES | PANAVISION ULTRA SPEED MKII | PANAVISION ULTRA PANATAR LENSES | PANAVISION G SERIES","Close-Up | Dutch Angle | Ground Level | Split Diopter"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709545789.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","WOMAN | INTERIOR | DARK","Dutch Angle | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/03/10/261710034558.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","David Webb","Bjorn Charpentier","","INTERIOR","Dutch Angle | Low Angle"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703390482.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","RED | CHANGING ROOM","Double Exposure | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709021613.webp","Festival of Slaps","Festival of Slaps (2023)","A new action packed short film straight from the palms of a Nigerian mother who on one fateful night, serves her son a set of slaps so powerful that it changes his life forever. Full of twist and turns this film celebrates the most neglected heroes of today: Black Mums.","André Rodrigues, Marvin Jay Alvarez","Anna Macdonald","Jason Wallis","NIGHT | INTERIOR | HALLWAY","Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704082511.webp","Do the Right Thing","Do the Right Thing (1989)","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence. Shot breakdown: Close up dutch angle.","Barry Alexander Brown","Ernest R. Dickerson","Bob Hagans, John Nicolard","DAY | CLOSE UP | EXTERIOR | FILM | 1980S | NEW YORK CITY | BROOKLYN | 35MM | ARRIFLEX BL4","1980s | Close-Up | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706155331.webp","Tetsuo: The Iron Man","Tetsuo: The Iron Man (1989)","A businessman accidentally kills The Metal Fetishist, who gets his revenge by slowly turning the man into a grotesque hybrid of flesh and rusty metal.","Shinya Tsukamoto","Kei Fujiwara","","BLACK AND WHITE","Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706086797.webp","Chungking Express","Chungking Express (1994)","Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents. Shot on Agfa stock and XT320 cameras.","Chi-Leung Kwong, Hai Kit-Wai, William Chang","Andrew Lau, Christopher Doyle","Joe Gawler","DAY | INTERIOR | TRAIN | SINGLE SHOT","Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703390480.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","RED | CHANGING ROOM","Double Exposure | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705107780.webp","Doechii - Crazy","Doechii - Crazy (2023)","","Armen Harootun","Mika Altskan","","RED | WOMAN | INTERIOR","Color Shift | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703920812.webp","Quavo x Takeoff - Hotel Lobby","Quavo x Takeoff - Hotel Lobby (2022)","Quavo and Takeoff go on a drug-fueled trip through the desert of Nevada and the streets of Las Vegas. Shot breakdown: high-angle dutch trip shot","Keemotion., Quavo","Marcelo Pancote","Arianna Shining Star","HOTEL | INTERIOR | HALLWAY | 2020S | K35S | QUAVO | ALEXA MINI LF | YELLOW WHITE","Altered state | Drug trip | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704082657.webp","Do the Right Thing","Do the Right Thing (1989)","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence. Shot breakdown: Dutch angle dolly out.","Barry Alexander Brown","Ernest R. Dickerson","Bob Hagans, John Nicolard","INTERIOR | FILM | 1980S | NEW YORK CITY | BROOKLYN | 35MM | ARRIFLEX BL4 | ENTRANCE | GROUP SHOT | DUTCH ANGLE","1980s | Dolly | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710824876.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","WOMAN | RESTAURANT | EATING | TABLE | OLD","Direct address | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704111327.webp","Mission Impossible","Mission Impossible (1996)","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","Paul Hirsch","Stephen H. Burum","Michael Healey","LOW ANGLE | CLOSE UP | INTERIOR | PANAVISION PANAFLEX CAMERA | WESCAM CAMERAS","1990s | Action | Dutch Angle | Intensity"
"https://asset.eyecannndy.com/media/clip/2024/03/05/261709634438.webp","Cowboy Bepop (TV Series)","Cowboy Bepop (TV Series) (2021)","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price. Created by Christopher L. Yost.","Bridget Durnford, Elliot Greenberg","Dave Perkal, Jean-Philippe Gossart, Thomas Burstyn","Bill Ferwerda, Company 3","YELLOW","Dutch Angle | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704111836.webp","12 Monkeys","12 Monkeys (1995)","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Terry Gilliam","Roger Pratt","","INTERIOR | GREY | MUTED | DUTCH ANGLE","1990s | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710826123.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","RESTAURANT | INTERIOR | TABLE","Dutch Angle | Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708403321.webp","Talladega Nights: The Ballad of Ricky Bobby","Talladega Nights: The Ballad of Ricky Bobby (2006)","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","Brent White","Oliver Wood","Joe Finley","RACING | NIGHT | INTERIOR | STADIUM | NASCAR | RACETRACK | RACE CAR | WILL FERRELL","Close-Up | Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715575491.webp","Ariana Grande - Positions","Ariana Grande - Positions (2020)","The music video for Ariana Grande's ""Positions"" creatively alternates between her role as the President in the White House and her personal life, showcasing her handling both leadership responsibilities and domestic bliss with ease and elegance.","Alyssa Oh","Scott Cunningham","Company 3, Stefan Sonnenfeld","NIGHT | EXTERIOR | WHITE HOUSE","Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710576714.webp","Ken Carson - Fighting My Demons","Ken Carson - Fighting My Demons (2023)","The music video for ""Fighting My Demons"" by Ken Carson, directed by Cole Bennett, was released in 2023 and features unique, glitchy visuals. The video presents a series of grainy, 3D footage that gives off the impression of being shot with night-vision goggles, offering a surreal viewing experience. It mainly showcases Ken Carson partying and performing his lyrics, creating a montage that aligns with the song's themes. The video's eerie and dark aesthetics were noted for drawing inspiration from the style of 1990s Japanese cinema, culminating in a profound, existential moment where Ken faces a haunting black void, adding depth and narrative to the visual experience.","Cole Bennett","Franklin Ricart","Loren White","ROOM","Dutch Angle | Security footage"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706086563.webp","Chungking Express","Chungking Express (1994)","Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents. Shot on Agfa stock and XT320 cameras.","Chi-Leung Kwong, Hai Kit-Wai, William Chang","Andrew Lau, Christopher Doyle","Joe Gawler","BLACK AND WHITE | PHONE | DUTCH | CALL | TELEPHONE","Dutch Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704082452.webp","Do the Right Thing","Do the Right Thing (1989)","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence. Shot breakdown: Low angle dutch.","Barry Alexander Brown","Ernest R. Dickerson","Bob Hagans, John Nicolard","DAY | EXTERIOR | FILM | 1980S | NEW YORK CITY | BROOKLYN | 35MM | DUTCH | ARRIFLEX BL4","1980s | Dutch Angle | Low Angle"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703730065.webp","Evil Dead Rise","Evil Dead Rise (2023)","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable. Stunning use of a split-diopter lens throughout the film.","Bryan Shaw","Dave Garbett","Gary Curran","INTERIOR | ANAMORPHIC | 2020S | ARRI ALEXA MINI LF | PANAVISION LENSES | PANAVISION ULTRA SPEED MKII | PANAVISION ULTRA PANATAR LENSES | PANAVISION G SERIES","Dutch Angle | Split Diopter"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704111640.webp","St. Louis City FC - The City Kit Is Here","St. Louis City FC - The City Kit Is Here (2022)","","Bruton Stroube","","","DAY | SPORTS | EXTERIOR | SOCCER","Dutch Angle"
