video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611880.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","SHOWER | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | VR HEADSET","Dystopian | Slow Motion | Suggestive"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711351837.webp","Tiny Fallout New Vegas by Flurdeh","Tiny Fallout New Vegas by Flurdeh (2021)","Flurdeh specializes in applying a ""tilt-shift"" effect to video games, transforming their expansive 3D environments into charming miniature dioramas. The videos share common features such as accelerated animations and a lower framerate, enhancing their resemblance to stop-motion animation rather than modern video game footage.","Kevin Hensen","","","DAY | FALLOUT | POSTAPOCALYPTIC","Dystopian | Tilt Shift | Video Game"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611833.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","HALLWAY | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO","Away from Camera | Dystopian | Slow Motion | Suggestive | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611586.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WATER | WALKING | NEON | WET | TUNNEL | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | SEWER | DARKNESS | UNDERGROUND","Dystopian | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710612020.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO","Dystopian | Unsettling"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716333832.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","DAY | DUSK | BRIDGE | EXTERIOR | FLARE","Dystopian | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611098.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","SHOES | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | DYSTOPIAN","Dystopian | Ground Level | Product | Product: Shoes"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716333868.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","DAY | MALE | DUSK | EXTERIOR | FLARE","Dystopian"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611949.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WOMAN | BLUE | INTERIOR | HALLWAY | FOG | HAZE | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | DIM","Dystopian | Silhouette | Towards camera | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716333938.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","GROUP | ANGRY | MOB | SHOUTING | ANGRY MOM","Action | Dystopian | Handheld"
