video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708420385.webp","AJR - The DJ Is Crying For Help","AJR - The DJ Is Crying For Help (2022)","Directed by Austin Roa and released on November 18, 2022. The video was filmed in Paris during a cloudy day off from AJR's Europe tour and features the band running through the city, most notably in front of the Eiffel Tower.","Austin Roa","","","DAY | EXTERIOR | SITTING","Duplication | Echo print"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715295068.webp","Shit Robot ""Take 'Em Up""","Shit Robot ""Take 'Em Up"" (2010)","The music video for ""Take 'Em Up"" by Shit Robot, featuring Nancy Whang, merges retro and modern visuals to create a vibrant, psychedelic effect. Set against an electro-disco track, the video shows characters in colorful 80s outfits moving through surreal cityscapes with playful animations and dynamic edits, enhancing the song's upbeat rhythm. Rotoscoping by Magdelena Turnier, Jairo Neto, Camilo Rosas, Brett Bittner, Atsushi Yamamoto, Eoin Whelehan and Chris Mooney. Contributed by Till Brokhausen.","Eoghan Kidney","","","DAY | WOMAN | WALKING | EXTERIOR","Echo print"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165149.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | VICTORIA MONET | GLITTER","Choreo | Echo print"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860743.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | OCEAN | POLAROID | SURFING | STOP MOTION","Duplication | Echo print | Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708333800.webp","Dua Lipa - Training Season","Dua Lipa - Training Season (2024)","In the ""Training Season"" video, Dua Lipa remains composed at a cafe, surrounded by gawking men taking photos of her. The song's inspiration, as shared by Lipa, stemmed from a series of bad dates, leading her to declare the end of her ""training season"" and shaping the song with songwriters Caroline Ailin and Tobias Jesso Jr.","Julie Levy","Rina Yang","Dante Pasquinelli","MOTION BLUR | RESTAURANT | INTERIOR","Echo print | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261704023962.webp","slowthai - Yum","slowthai - Yum (2023)","","John Holloway","Jack Exton","","","Altered state | Arc | Drug trip | Echo print | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710452170.webp","Empimic - Bittere Welt","Empimic - Bittere Welt (2021)","","Angelo Kovatchev","","","MALE | FACE | BLACK AND WHITE","Distortions | Drug trip | Echo print"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715294671.webp","Shit Robot ""Take 'Em Up""","Shit Robot ""Take 'Em Up"" (2010)","The music video for ""Take 'Em Up"" by Shit Robot, featuring Nancy Whang, merges retro and modern visuals to create a vibrant, psychedelic effect. Set against an electro-disco track, the video shows characters in colorful 80s outfits moving through surreal cityscapes with playful animations and dynamic edits, enhancing the song's upbeat rhythm. Rotoscoping by Magdelena Turnier, Jairo Neto, Camilo Rosas, Brett Bittner, Atsushi Yamamoto, Eoin Whelehan and Chris Mooney. Contributed by Till Brokhausen.","Eoghan Kidney","","","WOMAN | COLORFUL","Echo print"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706902404.webp","Burberry x POP","Burberry x POP (2022)","","Colin Read","Eric Schleicher","Joseph Bicknell","NIGHT | EXTERIOR | REFLECTIVE | GLOW","Duplication | Echo print | Fast Motion | Motion Blur | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/04/01/261711985544.webp","Travis Scott - FE!N","Travis Scott - FE!N (2024)","The music video for ""Fe!n"" by Travis Scott featuring Playboi Carti was released on March 30, 2024, on Scott's YouTube channel via Vevo and directed by Gabriel Moses. The song itself, part of Scott's album ""Utopia,"" has been praised for its unique composition and contributions from both artists, showcasing a new vocal delivery by Carti and Scott's titular chorus.","Joseph Taylor, Trim Editing","Xiaolong Liu","John Lowe","MALE | GROUP | SURREALIST","Arc | Echo print | Speed warp | Void | X-Axis Arc"
