video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/18/261710753143.webp","Source unknown","Source unknown","","","","","","Epiphany | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453347.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","NIGHT | EXTERIOR | CITY | STREET | SODIUM LIGHTS | SHOP | KID | GRAFITTI","Confusion | Epiphany | Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711250865.webp","KYLE - iSpy feat. Lil Yachty","KYLE - iSpy feat. Lil Yachty (2017)","The ""iSpy"" music video by KYLE featuring Lil Yachty combines playful animation with live-action, creating a whimsical and colorful world that reflects the song's lighthearted vibe. It transports the viewer into a carefree, imaginative space where the artists, portrayed as children, explore vibrant, animated landscapes. This creative blend of elements highlights the song's themes of joy and escapism.","Vinnie Hobbs","Rob Witt","","WOMAN | BEACH","Central Framing | Epiphany | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709531249.webp","Monster: The Jeffrey Dahmer Story","Monster: The Jeffrey Dahmer Story (2022)","The story of a cannibalistic serial killer named Jeffrey Dahmer, a.k.a. the Milwaukee Monster.","Lyric Ramsey, Nicholas Emme, Peter Grabicki, Robin August","Jason McCormick, John T. Connor","Doug Delaney, Michael Hatzer","MALE | DAHMER","1980s | Epiphany | Indifference | Medium Close-up"
"https://asset.eyecannndy.com/media/clip/2024/03/01/261709328323.webp","Five Nights at Freddy's","Five Nights at Freddy's (2023)","A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.","Lara Karamardian, Melanie Kuan","Lyn Moncrief","Mitch Paulson","","Arc | Epiphany | Horror | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707898694.webp","Black Panther: Wakanda Forever","Black Panther: Wakanda Forever (2022)","The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.","Jennifer Lame, Kelley Dixon, Michael P. Shawver","Autumn Durald","Tom Poole","WOMAN | EXTERIOR","Concern | Epiphany | Medium Close-up"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710024491.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","INTERIOR | THEO JAMES","Anger | Epiphany | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/03/12/261710223776.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 4. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Dan Sherwen, Matt Platts-Mills","Bjorn Charpentier","Matthieu Toullet","RED | INTERIOR | TOUR GUIDE","Epiphany | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708422891.webp","Freaky Friday (Movie)","Freaky Friday (Movie) (2003)","An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","Bruce Green","Oliver Wood","","INTERIOR | LINDSAY LOHAN","2000s | Campy | Epiphany | Surprise | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708422717.webp","Freaky Friday (Movie)","Freaky Friday (Movie) (2003)","An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","Bruce Green","Oliver Wood","","INTERIOR | LINDSAY LOHAN","2000s | Confusion | Epiphany | Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709096738.webp","Beethoven","Beethoven (1992)","","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","MALE | GLASSES","1990s | Epiphany | Surprise | Yo-Yo Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709094354.webp","Beethoven","Beethoven (1992)","","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","INTERIOR","1990s | Campy | Crash Zoom | Epiphany | Surprise | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424940.webp","Harry Potter and the Sorcerer's Stone","Harry Potter and the Sorcerer's Stone (2001)","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Richard Francis-Bruce","John Seale","John Stanborough, Peter Hunt","HARRY POTTER | MAGIC | DIAGON ALLEY | WAND","2000s | Epiphany | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707896853.webp","Jurassic Park","Jurassic Park (1993)","A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","Michael Kahn","Dean Cundey","Dale Caldwell","DAY | MALE | EXTERIOR","1990s | Epiphany | Medium Close-up | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707898534.webp","Orlando","Orlando (1992)","After Queen Elizabeth I commands him not to grow old, a young nobleman struggles with love and his place in the world.","Hervé Schneid","Alexey Rodionov","","YELLOW | GOLDEN | TILDA SWINTON","1990s | Epiphany | Intensity | Medium Close-up | Profile"
"https://asset.eyecannndy.com/media/clip/2024/02/13/261707812433.webp","It Chapter Two","It Chapter Two (2019)","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Jason Ballantine","Checco Varese","Company 3, Stephen Nakamura","MALE | INTERIOR | DRUGS","2010s | Altered state | Dolly Zoom | Drug trip | Epiphany | Horror"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710824754.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","MALE | EPIPHANY","Double Dolly | Epiphany | Surprise"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710825196.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","BLUE | INTERIOR","Dolly Zoom | Epiphany"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707024196.webp","Everything Everywhere All at Once","Everything Everywhere All at Once (2022)","A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.","Paul Rogers","Larkin Seiple","Alex Bickel","","Concern | Epiphany | Medium Close-up | Suspicion"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707897836.webp","The Menu","The Menu (2022)","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","Christopher Tellefsen","Peter Deming","Ross Bartels","ANYA | TAYLOR-JOY","Concern | Epiphany | Horror | Medium Close-up"
