video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707974471.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","WOMAN | SPACE | BEDROOM | DRUGS | FALLING | TRIP","Altered state | Drug trip | Falling | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708473346.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","DAY | SKY | STUDIO | EXTERIOR | GREEN SCREEN | FALLING | LIL NAS X","Background replacement | Falling | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480271.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","DUSK | SUNSET | FIRE | JUMP | FALLING | SKIING | SKIIER | MOON","Extreme Wide | Falling | Slow Motion | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705105894.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","DARK | JORDAN PEELE | VOID | SUNKEN PLACE | GET OUT","Falling | Void"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707404406.webp","Her Morning Elegance","Her Morning Elegance (2009)","A collaborative stop motion film by musician Oren Lavie and Israeli photographer Eyal Landesman. The only stop-motion video to ever earn a grammy nomination, this whimsical video accompanies the song of same name by Lavie. The camera remains stationary while bedroom linens and clothing move across the mattress as personifications of the birds, trains, and fish she dreams of.","Oren Lavie, Yuval and Merav Nathan","Eyal Landsman","","DAY | WOMAN | INTERIOR | BEDROOM | OVERHEAD","Falling | Overhead | Pixilation | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480546.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","DUSK | SKY | EXTERIOR | FIRE | FALLING | EVENING","Falling | Slow Motion | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705123377.webp","Canon - Live for the Story","Canon - Live for the Story (2017)","","Joe Guest","Kasper Tuxen","","WATER | LIGHT | POOL | JUMP","Falling | Slow Motion | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707975162.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","BLUE","Falling | Vector"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709534801.webp","Source unknown","Source unknown","","","","","COLORFUL","Animation | Falling | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704830144.webp","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","DAY | LOW ANGLE | WORMS-EYE | EXTERIOR | BUILDING","Falling | Low Angle | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705115863.webp","Adidas - Hello Tomorrow","Adidas - Hello Tomorrow (2004)","The award-winning 2005 Adidas advertisement ""Hello Tomorrow,"" created by Spike Jonze for the adidas 1 sneakers.","Spike Jonze","","","RUNNING | ADIDAS | SPOTLIGHT | JUMP | LEAP","Falling | Spotlight | Tracking | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703732964.webp","Jennifer's Body","Jennifer's Body (2009)","A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror? Shot breakdown: Overhead slow motion.","Plummy Tucker","M. David Mullen","Mitch Paulson","NIGHT | INTERIOR | DARK | COOL | 35MM | SUPER 35 | PANAVISION PRIMO PRIMES | 3 PERF | PHANTOM HD GOLD | PANAVISION GOLD / G2","Falling | Overhead | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708243705.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","DAY | MALE | EXTERIOR | TRIP | DRUG","Altered state | Drug trip | Falling | Overhead | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705129193.webp","TID Exploring Time 005 by Builders Club","TID Exploring Time 005 by Builders Club (2017)","","Jonas & Julien","Tom Elliott","","COLORFUL | APPLE | FRUIT | SATURATED | SATURATION | BANANA","Falling | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710315282.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","MALE | FIGHT | SUNGLASSES | KNOCKED OUT","Falling | Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706404986.webp","Old Spice - Questions","Old Spice - Questions (2010)","""Old Spice: The Man Your Man Could Smell Like"" is a famous and humorous marketing campaign by the Old Spice brand, featuring Isaiah Mustafa delivering a confident monologue while showcasing the benefits of their products, with the iconic catchphrase ""I'm on a horse."" Created by agency Wieden+Kennedy, Portland.","Rock Paper Scissors","Neil Shapiro","","DAY | EXTERIOR | JUMP | WATERFALL | HOT TUB","Falling"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708474401.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","GREEN SCREEN | PARACHUTE","Falling | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480759.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","SLOW MOTION | FACE | FIRE | EYE","Extreme Close-Up | Falling"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480150.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","JUMP | FALLING | SKIING | SKIIER | MOON","Falling | Silhouette | Slow Motion | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480357.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","INTERIOR | GIRL | FIRE | FALLING | DANCE | ROOM","Falling | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708473248.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","WINDOW | EXTERIOR | FALLING | PLANE | AIRPLANE | FLYING | JUMPING | LIL NAS X | STOCK FOOTAGE","Falling | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708243449.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","DAY | MALE | EXTERIOR | FALLING","Falling | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703285172.webp","Limitless (opening titles)","Limitless (opening titles) (2011)","A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers.","Naomi Geraghty, Tracy Adams","Jo Willems","David Orr, Michael Hatzer","NIGHT | CITY | NEW YORK CITY","Falling | First-Person"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812472.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","WATER | DRIVING | OCEAN | BLACK AND WHITE | LAKE | FALLING | BOAT | STEERING | ACCIDENT | SABRINA CARPENTER","Falling | FPV Drone | Towards camera | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100422.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","DAY | RUNNING | EXTERIOR | A$AP ROCKY","Falling"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480671.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","DUSK | SKY | EXTERIOR | FIRE | FALLING | EVENING","Falling | Low Angle | Silhouette | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705385660.webp","Vertigo","Vertigo (1958)","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","George Tomasini","Robert Burks","Richard Mueller","1950S | SATURATED | SATURATION | FALLING | VISTA VISION","1950s | Altered state | Drug trip | Falling"
"https://asset.eyecannndy.com/media/clip/2024/03/18/261710751474.webp","Sylo - Fall Into Me","Sylo - Fall Into Me (2024)","","Kevin Lien","","","CLOUDS | FALLING","Falling | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739191742.webp","Static - Federer","Static - Federer (2025)","","Din Perlis","","","DAY | EXTERIOR | CITY | TENNIS | FALLING | PLANE | BALLS","Diegetic Typography | Falling | Object POV | Typography"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711247140.webp","Audrey Nuna - Cellulite","Audrey Nuna - Cellulite (2023)","Audrey Nuna's ""Cellulite"" music video, directed by Zac Dov, is a vivid narrative of self-liberation and defiance, drawing inspiration from icons like the Pharcyde and Missy Elliott. The video visually represents Nuna's personal theme of overcoming constraints, symbolized by motifs of flying and motion, reflecting her introspective yet rebellious spirit. It's a cinematic portrayal of cutting out life's ""toxic fat,"" aiming to resonate with viewers on a journey of spiritual unburdening.","Zac Dov Wiesel","Gabe Knoos-Newton","Brian Niles","WOMAN | MUSIC VIDEO | SINGING | SKYSCRAPER","Falling"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709976657.webp","eLaLiga Santander - What Can't Can Be","eLaLiga Santander - What Can't Can Be (2023)","","Keane Pearce Shaw","","","","Animation | Falling"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705106843.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","DARK | BLACK | JORDAN PEELE | VOID | SUNKEN PLACE | GET OUT | HYPNOSIS | HYPNOTIZE","Falling | Horror | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709534031.webp","Source unknown","Source unknown","","","","","BLACK AND WHITE","Falling"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708243597.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","DAY | MALE | PROFILE | EXTERIOR | FALLING","Altered state | Drug trip | Falling | Profile | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707976843.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","","Falling | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261703996972.webp","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","SURREALIST | EXTERIOR | SILHOUETTE | FALLING","Falling | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707976022.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","BLUE | SKY | CLOUDS | FALLING | PLANE | AIR","Falling | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706084251.webp","2001: A Space Odyssey","2001: A Space Odyssey (1968)","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Ray Lovejoy","Geoffrey Unsworth, John Alcott","","KUBRICK | SPACESUIT | OUTER SPACE","Falling | Future"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480185.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","","Folkert Verdoorn","Douwe Hennink","De Grot","FIRE | JUMP | FALLING | SKIING | SKIIER | MOON","Falling | Slow Motion | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707975989.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","BLUE | SKY | CLOUDS | FALLING | PLANE | AIR","Falling | Rotoscope | Towards camera | Tracking | Transitions"
