video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709339628.webp","Brooks - Gravity Had a Good Run","Brooks - Gravity Had a Good Run (2024)","2024 advert for Brooks running shoe from the directing duo, Roos Brothers. Features a runner floating above the ground.","Ben Schwaeber","Jared Fadel","Daniel De Vue","DAY | RUNNING | EXTERIOR","Levitation | Slow Motion | Trucking"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708336690.webp","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","SPACE | EXTERIOR | OUTERSPACE","Levitation | Oil Paint"
"https://asset.eyecannndy.com/media/clip/2024/07/13/261720850075.webp","Jhula - Manish Khushalani","Jhula - Manish Khushalani (2024)","The music video for ""Jhula"" by Manish Khushalani, released in 2024, explores themes of vulnerability, trust, and the delicate nature of relationships. The video combines Indian classical elements with contemporary electronic music, creating a unique visual and auditory experience. The narrative is driven by a series of intimate and evocative scenes that reflect the song's emotional depth, showcasing a blend of traditional and modern aesthetics that highlight the fusion of cultural influences. The visuals are crafted to complement the haunting melody and poignant lyrics, making for a captivating and immersive experience.","Manish Khushalani","","Vineesh Vijayan","DAY | PINK | FEET | WOMEN | DRESS | GRASS | TWO SHOT | EXTERIOR | PANTS | FLOATING | BAREFOOT","Levitation"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707401410.webp","JJ DOOM - GUV'NOR","JJ DOOM - GUV'NOR (2012)","","Ninian Doff","Ben Fordesman","Jack Jones","JJ DOOM - GUV'NOR (2012) | DAY | INTERIOR | MASK | MF DOOM","Levitation | Match Split"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710825676.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","SHOES","Levitation"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705999033.webp","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","DAY | EXTERIOR | LEVITATION | LIL DICKY","Levitation"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704371194.webp","Studio - Dumativa","Studio - Dumativa","","","","","NIGHT | EXTERIOR | DARK","Levitation | Pixel Art"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703241995.webp","Duda Beat feat. Trevo - Nem Um Pouquinho","Duda Beat feat. Trevo - Nem Um Pouquinho (2021)","Duda Beat's single ""Nem Um Pouquinho"" featuring Trevo presents a cyberpunk and dystopian universe where she plays a metamorphic creature seeking revenge in a bitter heartbreak narrative. The video complements this theme with a fantastic approach, featuring urban arts, signage, and vehicles developed by the production design team, while the barbed rose symbolizes fatal charm throughout the project.","Marcelo Vogelaar","Fabio Politi","Osmar Junior","NIGHT | EXTERIOR | FOG | MIST | LEVITATION","Levitation | Magical realism | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100683.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","FACE | DARK | COLLAGE | EYE | ZOOM | GLITCH | VOID | A$AP ROCKY | LAYERING","Levitation | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071955.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","NIGHT | INTERIOR | BED | BOOK | CANDLE | MAGIC","Cinemagraph | Levitation | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706426493.webp","Burberry - Open Spaces","Burberry - Open Spaces (2021)","Surrealist campaign that takes viewers on a journey through the freedom of imagination.","Final Cut, Joe Guest","","","DAY | EXTERIOR | GRAIN | FARM","Flying | Levitation"
"https://asset.eyecannndy.com/media/clip/2024/07/13/261720850261.webp","Jhula - Manish Khushalani","Jhula - Manish Khushalani (2024)","The music video for ""Jhula"" by Manish Khushalani, released in 2024, explores themes of vulnerability, trust, and the delicate nature of relationships. The video combines Indian classical elements with contemporary electronic music, creating a unique visual and auditory experience. The narrative is driven by a series of intimate and evocative scenes that reflect the song's emotional depth, showcasing a blend of traditional and modern aesthetics that highlight the fusion of cultural influences. The visuals are crafted to complement the haunting melody and poignant lyrics, making for a captivating and immersive experience.","Manish Khushalani","","Vineesh Vijayan","DAY | PINK | FEET | WOMEN | DRESS | GRASS | TWO SHOT | EXTERIOR | PANTS | FLOATING | BAREFOOT","Levitation | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706425550.webp","MELODOWNZ - Pray For More","MELODOWNZ - Pray For More (2022)","","Connor Pritchard","","","NIGHT | BLUE | DUSK | DARK | EVENING","Levitation | Low Angle | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709962011.webp","Flight to the East","Flight to the East (1940)","A newsman taking a forced plane trip to Egypt describes his past connection with arms trafficking to a lovely governess who knows part of his story is untrue.","Arthur Hiller","","","BLACK AND WHITE","1950s | Levitation"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424654.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Altered state | Drug trip | Levitation | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705106824.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","DARK | BLACK | JORDAN PEELE | VOID | SUNKEN PLACE | GET OUT | HYPNOSIS | HYPNOTIZE","Horror | Levitation | Void"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707404441.webp","Her Morning Elegance","Her Morning Elegance (2009)","A collaborative stop motion film by musician Oren Lavie and Israeli photographer Eyal Landesman. The only stop-motion video to ever earn a grammy nomination, this whimsical video accompanies the song of same name by Lavie. The camera remains stationary while bedroom linens and clothing move across the mattress as personifications of the birds, trains, and fish she dreams of.","Oren Lavie, Yuval and Merav Nathan","Eyal Landsman","","DAY | WOMAN | INTERIOR | BEDROOM | OVERHEAD","Levitation | Overhead | Pixilation | Stop Motion | Underwater"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711256741.webp","Rema - Trouble Maker","Rema - Trouble Maker (2023)","The ""Trouble Maker"" music video by Rema, directed by Meji Alabi, features vibrant visuals and dynamic choreography that emphasize themes of triumph and resilience. Enhanced by Blaisebeatz's production, it provides a cinematic experience that complements the track's infectious beats. The video showcases Rema's unique style and artistic versatility.","Matt Newmann, Trim Editing","Stefan Yap","Ana Escorse","BLUE","Levitation"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706503987.webp","Harry Potter and the Chamber of Secrets","Harry Potter and the Chamber of Secrets (2002)","An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.","Chris Columbus","","","DAY | CAR | EXTERIOR | VEHICLE | MAGIC","2000s | Levitation"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704107310.webp","Sub Urban - UH OH! (feat. BENEE)","Sub Urban - UH OH! (feat. BENEE) (2022)","","Erin McCaffrey, Rock Paper Scissors, Sebastian Zotoff","Kristian Zuniga","Company 3, Matt Osborne","WHITE | 35MM | FULL SHOT | FLOATING | KITCHEN | LEVITATION | KODAK | LOCKED OFF","Levitation | Magical realism | Unsettling"
