video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/23/Screenshot_2024-01-22_at_11.40.15PM_2/aeb1c31b5b8ed426a88d970c0de898cc.gif","Pulp Fiction","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/13/Ariana_Grande_-_positions_official_video_SFgjpFu/dfb8130fa116c368cb189beae507a689.gif","Ariana Grande - Positions","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/14/Joost_Ski_Aggu__Otto_Waalkes_-_Friesenjung_Official_Video_5yqOvMN/45497ae8cc1324df38e15556b15a9006.gif","Joost, Ski Aggu & Otto Waalkes - Friesenjung","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705996350.webp","Harry Potter and the Prisoner of Azkaban","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705181133.webp","Cartier - Yvan Fabing","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707620172.webp","It Could Happen To You","It Could Happen To You (1994)","A police officer promises to share his lottery ticket with a waitress in lieu of a tip.","Barry Malkin","Caleb Deschanel","","NEW YORK CITY | TALKING TO CAMERA","Color Shift | Freeze Frame"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812813.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Freeze Frame | Haze | Photography"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705995273.webp","EA SPORTS FC x Triangles ft. Dave","EA SPORTS FC x Triangles ft. Dave (2023)","","","","","SPORTS | PHOTOGRAPHY | SOCCER | FANS | EA SPORTS","Freeze Frame"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703045001.webp","Cocaine Bear","Cocaine Bear (2023)","An oddball group of cops, criminals, tourists, and teens converge in a Georgia.","Joel Negron","John Guleserian","Company 3, Natasha Leonnet","EXTERIOR | TITLE | WIDE | COMPANY 3 | JOHN GULESERIAN | ARRI ALEXA LF | ARRI SIGNATURE PRIME LENSES | ELIZABETH BANKS | JOEL NEGRON | NATASHA LEONNET | DIGITAL | FREEZE FRAME","Freeze Frame | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539150.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","WOMAN | INTERIOR | PHOTOGRAPHY | CAMERA | LENS | PAPARAZZI","Color Shift | Freeze Frame | Voyeur"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703064164.webp","The King of Comedy","The King of Comedy (1982)","","Martin Scorsese","","","1980S | TYPOGRAPHY | FREEZE FRAME | MARTIN SCORSESE | TITLE CARD | THE KING OF COMEDY","Freeze Frame | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705996234.webp","Magnolia","Magnolia (1999)","An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.","Dylan Tichenor","Robert Elswit","","SCRIBBLE | BLUE | EXTERIOR | BUILDING | DRAWN","Freeze Frame | Scribble"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812773.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Freeze Frame | Haze | Photography"
