video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716237308.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","BIRD | AI | GENERATIVE | STABLE DIFFUSION","Color Shift | Generative"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720342889.webp","Untitled by @kentskooking","Untitled by @kentskooking (2024)","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338417.webp","Art by Paul Trillo","Art by Paul Trillo","","Paul Trillo","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338556.webp","Runway Generative AI","Runway Generative AI","","","","","INTERIOR | COFFEE | POURING","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338268.webp","Artist: @junkboxai / IG","Artist: @junkboxai / IG","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338199.webp","@David32bit / Giphy","@David32bit / Giphy","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716237241.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","BIRD | AI | GENERATIVE | STABLE DIFFUSION","Color Shift | Generative"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716237276.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","BIRD | AI | GENERATIVE | STABLE DIFFUSION","Generative"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716237390.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","BIRD | AI | GENERATIVE | STABLE DIFFUSION","Color Shift | Extreme Close-Up | Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707084584.webp","Weirdcore Animation","Weirdcore Animation (2024)","","The Vidiot","","","","Generative | Maximalism | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338238.webp","Artist: Francesco Misceo / IG","Artist: Francesco Misceo / IG (2023)","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708337052.webp","@visualconnoisseur.ai / IG","@visualconnoisseur.ai / IG","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720342928.webp","Untitled by @kentskooking","Untitled by @kentskooking (2024)","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338779.webp","Street Corner","Street Corner (2024)","","hellopersonality","","","NIGHT | CITY | TOWN | SODIUM LIGHTS","Generative | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707084544.webp","Weirdcore Animation","Weirdcore Animation (2024)","","The Vidiot","","","","Generative | Maximalism | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708337078.webp","The Crow - Glenn Marshall","The Crow - Glenn Marshall","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338506.webp","Runway Generative AI","Runway Generative AI","","","","","EXTERIOR | AERIAL","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708337376.webp","Loxel Li - @Loxel","Loxel Li - @Loxel","","","","","BLACK AND WHITE | VINTAGE | ARCHIVAL | HISTORIC","Generative | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338435.webp","Art by Paul Trillo","Art by Paul Trillo","","Paul Trillo","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716235825.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","COLOR SHIFT | AI | GENERATIVE | STABLE DIFFUSION","Generative | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338314.webp","Artist: Fabio Comparelli","Artist: Fabio Comparelli","","","","","HIEROGLYPHS","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708337025.webp","@minelauvart / IG","@minelauvart / IG","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708338577.webp","Runway Generative AI","Runway Generative AI","","","","","","Generative"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720344023.webp","Oddworld x Souly - wzf / maybach","Oddworld x Souly - wzf / maybach (2024)","The music video for ""WZF / Maybach"" by Oddworld x Souly is a visually striking and dynamic production. The video features high-energy performances and a mix of urban and futuristic aesthetics. With vibrant colors and fast-paced edits, the visual storytelling complements the rhythm and intensity of the track. The artists are showcased in various locations, including industrial backdrops and sleek, modern settings, adding to the video's edgy and stylish vibe. The direction creatively blends elements of hip-hop culture with innovative visual effects, making it a captivating watch from start to finish.","Yannic Nixdorf","Patrick Pichler","","GLITCH | FPV | THERMAL","First-Person | Generative | Glitch | Thermal | VHS"
