video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250143.webp","Unknown Source","Unknown Source","","","","","","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099841.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","INTERIOR | BLONDE | ORANGE | ZOOM | PORTAL | A$AP ROCKY | FRANK OCEAN","Feedback | Object Portal | Vintage"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703400815.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. This shot features a vintage 90s-inspired camcorder look and feel, ending on a low-angle shot of a skater reaching for the camera.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","GREEN | DARK | SKATING | SKATEBOARD | GLITCH | SODIUM LIGHTS | WARM WHITE | AMATEUR | ANALOGUE | CAMCORDER","Feedback | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704912168.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","VINTAGE | FEEDBACK | TV STATIC","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261706040882.webp","Travis Scott - I KNOW ?","Travis Scott - I KNOW ? (2024)","Travis Scott music video, directed by Dave Meyers. Cinematic romance.","","","","SHADOW BOX | SPLIT SCREEN | TRAVIS SCOTT","Feedback | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261706040845.webp","Travis Scott - I KNOW ?","Travis Scott - I KNOW ? (2024)","Travis Scott music video, directed by Dave Meyers. Cinematic romance.","","","","SHADOW BOX | SPLIT SCREEN | TRAVIS SCOTT","Feedback | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250291.webp","Artist - hAyDiRoKeT","Artist - hAyDiRoKeT","","Haydiroket","","","FACE | CLOSE-UP","Feedback | Glitch"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703367033.webp","Husky - Never-ever","Husky - Never-ever (2020)","A guy works as a janitor and cleans up gang fight scenes.","Kirill Khandurin","Kirill Groshev","","YELLOW | WARM | INTERIOR | DARK | ORANGE | OVERHEAD","Feedback | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341995.webp","@blancavinas / Giphy","@blancavinas / Giphy","","","","","","Archival | Collage | Feedback | Stop Motion | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707407868.webp","A Trip to the Moon","A Trip to the Moon (1902)","A group of astronomers go on an expedition to the Moon.","Georges Méliès","Lucien Tainguy, Théophile Michault","","1900S | MOON","1900s | Anthropo | Feedback | Stop Motion | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250276.webp","Artist - hAyDiRoKeT","Artist - hAyDiRoKeT","","Haydiroket","","","FACE | CLOSE-UP","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704329181.webp","Vaeda Black - Run Fast","Vaeda Black - Run Fast (2019)","","Jacobi Mehringer, Justin Leyba","Nat Pinhiero","","WOMAN | INTERIOR | DARK","Double Exposure | Feedback"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706250262.webp","Artist - hAyDiRoKeT","Artist - hAyDiRoKeT","","Haydiroket","","","FACE | CLOSE-UP","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707641804.webp","Nu Genea - Marechià (with Célia Kameni)","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704912533.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","FEEDBACK | TV STATIC","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/03/05/261709633764.webp","Cowboy Bepop (TV Series)","Cowboy Bepop (TV Series) (2021)","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price. Created by Christopher L. Yost.","Bridget Durnford, Elliot Greenberg","Dave Perkal, Jean-Philippe Gossart, Thomas Burstyn","Bill Ferwerda, Company 3","","Feedback | Title Card | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708345235.webp","Beastie Boys - An Open Letter To NYC","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706589437.webp","Allbirds - Introducing The Trail Runner SWT","Allbirds - Introducing The Trail Runner SWT (2021)","","Brandon Kuzma, Jerry Buttles","Brandon Kuzma","","VHS | GLITCH","Feedback | Glitch | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704917060.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","SURREAL | VOID | CLOSE-UP","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708346555.webp","The Electric Hotel","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707008742.webp","Untitled Animation","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703050034.webp","The Truman Show","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703403642.webp","adidas Originals - Original Is Never Finished","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707978057.webp","BENEE - Never Ending","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455032.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","INTERIOR | BRITT LOWER","Feedback | Subtitles"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704609932.webp","Carly Gibert - Dropping Seeds","Carly Gibert - Dropping Seeds (2023)","","Christopher A. Medina","Sonali Chugani","Ben Cerauli","WOMAN | FACE | PROFILE | GRADIENT | HEADPHONES | ORANGE | GLITCH","Feedback"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705106252.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","VINTAGE | HORROR | JORDAN PEELE | THRILLER | FEEDBACK | GET OUT | OLD TV","Feedback | Horror | Screen in Screen | Unsettling | Vintage"
