video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/11/261704937300.webp","Nike SB - Don't Make Plans","Nike SB - Don't Make Plans (2021)","","Matt Carter, Pierre Lesnip","","Company 3, Kath Rascih","DAY | WALKING | GROUND | EXTERIOR | SHOES","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611098.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","SHOES | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | DYSTOPIAN","Dystopian | Ground Level | Product | Product: Shoes"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709094122.webp","Beethoven","Beethoven (1992)","","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","POV | EXTERIOR | DOG","Animal POV | First-Person | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706084999.webp","You Won’t Be Alone","You Won’t Be Alone (2022)","In an isolated mountain village in 19th century Macedonia, a young girl is kidnapped and then transformed into a witch by an ancient spirit.","Luca Cappelli","Matthew Chuang","","FACE","Close-Up | Ground Level | Profile"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537356.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR | NEWSPAPER","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141770.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","BIKE | EXTERIOR | STREET | BIKING | BICYCLE","Fixed Cam | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710315985.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","DAY | WOMAN | WALKING | INTERIOR | HEEL","Ground Level | Trucking"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703730392.webp","Evil Dead Rise","Evil Dead Rise (2023)","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable. Stunning use of a split-diopter lens throughout the film. Shot breakdown: Dutch angle ground shot + split diopter lens + close up.","Bryan Shaw","Dave Garbett","Gary Curran","INTERIOR | ANAMORPHIC | 2020S | ARRI ALEXA MINI LF | PANAVISION LENSES | PANAVISION ULTRA SPEED MKII | PANAVISION ULTRA PANATAR LENSES | PANAVISION G SERIES","Close-Up | Dutch Angle | Ground Level | Split Diopter"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706175264.webp","Silo (TV Series)","Silo (TV Series) (2023)","Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.","Alexis Seymour, Asher Thornton, Darren Tucker, Matt Davies, Sara Hutchinson","Baz Irvine, David Luther, Ed Moore, James Layton, Laurie Rose, Mark Patten, Ollie Downey","Charbel Semaan","WALKING | CHAINS | BOOTS | ARRESTED","Ground Level | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705180121.webp","Unknown source","Unknown source","Know the source? Email jacobi@eycndy.com. You're seeing a ground-level tracking shot.","","","","","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707897939.webp","The Menu","The Menu (2022)","A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","Christopher Tellefsen","Peter Deming","Ross Bartels","GROUND | RING","Close-Up | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611687.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WALKING | INTERIOR | SHOES | HALLWAY | ADIDAS | TUNNEL | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO","Away from Camera | Central Framing | Dystopian | Ground Level | Product: Shoes | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707621313.webp","Carly Gibert - WILLOW","Carly Gibert - WILLOW (2024)","2024 music video performed and directed by artist Carly Gibert.","Carly Gibert","Enzo Iriarte","","TRAIN | TRACK","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705180062.webp","Nike SB - Don't Make Plans","Nike SB - Don't Make Plans (2021)","","Matt Carter, Pierre Lesnip","","Company 3, Kath Rascih","NIKE | SHOE","Ground Level | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706256362.webp","Baby Driver","Baby Driver (2017)","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Jonathan Amos, Paul Machliss","Bill Pope","","WOMAN | INTERIOR | HEELS | LAUNDROMAT","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705180166.webp","Unknown source","Unknown source","Know the source? Email jacobi@eycndy.com. You're seeing a ground-level tracking shot.","","","","DAY | SPORTS | EXTERIOR | SOCCER | BAREFOOT","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706687049.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | EXTERIOR | BOY | CHOREOGRAPHY | DANCE","Ground Level | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706256407.webp","Baby Driver","Baby Driver (2017)","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Jonathan Amos, Paul Machliss","Bill Pope","","MALE | FEET | INTERIOR | SHOES | LAUNDROMAT","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705176858.webp","Adidas - Feel the Boost","Adidas - Feel the Boost (2019)","","Dani Abelló","","","DAY | RUNNING | EXTERIOR | CITY","Ground Level | Invert | Tilt"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705176765.webp","Adidas - Feel the Boost","Adidas - Feel the Boost (2019)","","Dani Abelló","","","DAY | RUNNING | EXTERIOR | CITY","FPV Drone | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707024005.webp","Everything Everywhere All at Once","Everything Everywhere All at Once (2022)","A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.","Paul Rogers","Larkin Seiple","Alex Bickel","","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709094297.webp","Beethoven","Beethoven (1992)","","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","POV | INTERIOR | DOG","Animal POV | First-Person | Ground Level"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703402183.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. We'd categorize this shot as a duplication close-up arc shot.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","PURPLE | SHOES | ADIDAS","Arc | Duplication | Ground Level | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705180350.webp","Salomon - Tomorrow is Yours","Salomon - Tomorrow is Yours (2023)","","Valentin Petit","Olmo Sobrino, Téva Vasseur","Sylvain Canaux","DAY | INTERIOR | GROUND | BED | FLOOR | UNDER BED","Dolly | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537305.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR | PIGEON","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705998822.webp","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","DAY | GRASS | FACE | EXTERIOR | LIL DICKY | JOKER","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710611630.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WATER | WALKING | SHOES | NEON | WET | ADIDAS | TUNNEL | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | SEWER | DARKNESS | UNDERGROUND","Ground Level | Product | Product: Shoes | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710612218.webp","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","WALKING | SHOES | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO","Away from Camera | Ground Level | Product | Product: Shoes | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704830980.webp","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","DAY | EXTERIOR | BUILDING","Fixed Cam | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/15/261710489398.webp","21 Savage - redrum","21 Savage - redrum (2024)","The music video for ""Redrum"" by 21 Savage, featured on his album ""American Dream,"" is directed by Danny Seth and showcases a return to the artist's roots in London. It contrasts iconic landmarks with the grittier areas of Brixton, symbolizing the song's themes. The track itself, produced by London on da Track, samples ""Serenata do Adeus"" and incorporates elements from ""The Shining,"" including the famous line ""Here's Johnny!"" Despite some opinions that the video could have more directly referenced ""The Shining's"" iconic scenes, it has been well-received for its artistic representation and Savage's performance.","Anders Mills, Trim Editing","Chewy Lodge, JAWMIDNIGHT, Thomas Marchese","Vlad Barin","MALE | BLUNT | CIGARETTE | SMOKING | SMOKE | MARIJUANA","Ground Level | Profile"
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711004455.webp","Asics - Making Weight","Asics - Making Weight (2023)","","Brian Chambers","Gabriel Crawford Connelly","Sam Gilling","SPORTS | INTERIOR | ATHLETE | JUMP ROPE","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705178183.webp","Atonement","Atonement (2007)","Early 2000s Joe Wright directed drama-mystery in which thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. You're seeing a ground-level tracking shot.","Joe Wright","","","DAY | INTERIOR | DRESS | HARD LIGHT","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707620525.webp","Carly Gibert - WILLOW","Carly Gibert - WILLOW (2024)","2024 music video performed and directed by artist Carly Gibert.","Carly Gibert","Enzo Iriarte","","","Ground Level | Lens Play"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704829118.webp","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","DAY | FEET | INTERIOR | GROUND | TRAIN | SUBWAY | SHOE","Close-Up | Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705996924.webp","The Wolf of Wall Street","The Wolf of Wall Street (2013)","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Thelma Schoonmaker","Rodrigo Prieto","Yvan Lucas","DAY | WATER | LEONARDO DICAPRIO | FACE | EXTERIOR | WET","Ground Level"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537435.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR | PIGEON","Crash Zoom | Ground Level"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703733843.webp","Jennifer's Body","Jennifer's Body (2009)","A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror? Shot breakdown: Overhead slow motion. Shot breakdown: Slow motion close up ground shot","Plummy Tucker","M. David Mullen","Mitch Paulson","WATER | NIGHT | BLUE | PURPLE | DARK | COLORFUL | SHOES | CUP | 35MM | SUPER 35 | PANAVISION PRIMO PRIMES | SATURATED | 3 PERF | SATURATION | SPILL | PHANTOM HD GOLD | PANAVISION GOLD / G2","Close-Up | Ground Level | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537573.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR | SKATING | SKATEBOARD | PAN | PIGEON","Ground Level | Pan | Ultra Wide"
