video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/19/la_on_acid_1080p_bgILVjx/7e985966af7229aac5b33679368d2b9b.gif","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","WOMAN | RESTAURANT | INTERIOR | WAITRESS","Direct address | Halation | Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/07/13/261720850488.webp","Jhula - Manish Khushalani","Jhula - Manish Khushalani (2024)","The music video for ""Jhula"" by Manish Khushalani, released in 2024, explores themes of vulnerability, trust, and the delicate nature of relationships. The video combines Indian classical elements with contemporary electronic music, creating a unique visual and auditory experience. The narrative is driven by a series of intimate and evocative scenes that reflect the song's emotional depth, showcasing a blend of traditional and modern aesthetics that highlight the fusion of cultural influences. The visuals are crafted to complement the haunting melody and poignant lyrics, making for a captivating and immersive experience.","Manish Khushalani","","Vineesh Vijayan","INTERIOR | TWO SHOT | HANDHELD","Halation"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706152122.webp","Cat People","Cat People (1982)","A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.","Jacqueline Cambas, Jere Huggins, Ned Humphreys","John Bailey","","LIGHT | NIGHT | BLUE | HELICOPTER","Halation"
"https://asset.eyecannndy.com/media/clip/2024/03/12/261710224697.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 4. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Dan Sherwen, Matt Platts-Mills","Bjorn Charpentier","Matthieu Toullet","INTERIOR | CASTLE | JAR | GLASS JAR","Halation | Projections"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710023723.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","INTERIOR | HELICOPTER | THEO JAMES | CHOPPER","Halation | Handheld | Pan"
"https://asset.eyecannndy.com/media/clip/2024/09/12/261726175012.webp","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","MUSIC VIDEO | GROUP | DESERT | SUN | HALATION | MOROCCO","Halation | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715644861.webp","Oblé Reed - WESTON.","Oblé Reed - WESTON. (2023)","Oblé Reed - WESTON. (2023) Music video Technique - Halation Director - Nash Pearson Editor - Nash Pearson Original Source - Link MALE ROAD NIGHT EXTERIOR","Nash Pearson","","","MALE | ROAD | NIGHT | EXTERIOR","Halation"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715645079.webp","Oblé Reed - WESTON.","Oblé Reed - WESTON. (2023)","Oblé Reed - WESTON. (2023) Music video Technique - Halation , Silhouette Director - Nash Pearson Editor - Nash Pearson Original Source - Link LIGHT WOMAN SILHOUETTE HAIR","Nash Pearson","","","LIGHT | WOMAN | SILHOUETTE | HAIR","Halation | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/09/12/261726175258.webp","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","WOMAN | CLOSE UP | MUSIC VIDEO | DESERT | MOROCCO","Close-Up | Direct | Halation"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711434366.webp","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art (2024)","""The Fear Cycle"" film explores Nicolas Bruno’s experiences with Sleep Paralysis, a sleep disorder that causes vivid nightmares. Bruno transforms his fears into artwork, giving viewers a glimpse into each dream sequence. This film delves into Bruno's creative journey, showcasing his artistic process, dream journal entries, and theatrical renditions of his visions.","Armen Harootun","","Connor Bailey","DAY | WALKING | EXTERIOR | SUN | RAINBOW | HIKING | RAY","Halation | Slow Motion"
