video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/07/Willy_Wonka__Shamanic_Boat_Ride_xoNChd8/aee02aeb18df2b20e190811990a47e11.gif","Willy Wonka and the Chocolate Factory","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705123267.webp","Canon - Live for the Story","Canon - Live for the Story (2017)","","Joe Guest","Kasper Tuxen","","RUNNING | NIGHT | EXTERIOR | FIELD","Hard Light | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703242189.webp","Downtown Kayoto - Changed it","Downtown Kayoto - Changed it (2023)","","Joe Howat","","","KAYOTO","Hard Light | Quick Cuts | Spotlight"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709972309.webp","Apple Music - Stay","Apple Music - Stay (2023)","","Kim Gehrig","Rodrigo Prieto","Mark Gethin","","Hard Light | Void"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708476184.webp",":aexattack - Next Year",":aexattack - Next Year (2021)","","Jetski","","","RED | NIGHT | EXTERIOR","Close-Up | Hard Light"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706568331.webp","The Green Knight","The Green Knight (2021)","A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.","David Lowery","Andrew Droz Palermo","Alastor Arnold","INTERIOR | FACE | GREEN KNIGHT | DEV PATEL","Close-Up | Hard Light | Middle Ages | Sadness | Silhouette | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708476141.webp",":aexattack - Next Year",":aexattack - Next Year (2021)","","Jetski","","","RED | NIGHT | EXTERIOR","Hard Light | Spotlight"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708476438.webp",":aexattack - Next Year",":aexattack - Next Year (2021)","","Jetski","","","RED","Hard Light | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704329283.webp","Last Night in Soho","Last Night in Soho (2021)","Aspiring fashion designer Eloise is mysteriously able to enter the 1960s, where she encounters dazzling wannabe singer Sandie. But the glamour is not as it seems, and the dreams of the past crack and splinter into something darker.","Paul Machliss","Chung-hoon Chung","Asa Shoul","INTERIOR | EDGAR WRIGHT | DARK | CLUB | PANAVISION | ALEXA | ARRI ALEXA MINI | ARRI | 2020S | LAST NIGHT IN SOHO","Double Exposure | Hard Light | Light Flash"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715632423.webp","Offset - CODE ft. Moneybagg Yo","Offset - CODE ft. Moneybagg Yo (2022)","The music video for ""CODE"" by Offset featuring Moneybagg Yo is visually striking and matches the energy and themes of the song. In the video, both artists perform in various gritty, urban settings, enhancing the tough and assertive lyrics of the track. The video features scenes with luxury cars, dynamic group performances, and visually engaging effects that emphasize the rhythm and mood of the music. The overall aesthetic is dark and stylish, with a focus on street fashion and a portrayal of a lavish lifestyle, which is common in hip hop videos. The video complements the song's themes of success, power, and street credibility.","Anthony Miralles","Taylor McIntosh","Megan Lee","LIGHT | BLUE | STUDIO","Hard Light"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703242063.webp","Duda Beat feat. Trevo - Nem Um Pouquinho","Duda Beat feat. Trevo - Nem Um Pouquinho (2021)","Duda Beat's single ""Nem Um Pouquinho"" featuring Trevo presents a cyberpunk and dystopian universe where she plays a metamorphic creature seeking revenge in a bitter heartbreak narrative. The video complements this theme with a fantastic approach, featuring urban arts, signage, and vehicles developed by the production design team, while the barbed rose symbolizes fatal charm throughout the project.","Marcelo Vogelaar","Fabio Politi","Osmar Junior","CLOSE UP | BLUE | DARK | EYES | HARD LIGHT","Close-Up | Hard Light | Intensity"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710311984.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 5. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Nick Allix","Callan Green","Matthieu Toullet","FACE | EYES | MUSTACHE | FACIAL HAIR | SKIN | NOSE","Extreme Close-Up | Hard Light | Intensity"
"https://asset.eyecannndy.com/media/clip/2023/12/28/261703735753.webp","Close Encounters of the Third Kind","Close Encounters of the Third Kind (1977)","Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.","Michael Kahn","Vilmos Zsigmond","Sheri Eisenberg","WARM | INTERIOR | SURREAL | 1970S | FILM | ORANGE | 35MM | SATURATED | PANAVISION PANAFLEX | ANAMORPHIC | PANAVISION 65 HR | HARD LIGHT | SATURATION | PANAVISION R-200 | PANAVISION C SERIES | UFO","Hard Light | Wide shot"
