video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686965.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | EXTERIOR | BOY | CHOREOGRAPHY | DANCE | FIRE HYDRANT","High Angle | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709342955.webp","AJ Tracey - Wifey Riddim 4","AJ Tracey - Wifey Riddim 4 (2024)","","Late Milk","Mike Koziel","","ROAD | WALKING | EXTERIOR | CITY | STREET | CROSSWALK","Crash Zoom | High Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/18/261710751361.webp","Sylo - Fall Into Me","Sylo - Fall Into Me (2024)","","Kevin Lien","","","INTERIOR | CHAIR | CIRCLE | MEETING | AAA MEETING","High Angle"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508155.webp","Unicef - Never Give Up","Unicef - Never Give Up (2022)","","Max Neumeier","Fabio Tozzo","Nadia Khairat Gómez","WATER | OCEAN | LAKE","Extreme Wide | High Angle"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715814383.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","POOL | CAR | VEHICLE | SABRINA CARPENTER | PARKED","High Angle | Zoom out"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711347068.webp","Tiny Cyberpunk 2077 by Flurdeh","Tiny Cyberpunk 2077 by Flurdeh (2021)","Flurdeh specializes in applying a ""tilt-shift"" effect to video games, transforming their expansive 3D environments into charming miniature dioramas. The videos share common features such as accelerated animations and a lower framerate, enhancing their resemblance to stop-motion animation rather than modern video game footage. An example highlighted is Cyberpunk, where the game's diverse settings are miniaturized, and characters are depicted as if they were tiny figurines engaging in everyday activities.","Kevin Hensen","","","NIGHT | EXTERIOR | NEON | SIGN","Dystopian | High Angle | Tilt Shift | Video Game"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708236813.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","EXTERIOR | DARK | COOL | CITY","High Angle"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707686196.webp","The Wolf of Wall Street","The Wolf of Wall Street (2013)","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Thelma Schoonmaker","Rodrigo Prieto","Yvan Lucas","","1980s | High Angle | Overhead | Overhead Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706156450.webp","Rosalia - Saoko","Rosalia - Saoko (2022)","Rosalía and her motorcycle girl gang run riot in Valentin Petit's brilliant video for Saoko, the first track from the Spanish superstar's latest album Motomami. Shot breakdown: Ultra Wide Zero distortion lens low angle tracking in shot.","Jon Echeveste","Paul Guilhaume","Arthur Paux","DAY | FIXED CAMERA | INTERIOR | GAS STATION | FAN | CEILING | ATTACHED","Fixed Cam | High Angle"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703366776.webp","Husky - Never-ever","Husky - Never-ever (2020)","A guy works as a janitor and cleans up gang fight scenes.","Kirill Khandurin","Kirill Groshev","","YELLOW | WARM | INTERIOR | DARK | ORANGE | OVERHEAD","High Angle"
