video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705284800.webp","Clip by Erdal Inci","Clip by Erdal Inci (2013)","Erdal Inci is an artist from Istanbul known for their surrealist art that pulls heavily from realistic situations, and then adds a touch of surrealism to them.","Erdal Inci","","","DAY | EXTERIOR | STAIRS | HOODIE | SLIDE","Duplication | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573866.webp","Infinite loop by Sheep Films","Infinite loop by Sheep Films (2015)","","","","","EXTERIOR | BUILDING | RAILING","Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573759.webp","Infinite loop shot by Pi Slices","Infinite loop shot by Pi Slices (2021)","","Pi-Slices","","","SNOW | MOUNTAINS | AERIAL","3D animation | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705284743.webp","Clip by Erdal Inci","Clip by Erdal Inci (2013)","Erdal Inci is an artist from Istanbul known for their surrealist art that pulls heavily from realistic situations, and then adds a touch of surrealism to them.","Erdal Inci","","","NIGHT | EXTERIOR | DARK | HOODIE.","Duplication | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573921.webp","Infinite loop by Sheep Films","Infinite loop by Sheep Films (2015)","","","","","EXTERIOR | BUILDING | DOOR","Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573702.webp","Infinite dolly shot by Refresh Records","Infinite dolly shot by Refresh Records (2021)","","","","","DAY | EXTERIOR | ARCH | DOORWAY","Infinite Dolly | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573968.webp","Infinite loop animation by Chikito Rikiyano","Infinite loop animation by Chikito Rikiyano","","","","","ROAD | SUNSET | EXTERIOR | SUNRISE | SPIRAL | TWIST","Infinite Loop | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703283993.webp","Art by Paul Trillo","Art by Paul Trillo","","Paul Trillo","","","DAY | INTERIOR | BED | INSTAGRAM | PHONE","Droste Effect | Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703235877.webp","Art Smile GIF By Pi-Slices","Art Smile GIF By Pi-Slices (2023)","","Pi-Slices","","","SKELETON | SKULL","3D animation | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007398.webp","Source unknown","Source unknown","","","","","DAY | EXTERIOR | MOUTH | KID","Infinite Loop | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703239763.webp","@truehustlerss / IG","@truehustlerss / IG","","","","","EXTERIOR | ZOOM | SCALE SHIFT | PLANTS","Infinite Loop | Infinite Zoom | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573811.webp","Infinite dolly shot by Dave Strick","Infinite dolly shot by Dave Strick (2019)","","","","","WINDOW","Infinite Dolly | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706574053.webp","Infinite loop by Feliks Tomasz Konczakowski","Infinite loop by Feliks Tomasz Konczakowski (2017)","","","","","ESCHER","Animation | Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707405555.webp","The Animator 2","The Animator 2 (2019)","","Trent Shy","","","MALE | EXTERIOR | HORROR | CLAY | LOOP","Claymation | Infinite Loop | Stop Motion | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703236043.webp","Art Glow GIF By Pi-Slices","Art Glow GIF By Pi-Slices (2023)","","Pi-Slices","","","RED | NIGHT | INTERIOR | WINDOW | DARK | HORROR","3D animation | Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706508034.webp","@sheepfilms / Giphy","@sheepfilms / Giphy","","","","","","Infinite Loop"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703283176.webp","Infinite Loop Vintage GIF By François Dejardin","Infinite Loop Vintage GIF By François Dejardin (2016)","Infinite Loop Vintage GIF By François Dejardin (2016)","François Dejardin","","","","Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706574129.webp","Infinite loop animation by Justfont","Infinite loop animation by Justfont","","","","","EYE | TRIP","Infinite Loop | Infinite Zoom | Pass Through"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703285328.webp","Limitless","Limitless (2011)","A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers.","Naomi Geraghty, Tracy Adams","Jo Willems","David Orr, Michael Hatzer","BARBER | INTERIOR | MIRROR | REFLECTION","Droste Effect | Infinite Loop | Infinite Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864763.webp","Locked-on car","Locked-on car","","Dirk Koy","","","CAR | RACING | BLUE | OVERHEAD | VEHICLE | DRIFTING","Infinite Loop | Locked-on shadow box | Overhead | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703285465.webp","Animation by Cole Quigley","Animation by Cole Quigley","","Cole Quigley","","","DAY | CAR | OVERHEAD | SNOW | BIRDS EYE","Flash Cut | Infinite Loop | Infinite Zoom | Overhead"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703241196.webp","@truehustlerss / IG","@truehustlerss / IG","","","","","CLOSE UP | EXTREME CLOSE UP | FOOD | GUITAR | BAGEL","Infinite Loop | Infinite Zoom | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706508092.webp","@sheepfilms / Giphy","@sheepfilms / Giphy","","","","","EXTERIOR | DOOR","Infinite Loop | Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703239705.webp","@truehustlerss / IG","@truehustlerss / IG","","","","","EXTERIOR | ZOOM | SCALE SHIFT | PLANTS","Infinite Loop | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703239882.webp","@truehustlerss / IG","@truehustlerss / IG","","","","","EXTERIOR | ZOOM | SCALE SHIFT | PLANTS","Infinite Loop | Infinite Zoom | Miniature | Scale Shift"
