video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424147.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Interview"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716334141.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","MALE | TELEVISION | NEWS ANCHOR | LIVE TV | ANCHOR","Dystopian | Feedback | Interview | News"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424384.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Interview"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706563398.webp","Long Live Liborius","Long Live Liborius (2021)","Catholic church turned sanctuary for skaters. Burned down in 2023.","Bruton Stroube","","","INTERIOR | CHURCH | TALKING TO CAMERA","Central Framing | Interview | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424261.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Interview"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424405.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Interview"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706563352.webp","Long Live Liborius","Long Live Liborius (2021)","Catholic church turned sanctuary for skaters. Burned down in 2023.","Bruton Stroube","","","INTERIOR | CHURCH | TALKING TO CAMERA","Central Framing | Interview | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716334091.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","MALE | TELEVISION | NEWS ANCHOR | LIVE TV | ANCHOR","Interview | News"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424177.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Interview"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710335906.webp","#LoveYourz","#LoveYourz (2018)","A teenage self-love creative collective searches for love and adventure as they explore the outer boroughs of NYC.","Eavvon O’Neal","Greta Zozula, Sam Wootton","Sam Daley","DAY | WOMAN | EXTERIOR","1990s | Handheld | Interview | VHS"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424119.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","Interview"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/22/MADE_FORE_HEROES_WORN_BY_ICONS_kudSK55/73b0bba1d61f4057e3b1a1a67a00e276.gif","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","MALE | TELEVISION | NEWS ANCHOR | LIVE TV | ANCHOR","Dystopian | Feedback | Interview | News"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708426213.webp","District 9","District 9 (2009)","Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.","Julian Clarke","Trent Opaloch","Dave Pickett, David Hollingsworth","EXPLOSION | EXTERIOR | SMOKE | AERIAL | VIOLENCE | NEWS | TERRORIST","2010s | Action | News"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708426263.webp","District 9","District 9 (2009)","Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.","Julian Clarke","Trent Opaloch","Dave Pickett, David Hollingsworth","EXPLOSION | EXTERIOR | SMOKE | AERIAL | VIOLENCE | NEWS | TERRORIST","2010s | Action | News"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711344082.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","NIGHT | EXTERIOR | INTERVIEW | NEWS","Diorama | News | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716334091.webp","Made for Heroes. Worn by Icons","Made for Heroes. Worn by Icons (2024)","A campaign from Alpha Industries that captures the essence of their enduring influence across diverse cultures. From punk rockers to fashion mavens and everything in between.","Poria Asghari","","","MALE | TELEVISION | NEWS ANCHOR | LIVE TV | ANCHOR","Interview | News"
