video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/01/8_q5AsOic/e5a7a3ccc847d6bdec83ce8d376d223d.gif","First Hawaiian Bank - Dance Party","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703918850.webp","Quavo x Takeoff - Hotel Lobby","Quavo x Takeoff - Hotel Lobby (2022)","Quavo and Takeoff go on a drug-fueled trip through the desert of Nevada and the streets of Las Vegas.","Keemotion., Quavo","Marcelo Pancote","Arianna Shining Star","DAY | CAR | DRIVING | PROFILE | EXTERIOR | MEDIUM SHOT | K35S | QUAVO | NEVADA | ALEXA MINI LF","Fixed Cam | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710024860.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","INTERIOR | BATHROOM | CHICKEN","Jump cut | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/09/10/261725943841.webp","ScHoolboy Q - Floating","ScHoolboy Q - Floating (2019)","","Neal Farmer","Chris Ripley","","MALE | MONEY | RAPPER | ROOM","Glitch | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/09/10/261725943277.webp","ScHoolboy Q - Floating","ScHoolboy Q - Floating (2019)","","Neal Farmer","Chris Ripley","","BAR | RAPPER | STRIP CLUB | STRIPPERS | NIGHTLIFE | CLUBBING","Jump cut | Wandering"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711343876.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","EXTERIOR | TREE | DIGGING | EXCAVATOR","Diorama | Jump cut | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715656634.webp","Joost, Ski Aggu & Otto Waalkes - Friesenjung","Joost, Ski Aggu & Otto Waalkes - Friesenjung (2023)","The music video for ""Friesenjung"" by Joost, Ski Aggu, and Otto Waalkes presents a playful and humorous visual narrative that complements the lighthearted and catchy tune of the song. It features a variety of quirky scenes that highlight the cultural and comedic elements typical of Otto Waalkes' performances, blended with the musical styles of Joost and Ski Aggu, creating a unique and entertaining fusion.","Fons de Haan","","Bloempot Media","MALE | GLASS | BAR | DRINKING | DRINK | WINE | OLDER | WINE GLASS","Fixed Cam | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705997981.webp","Lil Dicky - HAHAHA","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706258549.webp","Scott Pilgrim vs. the World","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704861608.webp","A$AP Rocky - D.M.B.","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703489510.webp","Lil Yachty - TESLA","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711436140.webp","Killdummies - Keine War Großartig//Fukk U","Killdummies - Keine War Großartig//Fukk U (2023)","","Tom Klimek","Simon Klostermaier","","DAY | MUSIC VIDEO | GRASS | EXTERIOR | FIELD | SWORD","Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704119549.webp","First Hawaiian Bank - Dance Party","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703919210.webp","Quavo x Takeoff - Hotel Lobby","Quavo x Takeoff - Hotel Lobby (2022)","Quavo and Takeoff go on a drug-fueled trip through the desert of Nevada and the streets of Las Vegas. Shot breakdown: Fixed camera jump cuts","Keemotion., Quavo","Marcelo Pancote","Arianna Shining Star","CAR | DRIVING | NIGHT | BLUE | DUSK | DARK | 2020S | COOL WHITE | K35S | ALEXA MINI LF","Fixed Cam | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704610342.webp","Carly Gibert - Dropping Seeds","Carly Gibert - Dropping Seeds (2023)","","Christopher A. Medina","Sonali Chugani","Ben Cerauli","DAY | WOMAN | GREEN | EXTERIOR","Jump cut | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703919112.webp","Quavo x Takeoff - Hotel Lobby","Quavo x Takeoff - Hotel Lobby (2022)","Quavo and Takeoff go on a drug-fueled trip through the desert of Nevada and the streets of Las Vegas. Shot breakdown: fixed camera jump cuts","Keemotion., Quavo","Marcelo Pancote","Arianna Shining Star","DAY | CAR | DRIVING | HOTEL | DUSK | EXTERIOR | WARM WHITE | K35S | NEVADA | ALEXA MINI LF","Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717742331.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024) | MALE | SPIN","Jump cut | Locked-on Lazy Susan | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709538002.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR","Jump cut | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165812.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","VICTORIA MONET","Choreo | Jump cut"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261703997944.webp","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","WHITE | VOID","Jump cut | Light Void"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706255500.webp","Pirates of the Caribbean","Pirates of the Caribbean (2003)","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Arthur Schmidt, Craig Wood, Stephen E. Rivkin","Dariusz Wolski","","EYES | KEIRA KNIGHTLEY","Color Shift | Extreme Close-Up | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715809047.webp","Majimbo - Aiza","Majimbo - Aiza (2023)","The music video for Aiza’s ""Majimbo"" showcases vibrant, energetic scenes that match the feel-good thumpy pop bassline and braggadocious flow of the song. Aiza, full of confidence, is seen walking down colorful city streets that transform into impromptu fashion runways, exuding an infectious joy and inner strength. K.O.G’s electric vocals elevate the video’s energy, capturing the pride and inspiration drawn from Elsa Majimbo’s rise to fame. The video blends Afropop, Afrobeat, and soulful R&B elements, celebrating Aiza’s journey and the empowerment of loving boldly.","Daniyal Shah","Daniel Attoh","Tricia Hagoriles","CLOSE UP | INTERIOR | COLORFUL | SATURATED | FLOOR | SUNGLASSES","Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715641715.webp","Vince Staples - Norf Norf","Vince Staples - Norf Norf (2015)","The music video for ""Norf Norf"" by Vince Staples, released in 2015, features documentary-style footage that portrays the harsh realities of life in North Long Beach, California. Through scenes of Vince in a police car and visuals of his neighborhood, the video underscores the song's themes of systemic injustice and police brutality.","Spike Jordan, Vince Staples","","","INTERIOR | BLACK AND WHITE | POLICE | COPS | JAIL | ARRESTED | PRISON | VINCE STAPLES | INTERROGATION | POLICE OFFICERS","Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704610471.webp","Carly Gibert - Dropping Seeds","Carly Gibert - Dropping Seeds (2023)","","Christopher A. Medina","Sonali Chugani","Ben Cerauli","WOMAN | INTERIOR | TEETH | CARLY GIBERT | GEMS","High Angle | Jump cut"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703389791.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","RED | GLITCH | CHANGING ROOM | JUMP CUT","Color Shift | Jump cut"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710389160.webp","NIKE x SIZE? - Content De Te Revoir","NIKE x SIZE? - Content De Te Revoir (2024)","","Jessy Busgeeth","Jessy Busgeeth","Jessy Busgeeth","INTERIOR | HIGH ANGLE | LIVING ROOM","Fisheye | Jump cut | Security footage"
