video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211550.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | SUNSET | OCEAN | EXTERIOR | SURFING","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211513.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | OCEAN | EXTERIOR | SURFING","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/21/261705822788.webp","Kevin McGloughlin for Max Cooper 'Repetition'","Kevin McGloughlin for Max Cooper 'Repetition' (2019)","'Repetition' is an attempt to convey the importance of our endless endeavours toward human development and growth amidst a chaotic and disorienting landscape. The struggle for a fruitful future is challenging with the distractions of everyday life alongside its ever-growing technological 'advancements'. The hope is for humanity to strive through all of this in a meaningful and positive way.","Kevin McGloughlin","","","","Kaleidoscope | Object Duplication"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261703997863.webp","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","WHITE | VOID","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860699.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | OCEAN | POLAROID | SURFING | STOP MOTION","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211827.webp","Clip by Natasha Chomko","Clip by Natasha Chomko","Natasha Chomko is an artist and graphic designer known for her dizzying art pieces. In this case, you're seeing footage that has been duplicated and mirrored, giving a kaleidescope-like effect.","Natasha Chomko","","","SURREALIST | ABSTRACT | SATURATED | SATURATION","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211535.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | SUNSET | OCEAN | EXTERIOR | SURFING","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702861327.webp","@pislices / IG","@pislices / IG","","","","","","3D animation | Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702861407.webp","Unknown Source","Unknown Source","","","","","","3D animation | Duplication | Kaleidoscope | Phenakistiscope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860743.webp","Waveform","Waveform (2015)","","Stefan Nadelman","","","DAY | OCEAN | POLAROID | SURFING | STOP MOTION","Duplication | Echo print | Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211854.webp","Clip by Natasha Chomko","Clip by Natasha Chomko","Natasha Chomko is an artist and graphic designer known for her dizzying art pieces. In this case, you're seeing footage that has been duplicated and mirrored, giving a kaleidescope-like effect.","Natasha Chomko","","","SURREALIST | ABSTRACT | SATURATED | SATURATION","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705212088.webp","Kathmandu - Summer Never Sleeps","Kathmandu - Summer Never Sleeps (2022)","","Adam Wills","Jan David Günther","Sarah Salzmann","FACE | DUPLICATION | CLOSE-UP","Kaleidoscope | Subtitles"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705211929.webp","Clip by A.L. Crego","Clip by A.L. Crego","","A. L. Crego","","","BIKE | BLACK AND WHITE | BIKING | BICYCLE","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720163825.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","DANCING | VOID","Choreo | Kaleidoscope | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705212099.webp","Kathmandu - Summer Never Sleeps","Kathmandu - Summer Never Sleeps (2022)","","Adam Wills","Jan David Günther","Sarah Salzmann","FACE | DUPLICATION | CLOSE-UP","Kaleidoscope | Subtitles"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720163965.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","DANCING | VOID","Duplication | Kaleidoscope | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/14/261705212008.webp","Clip by Chris Cubellis","Clip by Chris Cubellis","","Chris Cubellis","","","DAY | BEACH | SAND | EXTERIOR | PALM TREE","Kaleidoscope"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720164016.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","DANCING | VOID","Echo print | Kaleidoscope | Void"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720163864.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","DANCING | VOID","Choreo | Datamosh | Glitch | Kaleidoscope | Void"
