video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/20/261710976709.webp","Usher, H.E.R. - Risk It All","Usher, H.E.R. - Risk It All (2024)","In the 2024 music video 'Risk It All' directed by Dave Meyers, Usher and H.E.R. deliver an emotionally charged performance, underscored by contemporary dance, on a rotating platform in a dimly lit setting. The video, known for its sophisticated yet steamy ambiance, culminates in a poignant moment with Usher tearfully singing the final note. This collaboration is a standout part of 'The Color Purple' soundtrack, showcasing the artistic depth and vulnerability of both artists.","Nathan Rodgers","Scott Cunningham","Pavel Marko","DANCING | SENSUAL | USHER | UNDERWEAR | SUGGESTIVE | BOXERS","Echo print | Lazy Susan | Motion Blur | Speed Ramp | Stationary camera"
"https://asset.eyecannndy.com/media/clip/2024/04/01/261711985728.webp","Travis Scott - FE!N","Travis Scott - FE!N (2024)","The music video for ""Fe!n"" by Travis Scott featuring Playboi Carti was released on March 30, 2024, on Scott's YouTube channel via Vevo and directed by Gabriel Moses. The song itself, part of Scott's album ""Utopia,"" has been praised for its unique composition and contributions from both artists, showcasing a new vocal delivery by Carti and Scott's titular chorus.","Joseph Taylor, Trim Editing","Xiaolong Liu","John Lowe","CAR | INTERIOR | FRIENDS | GROUP | VEHICLE","Lazy Susan | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703899338.webp","Childish Gambino - Sweatpants ft. Problem","Childish Gambino - Sweatpants ft. Problem (2014)","","Eric Greenburg","Larkin Seiple","Marc Steinberg","RESTAURANT | NIGHT | INTERIOR | WARM WHITE | NOKTOR T0.324 135MM HYPERPRIME | RED HYPNO-DRAGON 7.2K | ZACUTO","Lazy Susan | Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/11/261704939349.webp","Square - Para Los Que Hacen","Square - Para Los Que Hacen (2021)","","Fouad Gaber","Zack Spiger","Simon Bourne","WOMAN | INTERIOR | SINGLE SHOT | CLAY","Fast Motion | Lazy Susan | Locked-on Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702947406.webp","Moonrise Kingdom","Moonrise Kingdom (2012)","A whimsical film set in 1965 New England, portraying the adventures of two young runaways exploring love and adolescence.","Andrew Weisblum","Robert Yeoman","Tim Stipan","WARM | INTERIOR | DARK | FILM | 16MM | ZEISS SUPER SPEED | AATON AMINIMA","1960s | Lazy Susan | Whip Pan"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709020302.webp","Snipes x Nike - The Cypher","Snipes x Nike - The Cypher (2023)","","Alexis Benot, Eugène Signoret","Cesar Decharme","Arthur Paux","GROUP | DANCE | CYPHER","Lazy Susan | Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706477130.webp","Valaire - (She's A) Winner (Ft. Alan Prater)","Valaire - (She's A) Winner (Ft. Alan Prater) (2023)","Macro tracking shot inside 'ear canal' as we take on the perspective of the inside of the ear.","Julien Vallée","Harley Francis","Charles-Étienne Pascal","LOW ANGLE | INTERIOR | GROUP","Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706478051.webp","Nike - Never Settle. Never Done","Nike - Never Settle. Never Done (2022)","","Alexandre Sellem, Hugo Beron, Lola Margrain","Maeva Von Dinh, Paul Guilhaume","Arthur Paux","SOCCER | NERF | BALL","Lazy Susan | Locked-on Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704613976.webp","Ben Claremont - It's Time","Ben Claremont - It's Time (2016)","","Ben Claremont","","","DAY | MUSIC | BLUE | GRASS | EXTERIOR | BAND | INSTA360","Lazy Susan | Omnidirectional"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706425490.webp","RIMOWA - Ingenieurskunst","RIMOWA - Ingenieurskunst (2022)","","Carlos Font Clos","Maximilian Pittner","Sofie Borup","WHITE | RIMOWA | INTERIOR","Lazy Susan | Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706476112.webp","Chase - Sizzle","Chase - Sizzle (2020)","","Paul Hardcastle, Trim Editing","Albert Salas","","WOMAN | RESTAURANT | INTERIOR","Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710824977.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","RESTAURANT | INTERIOR | TABLE","Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703899251.webp","Childish Gambino - Sweatpants ft. Problem","Childish Gambino - Sweatpants ft. Problem (2014)","","Eric Greenburg","Larkin Seiple","Marc Steinberg","RESTAURANT | NIGHT | INTERIOR | WARM WHITE | NOKTOR T0.324 135MM HYPERPRIME | RED HYPNO-DRAGON 7.2K | ZACUTO","Duplication | Indifference | Lazy Susan"
"https://asset.eyecannndy.com/media/clip/2024/03/20/261710975977.webp","Usher, H.E.R. - Risk It All","Usher, H.E.R. - Risk It All (2024)","In the 2024 music video 'Risk It All' directed by Dave Meyers, Usher and H.E.R. deliver an emotionally charged performance, underscored by contemporary dance, on a rotating platform in a dimly lit setting. The video, known for its sophisticated yet steamy ambiance, culminates in a poignant moment with Usher tearfully singing the final note. This collaboration is a standout part of 'The Color Purple' soundtrack, showcasing the artistic depth and vulnerability of both artists.","Nathan Rodgers","Scott Cunningham","Pavel Marko","USHER","Credits | Lazy Susan | Stationary camera"
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703489876.webp","Lil Yachty - TESLA","Lil Yachty - TESLA (2023)","","Cole Bennett","Franklin Ricart","Loren White","GREEN | PINK | INTERIOR | COLORFUL | OVERHEAD | SATURATED | SATURATION | DUOTONE","Lazy Susan | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/03/20/261710976682.webp","Usher, H.E.R. - Risk It All","Usher, H.E.R. - Risk It All (2024)","In the 2024 music video 'Risk It All' directed by Dave Meyers, Usher and H.E.R. deliver an emotionally charged performance, underscored by contemporary dance, on a rotating platform in a dimly lit setting. The video, known for its sophisticated yet steamy ambiance, culminates in a poignant moment with Usher tearfully singing the final note. This collaboration is a standout part of 'The Color Purple' soundtrack, showcasing the artistic depth and vulnerability of both artists.","Nathan Rodgers","Scott Cunningham","Pavel Marko","DANCING | SENSUAL | USHER | UNDERWEAR | SUGGESTIVE | BOXERS","Echo print | Lazy Susan | Motion Blur | Speed Ramp | Stationary camera"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706477890.webp","Nine Inch Nails - Closer","Nine Inch Nails - Closer (2009)","Filmed at the abandoned Linda Vista Community Hospital in Los Angeles, the video gained popularity and contributed to the band's success. Set in a 19th-century mad scientist's laboratory, the video incorporates imagery related to religion, sexuality, animal cruelty, politics, and terror. Fun!","Robert Duffy","Harris Savides","","WARM | INTERIOR | FILM | VINTAGE | BURN | ORANGE | RETRO | NINE INCH NAILS | EXPRESSIONISM | GRUNGE | 2000S | MARK ROMANEK | HARRIS SAVIDES | ROBERT DUFFY","2000s | Lazy Susan | Stationary camera | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704620909.webp","American Rock GIF By Dyan Jong","American Rock GIF By Dyan Jong (2019)","","Dylan Jong","","","ORANGE","Lazy Susan | Silhouette | Stationary camera"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711258616.webp","Sam Akpro - Death By Entertainment","Sam Akpro - Death By Entertainment (2023)","The music video for ""Death By Entertainment"" by Sam Akpro, directed by Pedro Takahashi, presents the artist and his band as Wall Street-style bankers caught in an endless loop of hard work and intense leisure. The video employs split screens and dynamic camera movements to convey a melancholic yet captivating atmosphere, mirroring the song's themes of repetitive daily life and the blurring lines between day and night due to physical and mental exhaustion.","Pedro Takahashi","Max Conran","Connor Coolbear, Electric Theatre Collective","","Lazy Susan | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711258885.webp","Sam Akpro - Death By Entertainment","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706477937.webp","Freshlabels - Rodeo","","","","","","",""
