video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710024558.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","WALKING | INTERIOR | THEO JAMES","Anger | Locked-On | Towards camera | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717742812.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024) | DAY | EXTERIOR | BASKETBALL | BASKETBALL COURT","Anthropo | Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141165.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","GROUP | DANCERS","Choreo | Locked-On | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704860740.webp","Beats By Dre - Unleashed","Beats By Dre - Unleashed (2023)","Hiro Murai directed Beats by Dre commercial, featuring a locked-on stablization effect on the headphones throughout.","Luke Lynch","Larkin Seiple","","SWEAT | HEADPHONES | WORKOUT | WORKING OUT | BEATS","Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141694.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","WOMAN | DANCING | BREAKDANCE","Choreo | Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704863338.webp","Artist: Sankalp Pandey","Artist: Sankalp Pandey","","Sankalp Pandey","","","INSTAGRAM | TYPOGRAPHY","Locked-On"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703309550.webp","Downtown Kayoto - Changed it","Downtown Kayoto - Changed it (2023)","","Joe Howat","","","DAY | FEET | WALKING | EXTERIOR | COOL | SHOES","Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141242.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","MALE | SINGING | MICROPHONE","Locked-On | Profile"
"https://asset.eyecannndy.com/media/clip/2024/06/07/261717742593.webp","ONHA - KODAK","ONHA - KODAK (2024)","The music video for ""Kodak"" by ONHA, directed by Nitram, showcases the artist moving through different lively and surreal environments that correspond to playlists on a girl's phone. In one standout scene, ONHA is turned into a basketball, remaining the focal point during a game. The video is praised for its ambitious concept and impressive visual effects, making it a visually captivating experience.","M. Tikal","Virgil Leclercq","Francois Dubois","ONHA - KODAK (2024) | DAY | EXTERIOR | BASKETBALL | BASKETBALL COURT","Anthropo | Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704860577.webp","Beats By Dre - Unleashed","Beats By Dre - Unleashed (2023)","Hiro Murai directed Beats by Dre commercial, featuring a locked-on stablization effect on the headphones throughout.","Luke Lynch","Larkin Seiple","","HEADPHONES | BEATS","Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704860688.webp","Beats By Dre - Unleashed","Beats By Dre - Unleashed (2023)","Hiro Murai directed Beats by Dre commercial, featuring a locked-on stablization effect on the headphones throughout.","Luke Lynch","Larkin Seiple","","SWEAT | HEADPHONES | WORKOUT | WORKING OUT | BEATS","Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704860514.webp","Beats By Dre - Unleashed","Beats By Dre - Unleashed (2023)","Hiro Murai directed Beats by Dre commercial, featuring a locked-on stablization effect on the headphones throughout.","Luke Lynch","Larkin Seiple","","HEADPHONES | BEATS","Locked-On"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704863436.webp","Lazy Susan","Lazy Susan (2019)","You might be one of the millions of people whose life was made a little bit easier by Susan and you don’t even know it. Shot breakdown: Overhead tracking shot.","Terri Timely","Donavan Sell","Clinton Homuth","MUSIC | INTERIOR | OVERHEAD | RECORD PLAYER","Locked-On | Overhead Close-up"
