video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720344375.webp","Oddworld x Souly - wzf / maybach","Oddworld x Souly - wzf / maybach (2024)","The music video for ""WZF / Maybach"" by Oddworld x Souly is a visually striking and dynamic production. The video features high-energy performances and a mix of urban and futuristic aesthetics. With vibrant colors and fast-paced edits, the visual storytelling complements the rhythm and intensity of the track. The artists are showcased in various locations, including industrial backdrops and sleek, modern settings, adding to the video's edgy and stylish vibe. The direction creatively blends elements of hip-hop culture with innovative visual effects, making it a captivating watch from start to finish.","Yannic Nixdorf","Patrick Pichler","","MALE | FIRST PERSON | FIGHT | FPV | THERMAL | FIST","First-Person | Low Angle | Thermal"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710390475.webp","Feid - ALAKRAN","Feid - ALAKRAN (2024)","","Unenano","Marcello Peschiera","Cameron Marygold","DAY | MALE | EXTERIOR | RELAXING | LOS ANGELES | MANSION | LOUNGING","Focal shift | Low Angle | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706424140.webp","Fendi 'BFF'  - Directed by","Fendi 'BFF' - Directed by","","Paul Herrmann","","","WOMAN | NIGHT | DUSK | SUNSET | EXTERIOR | DARK | EVENING","Low Angle | Trunk Shot"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708507867.webp","Unicef - Never Give Up","Unicef - Never Give Up (2022)","","Max Neumeier","Fabio Tozzo","Nadia Khairat Gómez","DAY | EXTERIOR | HALATION","Close-Up | Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/03/12/261710224547.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 4. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Dan Sherwen, Matt Platts-Mills","Bjorn Charpentier","Matthieu Toullet","NIGHT | EXTERIOR | FOG | SCARY | SPOOKY | HAUNTED HOUSE","Horror | Low Angle | Ultra Wide"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703285220.webp","Limitless (opening titles)","Limitless (opening titles) (2011)","A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers.","Naomi Geraghty, Tracy Adams","Jo Willems","David Orr, Michael Hatzer","NIGHT | DARK | CITY | NEW YORK CITY","Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704830531.webp","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","DAY | LOW ANGLE | EXTERIOR","Low Angle | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705115750.webp","Adidas - Hello Tomorrow","Adidas - Hello Tomorrow (2004)","The award-winning 2005 Adidas advertisement ""Hello Tomorrow,"" created by Spike Jonze for the adidas 1 sneakers.","Spike Jonze","","","DOOR | ADIDAS | SPOTLIGHT","Extreme Wide | Low Angle | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706423877.webp","Nike SB - Don't Make Plans","Nike SB - Don't Make Plans (2021)","","Matt Carter, Pierre Lesnip","","Company 3, Kath Rascih","INTERIOR | TRAIN","Low Angle | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706588364.webp","Breaking Bad (TV Series)","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705288883.webp","Squarespace - The Singularity","Squarespace - The Singularity (2023)","Squarespace's award-winning Super Bowl commercial, directed by Aoife McArdle and featuring Adam Driver. In the commercial, actor Adam Driver ponders the infinite possibilities of a website selling websites.","Dan Sherwen","Khalid Mohtaseb","George Kyriacou","DAY | EXTERIOR | DESERT | SUN | ADAM DRIVER","Low Angle"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704342798.webp","Elderbrook - Why Do We Shake In The Cold?","Elderbrook - Why Do We Shake In The Cold? (2020)","","Katarina Gramatová","Filip Marek","","INTERIOR | HANDS | LARGE ROOM | CHOREOGRAPHY | DANCE","Dolly | Low Angle"
