video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/27/261711529624.webp","XO","XO","","","","","XO","Magnification"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707901880.webp","Zodiac","Zodiac (2007)","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","Angus Wall","Harris Savides","Stephen Nakamura","MAGNIFYING GLASS | FINGERPRINTS","Magnification"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707902052.webp","Zodiac","Zodiac (2007)","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","Angus Wall","Harris Savides","Stephen Nakamura","MAGNIFYING GLASS | PAPER | WRITING | NOTE","Close-Up | Magnification"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539517.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","WOMAN | INTERIOR | MAGNIFYING GLASS","Magnification"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453421.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | INTERIOR | MAGNIFYING GLASS | OLD | MICROSCOPE","Close-Up | Magnification"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706903032.webp","Converse - AS-1 Pro","Converse - AS-1 Pro (2023)","","Daer Niloc","Eric Schleicher","ETHOS, Joseph Bicknell, Kaitlyn Battistelli","MAGNIFYING GLASS | SHOE | CONVERSE","Infinite Zoom | Magnification | Object Portal | Super Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707902071.webp","Zodiac","Zodiac (2007)","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","Angus Wall","Harris Savides","Stephen Nakamura","MAGNIFYING GLASS | PAPER | WRITING | NOTE","Close-Up | Magnification"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706567452.webp","The Grand Budapest Hotel","The Grand Budapest Hotel (2014)","A visually stunning and comedic masterpiece set in an eccentric Eastern European hotel.","Barney Pilling","Robert Yeoman","Jill Bogdanowicz","MAGNIFYING GLASS","Extreme Close-Up | Magnification"
"https://asset.eyecannndy.com/media/clip/2024/03/10/261710030897.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","David Webb","Bjorn Charpentier, Ed Wild","","WEED | INTERIOR | MARIJUANA | WEIGHT | SCALE","Low Angle | Magnification | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707949464.webp","City of God ‘Cidade de Deus’","City of God ‘Cidade de Deus’ (2002)","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Daniel Rezende","César Charlone","","INTERIOR | COOL | SCREEN","2000s | Magnification"
"https://asset.eyecannndy.com/media/clip/2024/02/14/261707949517.webp","Picnic at Hanging Rock","Picnic at Hanging Rock (1975)","During a rural summer picnic, a few students and a teacher from an Australian girls' school vanish without a trace. Their absence frustrates and haunts the people left behind.","Margaret Cardin, Max Lemon","Russell Boyd","Dee McLelland","MAGNIFYING GLASS | NEWSPAPER | PAPER","Magnification"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706688614.webp","Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Michael A. Stevenson","Hiro Narita","","80S | MAGNIFYING GLASS | KID","1980s | Magnification | Object POV"
