video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703388611.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","CLOSE UP | BLUE | INTERIOR | FASHION | CHANGING ROOM","Masking | Mirror Cam | Object POV"
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703466899.webp","A$AP Rocky - Praise The Lord","A$AP Rocky - Praise The Lord (2018)","Handheld masking shot. Footage superimposed onto door. Tracking towards A$AP.","Dexter Navy","","","GREEN | INTERIOR | WARM WHITE","Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451040.webp","Source unknown","Source unknown","Mask replacement on person walking with Photoshop transparency grid.","","","","DAY | EXTERIOR","Masking"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708246152.webp","Latto - Sunday Service","Latto - Sunday Service (2024)","","HIDJI WORLD","Leroy Farrell","","WOMAN | CAR | NIGHT | EXTERIOR | CITY | VEHICLE","Fast Motion | Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703450610.webp","Source unknown","Source unknown","","","","","WHITE | COLLAGE | SHADOW BOX | SHOE","Collage | Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099775.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","INTERIOR | GIRL | EYE | A$AP ROCKY","Infinite Zoom | Masking | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704333323.webp","Collage Clip by iosonof","Collage Clip by iosonof (2016)","","iosonof","","","STUDIO | MUTED","Collage | Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704333430.webp","Collage Clip by iosonof","Collage Clip by iosonof (2016)","","iosonof","","","COUPLE | TWO SHOT | 50S | VINTAGE | RETRO | KISS","Collage | Masking | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704331657.webp","Made by Kristina Sharabinskaia","Made by Kristina Sharabinskaia","","","","","SURREALIST | VOID","Double Exposure | Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703450689.webp","Milos Rajkovic GIF By Sholim","Milos Rajkovic GIF By Sholim (2017)","","Sholim","","","MASK | CLIPPING","Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704333390.webp","Collage Clip by iosonof","Collage Clip by iosonof (2016)","","iosonof","","","COUPLE | TWO SHOT | MUTED","Collage | Masking | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100311.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","DAY | RUNNING | EXTERIOR | A$AP ROCKY","Masking | Trucking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451148.webp","Contemporary Art Love GIF By Iosonof","Contemporary Art Love GIF By Iosonof","Mask replacement of face with nature timelapse footage. Mixture of modern footage and vintage portrait photography.","iosonof","","","SUNSET | PORTRAIT | VINTAGE","Masking"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709535578.webp","Shifts","Shifts (2021)","Elements of fragmented narrative, abstract visions and blurred memories collected and shuffled together in this small animation study for an abandoned short film. Score by MYNAH FM.","","","","","Masking | Mixed Media | Profile | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704333555.webp","Collage Clip by iosonof","Collage Clip by iosonof (2016)","","iosonof","","","WATER | BLACK AND WHITE | EXTERIOR | DARK | BLACK | WATERFALL","Collage | Masking"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710451925.webp","Empimic - Bittere Welt","Empimic - Bittere Welt (2021)","","Angelo Kovatchev","","","MALE | FACE | BLACK AND WHITE","Double Exposure mask | Masking | Profile"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451579.webp","New Media Animation GIF By Ryan Seslow","New Media Animation GIF By Ryan Seslow (2017)","Wide shot + masking replacement of people with feedback glitch","Ryan Seslow","","","COLLAGE | GLITCH | SATURATION | MASKING | OVER SATURATED COLORFUL","Masking"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341391.webp","The Wolf of Wall Street","The Wolf of Wall Street (2013)","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Thelma Schoonmaker","Rodrigo Prieto","Yvan Lucas","","Masking | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451666.webp","Source unknown","Source unknown","Mask replacement, horse rider to quick cut, on white shadow box background.","","","","","Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451266.webp","Inversion GIF by Kevin McGloughlin","Inversion GIF by Kevin McGloughlin","","Kevin McGloughlin","","","DAY | BLACK AND WHITE | EXTERIOR | DARK | SKATING | SKATEBOARD","Inversion | Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704334913.webp","Metronomy & Katy J Pearson's - Love Factory (2022)","Metronomy & Katy J Pearson's - Love Factory (2022) (2022)","Metronomy & Katy J Pearson's - Love Factory (2022) (2022)","Ned Botwood","","","NIGHT | SPOTLIGHT | WIDE | HARD LIGHT","Conveyor | Masking | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703401994.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. This shot would be categorized as a masking collage duplication conveyor shot. It gives the iconic Nick Young ""Swaggy P"" confused face meme a new lease on internet subculture.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","ANIMATION | MEME | SATURATED | NICK YOUNG | ILLUSTRATION | SWAGGY P","Collage | Conveyor | Duplication | Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451442.webp","Animation Love GIF By Ryan Seslow","Animation Love GIF By Ryan Seslow (2020)","Collage + Mask replacement of face with feedback glitch + maximalism","Ryan Seslow","","","","Collage | Masking | Maximalism"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715657522.webp","(exp. 3)","(exp. 3) (2022)","","","","","DAY | BIKE | EXTERIOR | BIKING | MASKING | BICYCLE | BIKER","Flash Cut | Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704333680.webp","Clip by Said Dagdeviren","Clip by Said Dagdeviren","","Said Dagdeviren","","","WHITE | BEAR | VOID","Masking"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704334978.webp","Metronomy & Katy J Pearson's - Love Factory (2022)","Metronomy & Katy J Pearson's - Love Factory (2022) (2022)","Shotbreakdown: Double exposure masking profile shot in void","Ned Botwood","","","WOMAN | PROFILE | SPOTLIGHT | WIDE | HARD LIGHT","Masking | Profile | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099710.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","INTERIOR | A$AP ROCKY","Infinite Zoom | Masking | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707978989.webp","Casino Royale","Casino Royale (1967)","In an early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.","Bill Lenny, Jack Hildyard","John Wilcox, Nicolas Roeg","","","Masking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451821.webp","John Grant Animation GIF By Ewan Jones Morris","John Grant Animation GIF By Ewan Jones Morris (2018)","Close up mask replacement of face with quick cut collage, on black shadow box.","Ewan Jones Morris","","","DARK | COLORFUL | SATURATED | BLACK","Collage | Cutout | Masking | Mixed Media"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/Lil_Nas_X_Youngboy_Never_Broke_Again_-_Late_To_Da_Party_F_CK_BET_Officia_6HbOa1E/b35d27ce65ebac7afef4e12aa438459d.gif","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","DANCING | GREEN SCREEN | EDITING","Background replacement | BTS | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708474359.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","CAR | DRIVING | TWO SHOT | GREEN SCREEN","Background replacement | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708474049.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","INTERIOR | DANCING | GREEN SCREEN | ROOMS","Background replacement | Stylistic Suck"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708472821.webp","Lil Nas X, Youngboy Never Broke Again - Late To Da Party","Lil Nas X, Youngboy Never Broke Again - Late To Da Party (2022)","The music video for ""Late to da Party (F*ck BET)"" by Lil Nas X and YoungBoy Never Broke Again features provocative imagery, including Lil Nas X urinating on a BET Award, to criticize and satirize the entertainment industry, particularly for Lil Nas X's exclusion from BET Awards nominations.","Chris Villa","Russ Fraser","","INTERIOR | LIL NAS X | RECORD STUDIO","Background replacement | Stylistic Suck"
