video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/11/261704938022.webp","Nike SB - Don't Make Plans","Nike SB - Don't Make Plans (2021)","","Matt Carter, Pierre Lesnip","","Company 3, Kath Rascih","POOL | UNDERWATER | BLUE | SWIMMING","Match Cut"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703388330.webp","Halfprice - Fitting room","Halfprice - Fitting room (2022)","","Nikodem Chabior","Mikołaj Syguda","Florian Martiny","BLUE | INTERIOR | OVERHEAD | FASHION | CHANGING ROOM","Match Cut | Overhead"
"https://asset.eyecannndy.com/media/clip/2024/03/06/261709716753.webp","Poor Things","Poor Things (2023)","The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","Yorgos Mavropsaridis","Robbie Ryan","Greg Fisher","WALKING | EXTERIOR","1800s | Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720165387.webp","Victoria Monet - Alright","Victoria Monet - Alright (2024)","The music video for ""Alright"" by Victoria Monét, directed by Dave Meyers, is a vibrant homage to Janet Jackson, featuring high-energy choreography and striking visuals. In the video, Monét channels Jackson's iconic style, wearing a black-and-white fedora and suit, and performing dynamic dance routines reminiscent of Jackson's 1990s and 2000s era. The video, choreographed by Sean Bankhead, showcases Monét's impressive dance skills and captures the essence of liberation and celebration. Made in collaboration with Jacobi Mehringer, Anna Arnell, and Mia Barnes.","Vinnie Hobbs","Scott Cunningham","Dante Pasquinelli","BLUE | VICTORIA MONET | GLITTER","Choreo | Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710334724.webp","#LoveYourz","#LoveYourz (2018)","A teenage self-love creative collective searches for love and adventure as they explore the outer boroughs of NYC.","Eavvon O’Neal","Greta Zozula, Sam Wootton","Sam Daley","DAY | NATURE | EXTERIOR | PLANE","Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711257987.webp","Sam Akpro - Death By Entertainment","Sam Akpro - Death By Entertainment (2023)","The music video for ""Death By Entertainment"" by Sam Akpro, directed by Pedro Takahashi, presents the artist and his band as Wall Street-style bankers caught in an endless loop of hard work and intense leisure. The video employs split screens and dynamic camera movements to convey a melancholic yet captivating atmosphere, mirroring the song's themes of repetitive daily life and the blurring lines between day and night due to physical and mental exhaustion.","Pedro Takahashi","Max Conran","Connor Coolbear, Electric Theatre Collective","","Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537913.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | BLOOD | EXTERIOR | GORE","Match Cut"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704116433.webp","Delta - Runways","Delta - Runways (2018)","Viola Davis, in a 60-second spot, encourages viewers to embrace life's diverse experiences, symbolized by various scenes transitioning like runways, culminating in a Delta jet taking off into the clouds. Shot breakdown - Yo-yo pan","Mikkel Nielsen","Arnaud Pottier","Sofie Borup","DAY | DOLLY SHOT","Dolly | Match Cut | Probe"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709103281.webp","Watchtower of Turkey","Watchtower of Turkey (2014)","Described as a visual masterpiece, ""Watchtower of Turkey"" is praised for its breathtaking cinematography, dynamic soundtrack, and impeccable editing. The film takes viewers through vibrant cities and awe-inspiring landscapes, showcasing the country's remarkable diversity and beauty. It's more than just a travel video; it's a tribute to Turkey's rich culture, history, and natural wonders, crafted with an eye for detail and a knack for storytelling.","Leonardo Dalessandri","","","YOUNG | DOOR | BOY | KID","Match Cut | Match motion"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704365553.webp","ASAHI — The Unusual","ASAHI — The Unusual (2022)","","MANSON","","","BLUE | INTERIOR | FASHION | DUTCH ANGLE | RUNWAY","Match Cut | Scribble"
