video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703479775.webp","Nike - The Ball Makes Us More","Nike - The Ball Makes Us More (2018)","","Wally Pfister","","Daniel De Vue","SPORTS | SOCCER | JERSEY","Match Split | Subtitles"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703460828.webp","Instagram - Coeur Sur Toi","Instagram - Coeur Sur Toi (2019)","","CANADA, Nicolás Méndez","","","DAY | EXTERIOR | BRIGHT | ICE CREAM","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707401194.webp","JJ DOOM - GUV'NOR","JJ DOOM - GUV'NOR (2012)","","Ninian Doff","Ben Fordesman","Jack Jones","JJ DOOM - GUV'NOR (2012) | DAY | INTERIOR | TRACKING | BIKING | MASK | BICYCLE | MF DOOM","Match Split"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703460802.webp","Instagram - Coeur Sur Toi","Instagram - Coeur Sur Toi (2019)","","CANADA, Nicolás Méndez","","","DAY | WALKING | EXTERIOR | TRACKING | BRIGHT","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707400975.webp","JJ DOOM - GUV'NOR","JJ DOOM - GUV'NOR (2012)","","Ninian Doff","Ben Fordesman","Jack Jones","JJ DOOM - GUV'NOR (2012) | DAY | INTERIOR | PARKING GARAGE | MASK | MF DOOM","Match Split"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703459367.webp","Fargo (TV Series)","Fargo (TV Series) (2014)","Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Curtis Thurber, Robin August","","Mark Kueper, Patrick Bellanger, Sean Coleman, Tony D'Amore","DAY | EXTERIOR | ARRI ALEXA MINI | TRUCK | LEITZ SUMMILUX-C | ARRI ALEXA | ZEISS SUPREME PRIME","Match Split | Split Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703460714.webp","Instagram - Coeur Sur Toi","Instagram - Coeur Sur Toi (2019)","","CANADA, Nicolás Méndez","","","DAY | EXTERIOR | BRIGHT","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711259149.webp","Sam Akpro - Death By Entertainment","Sam Akpro - Death By Entertainment (2023)","The music video for ""Death By Entertainment"" by Sam Akpro, directed by Pedro Takahashi, presents the artist and his band as Wall Street-style bankers caught in an endless loop of hard work and intense leisure. The video employs split screens and dynamic camera movements to convey a melancholic yet captivating atmosphere, mirroring the song's themes of repetitive daily life and the blurring lines between day and night due to physical and mental exhaustion.","Pedro Takahashi","Max Conran","Connor Coolbear, Electric Theatre Collective","","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706253266.webp","Cassius feat Pharrell Williams & Cat Power - Go Up","Cassius feat Pharrell Williams & Cat Power - Go Up (2021)","Cassius feat Pharrell Williams & Cat Power - Go Up (2021)","Alex Courtès","","","EXPLOSION | PHARRELL WILLIAMS | HEAD | FIREWORKS","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707976671.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","TEETH | MOUTH","Match Split | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707401368.webp","JJ DOOM - GUV'NOR","JJ DOOM - GUV'NOR (2012)","","Ninian Doff","Ben Fordesman","Jack Jones","JJ DOOM - GUV'NOR (2012) | DAY | INTERIOR | MASK | MF DOOM","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709972629.webp","Apple Music - Stay","Apple Music - Stay (2023)","","Kim Gehrig","Rodrigo Prieto","Mark Gethin","","Double Exposure | Match Split | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706253433.webp","Art by Andy Babbitz","Art by Andy Babbitz","","","","","PIZZA | BROWSER | MOUSE | TABS","Full frame | Match Split"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703461216.webp","Cassius feat Pharrell Williams & Cat Power - Go Up","Cassius feat Pharrell Williams & Cat Power - Go Up (2021)","Cassius feat Pharrell Williams & Cat Power - Go Up (2021)","Alex Courtès","","","PROFILE | STOCK | LION | PHARRELL WILLIAMS","Match Split"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707401410.webp","JJ DOOM - GUV'NOR","JJ DOOM - GUV'NOR (2012)","","Ninian Doff","Ben Fordesman","Jack Jones","JJ DOOM - GUV'NOR (2012) | DAY | INTERIOR | MASK | MF DOOM","Levitation | Match Split"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711257849.webp","Sam Akpro - Death By Entertainment","Sam Akpro - Death By Entertainment (2023)","The music video for ""Death By Entertainment"" by Sam Akpro, directed by Pedro Takahashi, presents the artist and his band as Wall Street-style bankers caught in an endless loop of hard work and intense leisure. The video employs split screens and dynamic camera movements to convey a melancholic yet captivating atmosphere, mirroring the song's themes of repetitive daily life and the blurring lines between day and night due to physical and mental exhaustion.","Pedro Takahashi","Max Conran","Connor Coolbear, Electric Theatre Collective","EXTERIOR","Match Split"
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703479378.webp","Nike - The Ball Makes Us More","Nike - The Ball Makes Us More (2018)","","Wally Pfister","","Daniel De Vue","SPORTS | SOCCER | JERSEY","Frame Division | Match Split"
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703478179.webp","@wysh.shop / IG","@wysh.shop / IG","","","","","","Match Split"
