video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703451442.webp","Animation Love GIF By Ryan Seslow","Animation Love GIF By Ryan Seslow (2020)","Collage + Mask replacement of face with feedback glitch + maximalism","Ryan Seslow","","","","Collage | Masking | Maximalism"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702704321.webp","A$AP Rocky - D.M.B.","A$AP Rocky - D.M.B. (2022)","","A$AP Rocky","Sean Price Williams","","RED | MUSIC VIDEO | RESTAURANT | INTERIOR | COLLAGE | ROCKY | ASAP ROCKY | ASAP | FLOWERS | PETALS | LAMP | MONEY | A$AP | DINING | CASH","Collage | Maximalism | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702704407.webp","A$AP Rocky - D.M.B.","A$AP Rocky - D.M.B. (2022)","","A$AP Rocky","","","TRUCKING | COLLAGE | BUILDINGS | D.M.B. | DMB | SHOES | ROCKY | ASAP ROCKY | ASAP","Collage | Maximalism | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707084544.webp","Weirdcore Animation","Weirdcore Animation (2024)","","The Vidiot","","","","Generative | Maximalism | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702704192.webp","Reebok - Classic","Reebok - Classic (2022)","","Matthieu Le Scornec","Balthazar Lab","Laurent Ripoll","WOMAN | NECKLACE | BRIDGE | SMILE | PHOTOGRAPHY | FLASH CUT | TRAIN | REEBOK | HEADPHONES | SPLIT SCREEN | MIXED MEDIA | DUPLICATION","Collage | Flash Cut | Maximalism"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707084584.webp","Weirdcore Animation","Weirdcore Animation (2024)","","The Vidiot","","","","Generative | Maximalism | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/03/31/261711860984.webp","Nike - A Feel For Every You","Nike - A Feel For Every You (2023)","The 2023 Nike commercial, ""A Feel For Every You,"" presents fitness as a diverse and personalized experience, likened to a ""mega-mix symphony of sensations"" that ranges from high-energy activities to more relaxed, chill moments. It emphasizes that fitness is a personal choice, unique to each individual.","Ben Cowan, Paul Watts","Oliver Millar","Mikey Rossiter","WOMAN | RUNNING | NIKE","Choreo | Maximalism | Ultra Slow Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702703858.webp","Artist - @haydiroket / IG","Artist - @haydiroket / IG","","Haydiroket","","","SHOES | MIXED MEDIA | STACKED | HAYDIROKET | PUMA | BUILDING | BUSY | CHAOTIC | STOP LIGHT | MAXIMALISM | NYC","Collage | Maximalism"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707627141.webp","Enter the Void","Enter the Void (2009)","An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.","Jérôme Pesnel, Marc Boucrot","Benoît Debie","","","2000s | Away from Camera | Maximalism | Tracking"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704862502.webp","A$AP Rocky - D.M.B.","A$AP Rocky - D.M.B. (2022)","","A$AP Rocky","","","CLOSE UP | TEETH | RIHANNA | A$AP ROCKY","Collage | Maximalism | Mixed Media"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702704033.webp","Downtown Kayoto - Changed it","Downtown Kayoto - Changed it (2023)","","Joe Howat","","","DOWNTOWN KAYOTO | JOE HOWAT | BAG | COLLAGE | SHADOW BOX | STACKED | PROJECTION | GOLDFISH | HOWAT | CLOTHING | SHIRT | BATH | KAYOTO","Collage | Maximalism"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702866508.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","BLUNT | WEED | EXTERIOR | SMOKING | COOL | ASAP | TRAIN | NYC | CITY | NEW YORK | NEW YORK CITY | FERG | ASAP FERG | SUBWAY","Collage | Flash Cut | Maximalism | Wipe Transition"
