video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720164291.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","TREADMILL","Morphing | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401891.webp","Art by Matthias Brown","Art by Matthias Brown (2020)","","Matthias Brown (TraceLoops)","","","LETTER | ALPHABET","Hand-drawn | Morphing | Pencil Sketch"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402191.webp","Art by Johannes Stoetter","Art by Johannes Stoetter","Created by famed body paint artist Johannes Stoetter.","Johannes Stoetter","","","BUTTERFLY","Forced Perspective | Morphing"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702963037.webp","Art Animation GIF by Sofia Qin","Art Animation GIF by Sofia Qin (2022)","","Sofia Qin","","","","Morphing | Pencil Sketch"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716235825.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","COLOR SHIFT | AI | GENERATIVE | STABLE DIFFUSION","Generative | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401460.webp","Kendrick Lamar - The Heart Part 5","Kendrick Lamar - The Heart Part 5 (2022)","","Dave Free","","","RED | INTERIOR | STUDIO | KENDRICK LAMAR","Morphing"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702892622.webp","Bounty Banana - inTENsity","Bounty Banana - inTENsity (2022)","Pure adrenaline in the form of a rebrand effort from Bounty Banana. Intense enough?","Florian Julia","Mahdi Lepart","Nicolas Gautier","","Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401816.webp","Art by Matthias Brown","Art by Matthias Brown (2020)","","Matthias Brown (TraceLoops)","","","","Morphing | Pencil Sketch"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704921874.webp","Animation from Dan Norman","Animation from Dan Norman","","Dax Norman","","","COLORFUL | EYEBALL | CYAN | SATURATION | ILLUSTRATION | SATURED | BEAK | MORPHING | TRANSFORMATION","Color Sketch | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401542.webp","Art Morphing GIF By HOLY FIELD","Art Morphing GIF By HOLY FIELD (2022)","","","","","BLACK AND WHITE","Morphing | Vector"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704922176.webp","Animation from Dan Norman","Animation from Dan Norman","","Dax Norman","","","BLUE | COLORFUL | SATURATED | SATURATION | ILLUSTRATION | ILLUSTRATED | LIME GREEN","Color Sketch | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261706042156.webp","Sokół – Miłość zawsze jest","Sokół – Miłość zawsze jest (2023)","","","","","DAY | INTERIOR | WEDDING | COUPLE | 1940S | HAPPY | SMILES | MARRIAGE","1940s | Bullet Time | Color Shift | Happiness | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707631452.webp","Valentino Khan - Deep Down Low","Valentino Khan - Deep Down Low (2016)","One of the weirdest music videos you'll ever watch. We don't recommend watching while high. Actually scratch that. Even better when high. Fever, hallucinogens, or the hypnotic beat at the track make his nightmares increasingly bizarre. In the restaurant, dancing facial features and tentacles sprouting from a waitress's eyes push him to flee the surreal scene.","Gaia Borretti","Naoki Noda","Luke Morrison","WARP | MORPH | CHEF","Altered state | Drug trip | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704921959.webp","Animation from Dan Norman","Animation from Dan Norman","","Dax Norman","","","CAR | SURREAL | COLORFUL | EYEBALL | SATURATED | SATURATION | MOUTH | TRIP | TRANSFORMATION","Color Sketch | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706400892.webp","Whoana Keli - @whoana.keli","Whoana Keli - @whoana.keli (2023)","","","","","WOMAN | RODENT","Animation | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706400990.webp","Kendrick Lamar - The Heart Part 5","Kendrick Lamar - The Heart Part 5 (2022)","","Dave Free","","","RED | INTERIOR | STUDIO | KENDRICK LAMAR","Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402021.webp","Art by Aloys Feeney","Art by Aloys Feeney (2016)","","Aloys Feeney","","","","Charcoal | Morphing"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401840.webp","Art by Matthias Brown","Art by Matthias Brown (2020)","","Matthias Brown (TraceLoops)","","","","Morphing | Pencil Sketch"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401912.webp","Art by Matthias Brown","Art by Matthias Brown (2020)","","Matthias Brown (TraceLoops)","","","LETTER | ALPHABET","Morphing | Pencil Sketch"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706401360.webp","Source unknown","Source unknown","","","","","FACE | BLACK AND WHITE","Live action pixelation | Morphing"
