video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/20/261710976709.webp","Usher, H.E.R. - Risk It All","Usher, H.E.R. - Risk It All (2024)","In the 2024 music video 'Risk It All' directed by Dave Meyers, Usher and H.E.R. deliver an emotionally charged performance, underscored by contemporary dance, on a rotating platform in a dimly lit setting. The video, known for its sophisticated yet steamy ambiance, culminates in a poignant moment with Usher tearfully singing the final note. This collaboration is a standout part of 'The Color Purple' soundtrack, showcasing the artistic depth and vulnerability of both artists.","Nathan Rodgers","Scott Cunningham","Pavel Marko","DANCING | SENSUAL | USHER | UNDERWEAR | SUGGESTIVE | BOXERS","Echo print | Lazy Susan | Motion Blur | Speed Ramp | Stationary camera"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710832875.webp","Oppo - Make Every Shot Stand Out","Oppo - Make Every Shot Stand Out (2024)","","Gramatova Katarina","Filip Marek","Arthur Paux","INTERIOR | HAND | PHONE","Extreme Close-Up | Fast Motion | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706500235.webp","Jackboys - Gang Gang","Jackboys - Gang Gang (2019)","2019 music video for Jackboys and directed by Cactus Jack and White Trash Tyler. Produced by Nathan Scherrer & Randy Donaldson for Freenjoy.","Cactus Jack, White Trash Tyler","","","CAR | NIGHT | EXTERIOR","Motion Blur | Step-print"
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709342611.webp","AJ Tracey - Wifey Riddim 4","AJ Tracey - Wifey Riddim 4 (2024)","","Late Milk","Mike Koziel","","YELLOW | NIGHT | TAXI | EXTERIOR | VEHICLE","Fast Motion | Fixed Cam | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706901528.webp","Burberry x POP","Burberry x POP (2022)","","Colin Read","Eric Schleicher","Joseph Bicknell","MOTION BLUR | NIGHT | EXTERIOR | SKATING | SKATEBOARD","Low Frame-rate | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709019389.webp","Snipes x Nike - The Cypher","Snipes x Nike - The Cypher (2023)","","Alexis Benot, Eugène Signoret","Cesar Decharme","Arthur Paux","GROUP | DANCE | CYPHER","Motion Blur"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261703998428.webp","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","DAY | EXTERIOR","Jump cut | Motion Blur | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707633084.webp","IKEA – Show Off Your Savvy","IKEA – Show Off Your Savvy (2023)","","Hasani Franke-Harris","Benjamin Todd","Matt Turner","MALE | MOTION BLUR | INTERIOR","Fast Motion | Fourth Wall | Motion Blur | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708402737.webp","Talladega Nights: The Ballad of Ricky Bobby","Talladega Nights: The Ballad of Ricky Bobby (2006)","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","Brent White","Oliver Wood","Joe Finley","RACING | EXTERIOR | STADIUM | NASCAR | RACETRACK | RACE CAR","Motion Blur | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706902404.webp","Burberry x POP","Burberry x POP (2022)","","Colin Read","Eric Schleicher","Joseph Bicknell","NIGHT | EXTERIOR | REFLECTIVE | GLOW","Duplication | Echo print | Fast Motion | Motion Blur | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707625980.webp","Lil Uzi Vert - Just Wanna Rock","Lil Uzi Vert - Just Wanna Rock (2022)","2022 music video for Lil Uzi Vert from renowned artist, Gibson Hazard. Produced in collaboration between House of Hazard and ShotClock. Visual effects from Black Hat VFX.","Chris Villa, Kenny Shimm (Editor)","Cory Burmester","Josh Bohoskey, Matt Osborne","NIGHT | EXTERIOR | DARK | VEHICLE","Altered state | Fast Motion | Fixed Cam | Inebriation | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706500446.webp","Fallen Angels","Fallen Angels (1995)","This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.","Wong Kar-Wai","","","WARM | INTERIOR","Low Frame-rate | Motion Blur"
