video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099710.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","INTERIOR | A$AP ROCKY","Infinite Zoom | Masking | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099841.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","INTERIOR | BLONDE | ORANGE | ZOOM | PORTAL | A$AP ROCKY | FRANK OCEAN","Feedback | Object Portal | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708244972.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","WATER | MACRO | BLUE | EYEBALL | PUPIL","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710364832.webp","Fortuna - Fortuna Favors You","Fortuna - Fortuna Favors You (2024)","To be lucky is not lucky. We have to push our luck. Whether it’s a favorite ritual, hard preparation or careful analysis and study… These are all things that tilt fortune in our favor. Fortuna favors you. New TVC for year 2023.","Petr Dvořák","","","CAMERA | LENS | COINS","Object Portal | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707624980.webp","Art by Devon Lalin","Art by Devon Lalin","","","","","","Altered state | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709018065.webp","Sheck Wes, JID & Ski Mask The Slump God - Fly Away","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Cole Bennett","Franklin Ricart","Josh Bohoskey","MALE | ALL IS YELLOW | 3D ANIMATION | CHAIN","Object Portal | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710575485.webp","Ken Carson - Fighting My Demons","Ken Carson - Fighting My Demons (2023)","The music video for ""Fighting My Demons"" by Ken Carson, directed by Cole Bennett, was released in 2023 and features unique, glitchy visuals. The video presents a series of grainy, 3D footage that gives off the impression of being shot with night-vision goggles, offering a surreal viewing experience. It mainly showcases Ken Carson partying and performing his lyrics, creating a montage that aligns with the song's themes. The video's eerie and dark aesthetics were noted for drawing inspiration from the style of 1990s Japanese cinema, culminating in a profound, existential moment where Ken faces a haunting black void, adding depth and narrative to the visual experience.","Cole Bennett","Franklin Ricart","Loren White","","Object Portal | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703203817.webp","IKEA - Make Space for What You Love","IKEA - Make Space for What You Love (2022)","","Mackenzie Sheppard","Mikul Villaluna Eriksson","","WARM | INTERIOR","Magical realism | Object Portal | Object POV"
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704507835.webp","Clip from Mikhail Parkhomenko","Clip from Mikhail Parkhomenko","","Mikhail Parkhomenko (parh0)","","","COLORFUL | DOLLY | SATURATED | HULA HOOP","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/03/01/261709329887.webp","Graubünden - Best Version (DC)","Graubünden - Best Version (DC) (2024)","","Thomas Cervenca","Pierre Castillo Bernad","Nurali Kushkov","PAINTING | GALLERY","Object Portal | Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/21/261703199199.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","CLOSE UP | GOLD | NIGHT | TEETH | GRILLZ","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705099960.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","A$AP ROCKY","Infinite Zoom | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709971504.webp","Nike - Rise of the kids","Nike - Rise of the kids (2022)","","ALASKA","Todd Martin","","GOLF","Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703214111.webp","The Wandering Earth","The Wandering Earth (2019)","As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.","Cheung Ka-fai","Michael Liu","Amber Zhang","SPACE | EXTERIOR | DARK | OUTER SPACE | EYE | WINDOW PORTAL | NATURLA","Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703214788.webp","Nike x End Clothing","Nike x End Clothing (2020)","","Felix Brady","Pat Aldinger","Tim Smith","BLUE | DUSK | EXTERIOR | DARK | COOL | DOLLY IN","Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261703028977.webp","Object Portal GIF by Lauren Sanderson","Object Portal GIF by Lauren Sanderson","","Lauren Sanderson","","","WHITE | NATURAL LIGHT | SILHOUETTE | VINTAGE | OBJECT PORTAL | NATURAL | VHS | LAUREN SANDERSON | WINDOWS | WASHING MACHINE","Object Portal | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704918924.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","WOMAN | PORTAL | PHONE | VOID | CAMCORDER","Infinite Zoom | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707976578.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","TEETH | MOUTH","Magical realism | Object Portal | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707974207.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","INTERIOR | DOOR | PORTAL | RUG","Object Portal | Rotoscope"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707625739.webp","Lil Uzi Vert - Just Wanna Rock","Lil Uzi Vert - Just Wanna Rock (2022)","2022 music video for Lil Uzi Vert from renowned artist, Gibson Hazard. Produced in collaboration between House of Hazard and ShotClock. Visual effects from Black Hat VFX.","Chris Villa, Kenny Shimm (Editor)","Cory Burmester","Josh Bohoskey, Matt Osborne","VEHICLE | TRUCK | LIDAR","Object Portal | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709016440.webp","adidas - Imagination","adidas - Imagination (2017)","","Robert Lopuski","Pat Scola","","MACRO | DUSK | EXTERIOR | EYE | SOCCER | ATHLETE | LOS ANGELES | EVENING | GIO REYNA","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100257.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","A$AP ROCKY","Infinite Zoom | Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702784060.webp","Anime Crimes Division (TV Series)","Anime Crimes Division (TV Series) (2017)","Agent Furaya and newly assigned partner Diesel chase down rare Yu-Gi-Oh cards and Gundam killers in this collaboration series between RocketJump and Crunchyroll.","Freddie Wong, Matthew Arnold","Lauren Haroutunian","Persephanie Engel","GLASSES | OBJECT PORTAL | PORTAL | EYE PORTAL","Object Portal | Super Zoom"
"https://asset.eyecannndy.com/media/clip/2023/12/21/261703198896.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","DAY | BULLET TIME | MOUTH | FROZEN","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710824529.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","RED | TITLE | MOUTH | OBJECT POV","Object Portal | Pass Through | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709342666.webp","AJ Tracey - Wifey Riddim 4","AJ Tracey - Wifey Riddim 4 (2024)","","Late Milk","Mike Koziel","","CAR | EXTERIOR | RIM | WHEEL","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100141.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","A$AP ROCKY","Infinite Zoom | Object Portal | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/21/261703199986.webp","Nike - Never Settle. Never Done","Nike - Never Settle. Never Done (2022)","","Alexandre Sellem, Hugo Beron, Lola Margrain","Maeva Von Dinh, Paul Guilhaume","Arthur Paux","DAY | RED | SPORTS | INTERIOR | BULLET TIME | SOCCER | STADIUM | FRAME","Arc | Bullet Time | Object Portal | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100210.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","A$AP ROCKY","Infinite Zoom | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705100008.webp","A$AP Rocky - A$AP Forever","A$AP Rocky - A$AP Forever (2018)","A$AP Rocky returns as the ""fashion killa"" in the music video for his latest single, ""A$AP Forever,"" featuring Moby. Directed by Dexter Navy, the video features Rocky and the A$AP Mob in various New York locations, with a cameo by Moby, credited for the heavy sampling of his 1999 hit ""Porcelain.""","Dexter Navy","","Matt Turner","A$AP ROCKY","Infinite Zoom | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708420551.webp","AJR - The DJ Is Crying For Help","AJR - The DJ Is Crying For Help (2022)","Directed by Austin Roa and released on November 18, 2022. The video was filmed in Paris during a cloudy day off from AJR's Europe tour and features the band running through the city, most notably in front of the Eiffel Tower.","Austin Roa","","","DAY | EXTERIOR | SITTING","Duplication | Object Portal | Screen Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706903032.webp","Converse - AS-1 Pro","Converse - AS-1 Pro (2023)","","Daer Niloc","Eric Schleicher","ETHOS, Joseph Bicknell, Kaitlyn Battistelli","MAGNIFYING GLASS | SHOE | CONVERSE","Infinite Zoom | Magnification | Object Portal | Super Zoom | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704822081.webp","Yuh - Can Do it","Yuh - Can Do it (2022)","","We Are From L.A","Nicolas Loir","","EYE | PHONE","Object Portal | Screen in Screen | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703106006.webp","NBA - Play Off Mode","NBA - Play Off Mode (2023)","Welcome to ""Playoff Mode""—that's the spot's title—which follows Non-Stop around the globe and even into orbit, as he hobnobs with hoop stars Donovan Mitchell, Julius Randle, Jaren Jackson Jr. and Jamal Murray.","Terence Neale","","","DAY | EXTERIOR | OBJECT PORTAL | HOLE | TERENCE NEALE","Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706507026.webp","Unknown source","Unknown source","","","","","ELEVATOR","Object Portal"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703213540.webp","Armani White - Billie Eilish.","Armani White - Billie Eilish. (2022)","Directed by Mikey D’Amico, Davey Robinson, and Armani White. Beautiful homage to a litany of Billie Eilish references.","Casamare Filmworks","","Salvador Madriz","UNO","Object Portal"
