video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/14/tumblr_f12a842f1e19fd8d44854498f2b013dc_9449a71c_540/92a5308a10e3abc4daedb958133debf5.gif","Zodiac","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_e17e93bb5963841eed3772a8ebc75470_9d14b448_540/8b8a08a574222f74a923f211b2aa6846.gif","Everything Everywhere All at Once","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/09/10/261725946726.webp","Sabrina Carpenter Ft. Jenna Ortega - Taste","Sabrina Carpenter Ft. Jenna Ortega - Taste (2024)","In Sabrina Carpenter's music video for ""Taste,"" co-starring Jenna Ortega, the duo engage in a gory, darkly comedic rivalry over a two-timing boyfriend. Directed by Dave Meyers, the video features numerous campy horror and cult film references, including scenes inspired by Death Becomes Her and Kill Bill. Carpenter and Ortega repeatedly murder each other in elaborate ways, including stabbings, voodoo dolls, and falls from great heights, only to make up with a kiss. In collaboration with Jacobi Mehringer, Anna Arnell, and Lizzy Walker.","Emile Doucette","Scott Cunningham","Dante Pasquinelli, ETHOS","POOL | BLOOD | DEAD | MURDER | DROWN","Horror | Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/05/09/261715293278.webp","Inter Alia (Short Film)","Inter Alia (Short Film) (2023)","A musician is given everything. Money, fame, & more...but sometimes our dreams are just nightmares. After you arrive to your success, what comes next? Can you still find who you are after losing yourself? Is any of this even real?","Daniel Lawrence Wilson","Michael Fenton","","WOMAN | NIGHT | INTERIOR | ROOM","Over the Shoulder | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705385969.webp","Moonlight","Moonlight (2016)","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood. Directed by Barry Jenkins and shot on an Arri Alexa XT camera.","Joi McMillon, Nat Sanders","James Laxton","Alex Bickel","RESTAURANT | NIGHT | BACK OF HEAD | INTERIOR | ANGENIEUX | HAWK V-LITE | ARRI ALEXA XT","1980s | Over the Shoulder | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709102682.webp","Watchtower of Turkey","Watchtower of Turkey (2014)","Described as a visual masterpiece, ""Watchtower of Turkey"" is praised for its breathtaking cinematography, dynamic soundtrack, and impeccable editing. The film takes viewers through vibrant cities and awe-inspiring landscapes, showcasing the country's remarkable diversity and beauty. It's more than just a travel video; it's a tribute to Turkey's rich culture, history, and natural wonders, crafted with an eye for detail and a knack for storytelling.","Leonardo Dalessandri","","","DAY | EXTERIOR | BUILDING | OLD MAN","Match Cut | Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711004119.webp","Asics - Making Weight","Asics - Making Weight (2023)","","Brian Chambers","Gabriel Crawford Connelly","Sam Gilling","MALE | COACH | INTERIOR | WEIGHT | SCALE","Over the Shoulder | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706482806.webp","Downsizing","Downsizing (2017)","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.","Kevin Tent","Phedon Papamichael","Skip Kimball","MATT DAMON | JASON SUDEIKIS","Miniature | Over the Shoulder | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710311721.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 5. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Nick Allix","Callan Green","Matthieu Toullet","MALE | RESTAURANT | EATING | LAMP | DINING | TABLE | DESSERT | CAKE | SCENE SYMMETRY | FORK","Central Framing | Dolly | Over the Shoulder | Technocrane"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716271569.webp","Dune: Part Two","Dune: Part Two (2024)","Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.","Joe Walker","Greig Fraser","Dave Cole","","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707687620.webp","Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind (2004)","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Valdís Óskarsdóttir","Ellen Kuras","Kenny Becker","DAY | INTERIOR | LIBRARY | BOOKSHELF","Over the Shoulder | Voyeur"
"https://asset.eyecannndy.com/media/clip/2024/01/16/261705386163.webp","Moonlight","Moonlight (2016)","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood. Directed by Barry Jenkins and shot on an Arri Alexa XT camera.","Joi McMillon, Nat Sanders","James Laxton","Alex Bickel","RESTAURANT | NIGHT | BACK OF HEAD | INTERIOR | ANGENIEUX | HAWK V-LITE | ARRI ALEXA XT","1980s | Over the Shoulder | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508484.webp","Talk To Me","Talk To Me (2023)","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Geoff Lamb","Aaron McLisky","Marty Pepper","INTERIOR | PHONE","Over the Shoulder | Screen in Screen | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453726.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | SMILE | SHOP | HAPPY","Happiness | Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710023995.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","MALE | INTERIOR","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710023963.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","WOMAN | INTERIOR","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706174533.webp","Snowpiercer","Snowpiercer (2013)","In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","Kim Chang-ju, Steve M. Choe","Hong Kyung-pyo","Kevin Kang, Yvan Lucas","MAP","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453654.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | NIKE | INTERIOR | SHOES","Over the Shoulder | Product | Product: Shoes"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710453770.webp","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","MALE | STORE","Confusion | Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/10/261710032234.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","David Webb","Bjorn Charpentier, Ed Wild","","DAY | CAR | INTERIOR","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710332395.webp","Our England","Our England (2022)","","India Harris","","","BLUE | INTERIOR | GIRL | BEDROOM | ATHLETE | KID","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/05/261709635461.webp","Cowboy Bepop (TV Series)","Cowboy Bepop (TV Series) (2021)","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price. Created by Christopher L. Yost.","Bridget Durnford, Elliot Greenberg","Dave Perkal, Jean-Philippe Gossart, Thomas Burstyn","Bill Ferwerda, Company 3","","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710025389.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","CAR | INTERIOR | TWO SHOT","Over the Shoulder"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707687585.webp","Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind (2004)","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Valdís Óskarsdóttir","Ellen Kuras","Kenny Becker","DAY | INTERIOR | LIBRARY | BOOKSHELF","Over the Shoulder | Voyeur"
