video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710025907.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","RUNNING | EXTERIOR","Pan"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715641625.webp","Vince Staples - Norf Norf","Vince Staples - Norf Norf (2015)","The music video for ""Norf Norf"" by Vince Staples, released in 2015, features documentary-style footage that portrays the harsh realities of life in North Long Beach, California. Through scenes of Vince in a police car and visuals of his neighborhood, the video underscores the song's themes of systemic injustice and police brutality.","Spike Jordan, Vince Staples","","","INTERIOR | BLACK AND WHITE | JAIL | ARRESTED | PRISON | VINCE STAPLES","Pan"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709094715.webp","Beethoven","Beethoven (1992)","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen. Suggested by a brilliant Creative Director.","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","DAY | EXTERIOR","1990s | Pan"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709537573.webp","Miel De Montagne - Le Pigeon","Miel De Montagne - Le Pigeon (2023)","2023 music video directed and edited by Morgan Jouquand.","Morgan Jouquand","","","DAY | EXTERIOR | SKATING | SKATEBOARD | PAN | PIGEON","Ground Level | Pan | Ultra Wide"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709097296.webp","Beethoven","Beethoven (1992)","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen. Suggested by a brilliant Creative Director.","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","DAY | WOMAN | INTERIOR | MIRROR | BEDROOM | ROOM","1990s | Focal shift | Pan"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709095093.webp","Beethoven","Beethoven (1992)","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen. Suggested by a brilliant Creative Director.","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","DAY | WALKING | EXTERIOR | RAIN | DOG | POSTER","1990s | Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706572377.webp","1917","1917 (2019)","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Lee Smith","Roger Deakins","Greg Fisher","EXPLOSION | RUNNING | NIGHT | WAR","Pan | Trucking"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707641565.webp","Nu Genea - Marechià (with Célia Kameni)","Nu Genea - Marechià (with Célia Kameni) (2021)","Nu Genea - Marechià (with Célia Kameni) (2021)","Fabio Gargano, Guido Lombardi","","","WALKING | EXTERIOR | TRAFFIC SIGN","Pan | Zoom out"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709095629.webp","Beethoven","Beethoven (1992)","A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen. Suggested by a brilliant Creative Director.","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","DAY | EXTERIOR | CHAIR","Campy | Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705998021.webp","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","CAR | ROAD | DRIVING | NIGHT | EXTERIOR | CITY | VEHICLE | LIL DICKY | JOKER | CHASE","Pan"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705123175.webp","Canon - Live for the Story","Canon - Live for the Story (2017)","Canon - Live for the Story (2017)","Joe Guest","Kasper Tuxen","","CAR | ROAD | DRIVING | NIGHT | INTERIOR | FRIENDS | GROUP","Close-Up | Happiness | Pan"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812867.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Away from Camera | Medium Close-up | Pan"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710831605.webp","Oppo - Make Every Shot Stand Out","Oppo - Make Every Shot Stand Out (2024)","Oppo - Make Every Shot Stand Out (2024)","Gramatova Katarina","Filip Marek","Arthur Paux","WOMAN | INTERIOR | BARBERSHOP","Low Angle | Pan | Ultra Wide"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706480318.webp","Mula B - Blokke Gepikt","Mula B - Blokke Gepikt (2024)","2024 music video for Mula B from director Folkert Verdoorn. Fire, snow, and a thrilling escape dance.","Folkert Verdoorn","Douwe Hennink","De Grot","INTERIOR | HALLWAY | GUN | COPY | SOLDIER | RIFLE","Pan | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703409041.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","CAR | ROAD | EXTERIOR | KENDRICK LAMAR | VEHICLE | COOL WHITE | GREY POUPON","Aside | Pan"
