video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705035085.webp","Source unknown","Source unknown","","","","","DAY | EXTERIOR | MOUNTAIN | HIKER | LANDSCAPE","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399878.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705035327.webp","Carnivàle (Opening credits)","Carnivàle (Opening credits) (2013)","During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.","","","","TAROT","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705030138.webp","Jimmy Nelson - Blink. And they're gone","Jimmy Nelson - Blink. And they're gone","Made in collaboration with @Senthil Kumar / Music by Dhruv Ghanekar @WAH WAH MUSIC Worldwide call to preserve global cultural heritage by portraying the world’s last indigenous cultures in all their glory","Jimmy Nelson","","","DAY | EXTERIOR | PHOTOGRAPHY | PEOPLE","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705035292.webp","Carnivàle (Opening credits)","Carnivàle (Opening credits) (2013)","During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.","","","","TAROT","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705034582.webp","Source unknown","Source unknown","","","","","WOMAN | COLLAGE | FLOWERS","Collage | Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399824.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399774.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Conveyor | Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399551.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399918.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705034709.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","SHADOW BOX | PHOTOGRAPHY | PARALLAX","Parallax | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399726.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705034972.webp","'Love You Kiss' by Moments Of Colour","'Love You Kiss' by Moments Of Colour (2021)","","","","","NIGHT | COUPLE | TWO SHOT | EXTERIOR | KISS | UMBRELLA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705033886.webp","BERÄ - The Green Knight - A24","BERÄ - The Green Knight - A24","","","","","RED | GREEN KNIGHT | A24","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399685.webp","Ultimate Sinatra - Frank Sinatra's 100th Birthday","Ultimate Sinatra - Frank Sinatra's 100th Birthday (2015)","Universal Music asked me to create a video about Frank Sinatra who would have had his 100th birthday on December 12, 2015 - to promote the Ultimate Sinatra CD Box.","","","","BLACK AND WHITE | FRANK SINATRA","Parallax"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705035243.webp","Carnivàle (Opening credits)","Carnivàle (Opening credits) (2013)","During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.","","","","TAROT","Parallax"
