video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/09/10/261725943725.webp","ScHoolboy Q - Floating","ScHoolboy Q - Floating (2019)","","Neal Farmer","Chris Ripley","","NIGHT | WINDOW | CITY","Pass Through | Seamless Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706507883.webp","KITKAT - Break Épico","KITKAT - Break Épico (2023)","Shot breakdown: Probe lens dolly in + profile two shot in void.","Kill The Buddha","","","","Object POV | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704508646.webp","Clip from Mikhail Parkhomenko","Clip from Mikhail Parkhomenko","Shot: FPV drone mimicking a dolly shot to 180 degree tilt flip","Mikhail Parkhomenko (parh0)","","","RUNNING | CAR | INTERIOR | GROUND | GARAGE | MECHANIC","Fisheye | FPV Drone | Ground Level | Pass Through | Tilt"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715574622.webp","Ariana Grande - Positions","Ariana Grande - Positions (2020)","The music video for Ariana Grande's ""Positions"" creatively alternates between her role as the President in the White House and her personal life, showcasing her handling both leadership responsibilities and domestic bliss with ease and elegance.","Alyssa Oh","Scott Cunningham","Company 3, Stefan Sonnenfeld","GREEN | GRASS | EXTERIOR | DOOR | AERIAL | MEETING | WHITE HOUSE | ARIANA GRANDE | BOARD ROOM","FPV Drone | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710364360.webp","Fortuna - Fortuna Favors You","Fortuna - Fortuna Favors You (2024)","To be lucky is not lucky. We have to push our luck. Whether it’s a favorite ritual, hard preparation or careful analysis and study… These are all things that tilt fortune in our favor. Fortuna favors you. New TVC for year 2023.","Petr Dvořák","","","NIGHT | TYPOGRAPHY | TITLE CARD | AERIAL | CRANE","FPV Drone | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706574129.webp","Infinite loop animation by Justfont","Infinite loop animation by Justfont","","","","","EYE | TRIP","Infinite Loop | Infinite Zoom | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706507963.webp","Tyler, The Creator - Who Dat Boy","Tyler, The Creator - Who Dat Boy (2017)","","Tyler Okonma","Luis Perez","","PEEP HOLE","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715574573.webp","Ariana Grande - Positions","Ariana Grande - Positions (2020)","The music video for Ariana Grande's ""Positions"" creatively alternates between her role as the President in the White House and her personal life, showcasing her handling both leadership responsibilities and domestic bliss with ease and elegance.","Alyssa Oh","Scott Cunningham","Company 3, Stefan Sonnenfeld","GREEN | GRASS | EXTERIOR | AERIAL | WHITE HOUSE","FPV Drone | Pass Through | Title Card"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706422889.webp","Rosalia - Saoko","Rosalia - Saoko (2022)","Rosalía and her motorcycle girl gang run riot in Valentin Petit's brilliant video for Saoko, the first track from the Spanish superstar's latest album Motomami. Shot breakdown: Ultra Wide Zero distortion lens low angle tracking in shot.","Jon Echeveste","Paul Guilhaume","Arthur Paux","WOMAN | EXTERIOR | HELMET","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706425189.webp","It Chapter Two","It Chapter Two (2019)","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Jason Ballantine","Checco Varese","Company 3, Stephen Nakamura","DARK | PUZZLE","2010s | Low Angle | Pass Through | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/01/261709330441.webp","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME)","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME) (2024)","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME) (2024)","Will Norman","Melchiorre Ruvolo","Juliette Wileman","","Pass Through | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704112408.webp","KITKAT - Break Épico","KITKAT - Break Épico (2023)","Shot breakdown: Probe lens dolly in + profile two shot in void.","Kill The Buddha","","","RED | TWO SHOT | DARK | VOID","Dolly | Pass Through | Probe | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/16/261702688753.webp","Rosalia - Saoko","Rosalia - Saoko (2022)","Probe lens from inside a vehicles gas tank. We don't consider this an OBJECT POV because we exit the gas tank, as well as Rosalia's agknowledgement of the camera with her smile. We'd consider this a fourth wall-breaking shot from a unique perspective.","Jon Echeveste","Paul Guilhaume","Arthur Paux","POV | DRIVING | GAS","Aside | Fourth Wall | Pass Through | Probe"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710576351.webp","Ken Carson - Fighting My Demons","Ken Carson - Fighting My Demons (2023)","The music video for ""Fighting My Demons"" by Ken Carson, directed by Cole Bennett, was released in 2023 and features unique, glitchy visuals. The video presents a series of grainy, 3D footage that gives off the impression of being shot with night-vision goggles, offering a surreal viewing experience. It mainly showcases Ken Carson partying and performing his lyrics, creating a montage that aligns with the song's themes. The video's eerie and dark aesthetics were noted for drawing inspiration from the style of 1990s Japanese cinema, culminating in a profound, existential moment where Ken faces a haunting black void, adding depth and narrative to the visual experience.","Cole Bennett","Franklin Ricart","Loren White","","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711005578.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","GREEN | FOREST | NATURE | PORTLAND | OREGON","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708420944.webp","AJR - The DJ Is Crying For Help","AJR - The DJ Is Crying For Help (2022)","Directed by Austin Roa and released on November 18, 2022. The video was filmed in Paris during a cloudy day off from AJR's Europe tour and features the band running through the city, most notably in front of the Eiffel Tower.","Austin Roa","","","DAY | RUNNING | EXTERIOR | PARIS | STEPS","Duplication | Echo print | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706506662.webp","Chase - Shuffle","Chase - Shuffle (2020)","","Paul Hardcastle, Trim Editing","Albert Salas","","DAY | CAR | EXTERIOR","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711005517.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","GREEN | FOREST | NATURE | PORTLAND | OREGON","Pass Through | Title Card"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703215008.webp","H&M - House of Members","H&M - House of Members (2023)","A colourful, fun and smashing world of the H&M membership – “The house of members”.","Jason Yan Francis","Persona","","RED | WHITE | CLOSE UP | INTERIOR | MAIL SLOT | DOOR SLOT","Pass Through | Probe"
"https://asset.eyecannndy.com/media/clip/2024/03/05/261709635545.webp","Cowboy Bepop (TV Series)","Cowboy Bepop (TV Series) (2021)","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price. Created by Christopher L. Yost.","Bridget Durnford, Elliot Greenberg","Dave Perkal, Jean-Philippe Gossart, Thomas Burstyn","Bill Ferwerda, Company 3","","Overhead | Pass Through | Seamless Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706507660.webp","Elliot James Mulhern - How's It Gonna Stop?","Elliot James Mulhern - How's It Gonna Stop? (2020)","","Elliot James Mulhern, Joseph Mercado","","","KEYHOLE","Object POV | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709970071.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","WOMAN | PURSE","Light Void | Miniature | Pass Through | Scale Shift | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711246782.webp","Audrey Nuna - Cellulite","Audrey Nuna - Cellulite (2023)","Audrey Nuna's ""Cellulite"" music video, directed by Zac Dov, is a vivid narrative of self-liberation and defiance, drawing inspiration from icons like the Pharcyde and Missy Elliott. The video visually represents Nuna's personal theme of overcoming constraints, symbolized by motifs of flying and motion, reflecting her introspective yet rebellious spirit. It's a cinematic portrayal of cutting out life's ""toxic fat,"" aiming to resonate with viewers on a journey of spiritual unburdening.","Zac Dov Wiesel","Gabe Knoos-Newton","Brian Niles","CAR | EXTERIOR","NeRF | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/07/05/261720164152.webp","Bree Runway - Just Like That","Bree Runway - Just Like That (2024)","The ""Just Like That"" music video by Bree Runway is a vibrant and high-energy visual feast that showcases her bold fashion choices and dynamic choreography. Set against a variety of colorful backdrops, the video emphasizes Bree's confident persona and eclectic style, further establishing her as a rising star in the music industry.","Pietro Biz Biasia","Chaimuki","Jon Dobson","COLLAGE | TEETH | MOUTH","Collage | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710314956.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","EXTERIOR | WINTER | SNOW | CASTLE | MANOR","FPV Drone | Pass Through | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704830531.webp","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","DAY | LOW ANGLE | EXTERIOR","Low Angle | Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704341799.webp","Elderbrook - Why Do We Shake In The Cold?","Elderbrook - Why Do We Shake In The Cold? (2020)","","Katarina Gramatová","Filip Marek","","DAY | INTERIOR | LARGE ROOM","Pass Through | Probe"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705111755.webp","Instagram - Yours to Make","Instagram - Yours to Make (2021)","","Cabin Edit, Robert Lopuski","Oliver Millar","","MIRROR","Mirror Shot | Pass Through | Reflections | Void"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710824529.webp","Dillon Francis, Good Times Ahead - LA On Acid","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Dillon Francis, Good Times Ahead - LA On Acid (2023)","Jacob Ehrlich","Franklin Ricart","Josh Bohoskey","RED | TITLE | MOUTH | OBJECT POV","Object Portal | Pass Through | Title Card | Typography"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710575648.webp","Ken Carson - Fighting My Demons","Ken Carson - Fighting My Demons (2023)","The music video for ""Fighting My Demons"" by Ken Carson, directed by Cole Bennett, was released in 2023 and features unique, glitchy visuals. The video presents a series of grainy, 3D footage that gives off the impression of being shot with night-vision goggles, offering a surreal viewing experience. It mainly showcases Ken Carson partying and performing his lyrics, creating a montage that aligns with the song's themes. The video's eerie and dark aesthetics were noted for drawing inspiration from the style of 1990s Japanese cinema, culminating in a profound, existential moment where Ken faces a haunting black void, adding depth and narrative to the visual experience.","Cole Bennett","Franklin Ricart","Loren White","DOOR | ROOM","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706565479.webp","Source unknown","Source unknown","","","","","CAR | ROAD | NIGHT | EXTERIOR | CITY | STREET | VEHICLE","Pass Through"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864187.webp","Chime - Woah","Chime - Woah (2021)","","Jojo King","Starr Whitesides","Kris Smale","INTERIOR | COUPLE | KEYHOLE | DOOR","Camera Roll | Pass Through | Probe"
