video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706478966.webp","Paramount - Scream VI","Paramount - Scream VI (2023)","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","Evan Larsen","","","NIGHT | WINDOW | EXTERIOR | APARTMENT","Pedestal"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705112280.webp","Instagram - Yours to Make","Instagram - Yours to Make (2021)","","Cabin Edit, Robert Lopuski","Oliver Millar","","SPOTLIGHT | BATHTUB | CLAPPING","Pedestal | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703403949.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. We'd identify this clip as a pedestal shot VFX breakdown. As we ascend higher, the post-production begins to fall away until all that is left is the studio it was shot in.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","STUDIO | VFX | BREAKDOWN | GREEN SCREEN","BTS | Pedestal"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711344021.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","NIGHT | EXTERIOR | NEWS | DIGGING | EXCAVATOR | CONSTRUCTION","Diorama | Intertitles | Pedestal | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/25/261711345089.webp","Fantastic Mr. Fox","Fantastic Mr. Fox (2009)","An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.","Ralph Foster, Stephen Perkins","Tristan Oliver","Max Horton","","Pedestal | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703400658.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. This shot begins with a pedestal upwards into an analogue glitch. It transitions into a traditional trucking shot right but with one of the skaters duplicating near the end.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","DARK | GLITCH | SODIUM LIGHTS | WARM WHITE | AMATEUR | ANALOGUE","Duplication | Feedback | Pedestal | Trucking"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703405911.webp","Come Together: A Fashion Picture in Motion","Come Together: A Fashion Picture in Motion (2016)","Lone passengers are traveling to join their loved ones for the Christmas holiday, but winter weather conspires to way-lay them.","Joe Guest","Bruno Delbonnel","","GREEN | INTERIOR | PEDESTAL","Pedestal | Tableau"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703406371.webp","Moonrise Kingdom","Moonrise Kingdom (2012)","A whimsical film set in 1965 New England, portraying the adventures of two young runaways exploring love and adolescence.","Andrew Weisblum","Robert Yeoman","Tim Stipan","WHITE | FILM | 16MM | ZEISS SUPER SPEED | MUTED | WARM WHITE | AATON AMINIMA","1960s | Pedestal"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709969749.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","","Pedestal | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703406456.webp","Scott Pilgrim vs. the World","Scott Pilgrim vs. the World (2010)","In this offbeat romantic comedy, Michael Cera is Scott Pilgrim, the underachieving musician on a quest to win a record deal by facing off against seven evil exes to impress his girlfriend, Ramona Flowers (Mary Elizabeth Winstead). Because nothing says love like defeating exes in epic bass battles—just your typical, everyday relationship hurdles.","Jonathan Amos","Bill Pope","","MUSIC | INTERIOR | BAND","Pedestal"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704385291.webp","Asteroid City","Asteroid City (2023)","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","Barney Pilling","Robert Yeoman","Gareth Spensley","DAY | GOLD | WES ANDERSON | INTERIOR | 2.39 ANAMORPHIC | FILM 35MM | ZEISS MASTER ANAMORPHICS | COOKE S4/ I | DESERT | ARRICAM LT | ARRICAM ST | CYAN","1950s | Pedestal | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703402298.webp","adidas Originals - Original Is Never Finished","adidas Originals - Original Is Never Finished (2018)","The second installment of the now iconic Original is Never Finished campaign. We'd categorize this shot as an extreme iteration of the pedestal shot.","Christie Brown, Gian Buazulli","Mattias Rudh","Company 3, Tom Poole","PURPLE | SHOES | ADIDAS","Pedestal"
