video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419664.webp","Art by Kiryl Kudrautsau","Art by Kiryl Kudrautsau","","","","","TREE | RENDER","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2023/12/29/261703893380.webp","Art by Paul Trillo","Art by Paul Trillo (2017)","","Paul Trillo","","","NIGHT | EXTERIOR | DARK","Arc | NeRF | Photogrammetry | X-Axis Arc"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419184.webp","Art by Jack Bowler","Art by Jack Bowler","","Jack Bowler","","","DARK | CITY | STREET","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419081.webp","Nike - Never Settle. Never Done","Nike - Never Settle. Never Done (2022)","","Alexandre Sellem, Hugo Beron, Lola Margrain","Maeva Von Dinh, Paul Guilhaume","Arthur Paux","SOCCER | NERF | BALL","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419926.webp","Memories of Borderline","Memories of Borderline (2017)","","","","","","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419954.webp","Source unknown","Source unknown","","","","","GREEN | NIGHT | TREES","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706420022.webp","Source unknown","Source unknown","","","","","TWO SHOT | DARK | HALLWAY","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402716.webp","Source unknown","Source unknown","","","","","DAY | EXTERIOR | WATER FOUNTAIN","Photogrammetry | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402788.webp","Animation from www.nerf.studio","Animation from www.nerf.studio","","","","","DAY | EXTERIOR","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419981.webp","Source unknown","Source unknown","","","","","GIRL | TALKING | SINGING","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402598.webp","Source unknown","Source unknown","","","","","DAY | EXTERIOR | TREE","Photogrammetry | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702977548.webp","RL Grime - Pour Your Heart Out (feat. 070 Shake)","RL Grime - Pour Your Heart Out (feat. 070 Shake) (2023)","Mind-bending music video for RL Grime using Luma AI's 'NeRF to transport us between scenes.","Jake Oleson","Jeremy Snell","Jared Rosenthal","INTERIOR | DARK | LUMA AI | NERF | LUMA","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419838.webp","Source unknown","Source unknown","","","","","NATURE | CLIFF | EXTERIOR | ROCK | LANDSCAPE | HILLS","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419552.webp","Art by Lowell Robinson","Art by Lowell Robinson","NeRF shot from artist Lowell Robinson featuring the arch in Washington Square Park, Manhattan.","","","","DAY | EXTERIOR | NEW YORK CITY | ARCH | WASHINGTON SQUARE PARK","NeRF | Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2023/12/19/261702956012.webp","Crazypopcorn x Lolipop Shop","Crazypopcorn x Lolipop Shop (2023)","","","","","","Photogrammetry | Scribble"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419286.webp","Source unknown","Source unknown","","","","","","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419818.webp","Source unknown","Source unknown","","","","","","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419254.webp","Source unknown","Source unknown","","","","","","Photogrammetry"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706419205.webp","Art by Jack Bowler","Art by Jack Bowler","","Jack Bowler","","","DARK | CITY | STREET","Photogrammetry"
