video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341605.webp","Airbnb - Bonnie & Clyde","Airbnb - Bonnie & Clyde (2022)","","","","","","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708345892.webp","Beastie Boys - An Open Letter To NYC","Beastie Boys - An Open Letter To NYC (2004)","Music video by Beastie Boys performing An Open Letter To NYC. © 2004 Capitol Records Inc And Beastie Boys","Adam Yauch","Nathanial Hornblower","","BLACK AND WHITE","2000s | Archival | Photography | Quick Cuts | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720384963.webp","The Dare - Perfume","The Dare - Perfume (2024)","The ""The Dare - Perfume 2024"" commercial is an evocative and visually striking advertisement that captures the essence of boldness and sensuality. It features a series of elegantly choreographed scenes where the protagonist moves through various luxurious settings, exuding confidence and allure. The commercial employs a rich color palette and dramatic lighting to highlight the sophistication and intensity of the perfume. The narrative is punctuated by close-up shots of the perfume bottle, emphasizing its sleek design and the brand's logo, leaving a lasting impression of elegance and daring on the viewer.","Josh Wehle","Ben Carey","Myles Bevan","BLACK AND WHITE | FASHION | POSE | EDITORIAL","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710334956.webp","#LoveYourz","#LoveYourz (2018)","A teenage self-love creative collective searches for love and adventure as they explore the outer boroughs of NYC.","Eavvon O’Neal","Greta Zozula, Sam Wootton","Sam Daley","DAY | WOMAN | EXTERIOR","Photography | Screen in Screen | Video Portraits"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708342075.webp","Wieden + Kennedy Scotland Workshop","Wieden + Kennedy Scotland Workshop","","","","","BLACK AND WHITE","Collage | Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709540812.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Color Shift | Freeze Frame | Photography"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710399154.webp","Halo 3 - Diorama","Halo 3 - Diorama (2007)","A visually stunning and intricately designed model battlefield, showcasing a battle scene between human UNSC forces, including the series' protagonist Master Chief, and the alien Covenant forces. The diorama was filled with painstaking detail, including miniature soldiers, vehicles like Warthogs and Scorpions, and alien landscapes.","Andrea MacArthur, Rock Paper Scissors","Chris Soos","","DAY | EXPLOSION | EXTERIOR | ALIEN | BATTLE | SOLDIER | BATTLEFIELD | DIORAMA | HALO","Diorama | Photography"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715575161.webp","Ariana Grande - Positions","Ariana Grande - Positions (2020)","The music video for Ariana Grande's ""Positions"" creatively alternates between her role as the President in the White House and her personal life, showcasing her handling both leadership responsibilities and domestic bliss with ease and elegance.","Alyssa Oh","Scott Cunningham","Company 3, Stefan Sonnenfeld","KITCHEN | ARIANA GRANDE","Photography"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508796.webp","Nike - Sport Changes Everything, Chicago-Style","Nike - Sport Changes Everything, Chicago-Style (2019)","This spot dishes out Windy City metaphors faster than a hot dog order, glorifying Chicagoans and their sports passion with a side of campaign slogan irony: ""Sport Changes Everything.""","Jack Kanner, Jamie Foord, Rock Paper Scissors","Mihai Malaimare","A52","NEWSPAPER | NEWS | HEADLINES","Photography"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709540049.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Collage | Mixed Media | Photography"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341685.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812773.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Freeze Frame | Haze | Photography"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710334910.webp","#LoveYourz","#LoveYourz (2018)","A teenage self-love creative collective searches for love and adventure as they explore the outer boroughs of NYC.","Eavvon O’Neal","Greta Zozula, Sam Wootton","Sam Daley","DAY | EXTERIOR","Photography | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710335076.webp","#LoveYourz","#LoveYourz (2018)","A teenage self-love creative collective searches for love and adventure as they explore the outer boroughs of NYC.","Eavvon O’Neal","Greta Zozula, Sam Wootton","Sam Daley","MALE | WALL | LEANING","Photography"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508783.webp","Nike - Sport Changes Everything, Chicago-Style","Nike - Sport Changes Everything, Chicago-Style (2019)","This spot dishes out Windy City metaphors faster than a hot dog order, glorifying Chicagoans and their sports passion with a side of campaign slogan irony: ""Sport Changes Everything.""","Jack Kanner, Jamie Foord, Rock Paper Scissors","Mihai Malaimare","A52","NEWSPAPER | NEWS | HEADLINES","Photography"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715812813.webp","Sabrina Carpenter - Espresso","Sabrina Carpenter - Espresso (2024)","The music video for Sabrina Carpenter's song ""Espresso,"" released in 2024, was directed by Dave Meyers. The video features vibrant and sun-soaked visuals, showcasing Carpenter in various stylish outfits as she navigates a dreamy, retro-inspired setting. With a playful and energetic vibe, the video highlights Carpenter's charisma and the song's catchy, upbeat nature. The creative direction was managed by Jacobi Mehringer and Anna Arnell, adding to the video's polished and dynamic aesthetic.","Jai Shukla","Scott Cunningham","Dante Pasquinelli","BEACH | SAND | WALKING | POSE | SABRINA CARPENTER | MARILYN MONROE","1960s | Freeze Frame | Haze | Photography"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709540928.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Collage | Photography"
