video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/17/tumblr_8e87ec8a14b505dbfac2d103194d6dac_10307b60_540/ad9c7e23281221f0e608bd3825b299e3.gif","The Talented Mr. Ripley","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/04/4_Xx2U3Zq/3867ad1c6e7d8d2ca766cbce65d77190.gif","Metronomy & Katy J Pearson's - Love Factory (2022)","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/15/21_Savage_-_redrum_Official_Music_Video_nH6ENUX/0d165ae4eec88ca21becc58c54aab79c.gif","21 Savage - redrum","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/tumblr_2760fd62a1d23db7c19ce9c561312f68_bac3f8b4_540/f793a989e6570febab2011a1ed003f1d.gif","Monster: The Jeffrey Dahmer Story","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706174497.webp","Snowpiercer","Snowpiercer (2013)","In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","Kim Chang-ju, Steve M. Choe","Hong Kyung-pyo","Kevin Kang, Yvan Lucas","WALKING | INTERIOR | DARK | TRAIN | ARRI | ZEISS | CHRIS EVANS","Profile | Trucking"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702772607.webp","The Handmaiden","The Handmaiden (2016)","","Park Chan-wook","Chung-hoon Chung","","WATER | BLUE SKY | CLOSE UP | WOMEN | PURPLE | SKY | PROFILE | OCEAN | TWO SHOT | CHAN-WOOK | SIDE PROFILE | GIRLS","1930s | Profile | Sadness | Two Shot"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702772301.webp","Passing","Passing (2021)","""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities.","Sabine Hoffmann","Eduard Grau","Roman Hankewycz","WOMAN | SOFT FOCUS | NATURE | OUTDOORS | FRIENDS | WOMEN | FORMAL | TWO SHOT | BLACK AND WHITE | SMILE | TALKING | BENCH | EARRINGS | EXTERIOR","1920s | Happiness | Profile | Two Shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703072823.webp","Mulholland Drive","Mulholland Drive (2001)","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Mary Sweeney","Peter Deming","Chris Jacobson","WHITE | FILM | NATURAL | 35MM | SUPER 35 | PANAVISION PRIMO PRIMES | 2000S | PANAVISION PLATINUM | MULHOLLAND DRIVE | PETER DEMING | DAVID LYNCH | PANAVISION LENSES","2000s | Intensity | Profile | Two Shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703108534.webp","Sampha - Sampha - Can't Go Back","Sampha - Sampha - Can't Go Back (2023)","Directed by Saad Moosajee. An abstract visual journey centered around an eclipse.","Cabin Edit, Dylan Edwards","Maximilian Pittner","No 8, Tim Smith","CLOSE UP | SOFT FOCUS | ABSTRACT | SILHOUETTE | BLACK","Close-Up | Datamosh | Profile"
"https://asset.eyecannndy.com/media/clip/2024/05/20/261716236892.webp","Flume feat. MAY-A - Say Nothing","Flume feat. MAY-A - Say Nothing (2022)","The music video for ""Say Nothing"" by Flume featuring MAY-A, directed by Michael Hili, offers a visually captivating and surreal experience. It includes psychedelic visuals, with Flume donning a bleach-blonde hairstyle and posing on motorcycles, while MAY-A is seen submerged in black sand. The video uses stark contrasts and vibrant colors to complement the song's themes of post-relationship clarity and emotional expression. This trippy and avant-garde style enhances the song's narrative, making it a standout piece in Flume's discography.","Ian Wallace","Dimitri Zaunders, Kieran Fowler","Josh Bohoskey","DINNER | TABLE | BIKER | MOTORCYCLIST","Ground Level | Profile"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706084873.webp","Szamanka","Szamanka (1996)","An anthropology professor becomes increasingly obsessed with a disturbed woman who is known only as the Italian.","Wanda Zeman","Andrzej Jaroszewicz","","COUPLE | ROMANCE | ROMANTIC","Close-Up | Profile | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708243597.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","DAY | MALE | PROFILE | EXTERIOR | FALLING","Altered state | Drug trip | Falling | Profile | Single shot"
"https://asset.eyecannndy.com/media/clip/2024/01/24/261706085095.webp","X","X (2022)","Ti West directed thriller in which a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","Ti West","","","X (2022) | DAY | WATER | FACE | EXTERIOR | REFLECTION","Close-Up | Profile | Water Level"
"https://asset.eyecannndy.com/media/clip/2023/12/17/261702772033.webp","Here Are the Young Men","Here Are the Young Men (2020)","","Colin Campbell","James Mather","","RED | WHITE | WOMAN | BLUE | INTERIOR | DRESS | PERIOD | SINGING | COLORFUL | KARAOKE | MIC | RED HAIR | BRIGHT COLORS","Profile"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703454289.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","INTERIOR | FACE | SIDE PROFILE | COOL | ADAM SCOTT","Close-Up | Profile"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704620481.webp","Face Man GIF By Dyan Jong","Face Man GIF By Dyan Jong (2016)","","Dylan Jong","","","BLUE | DARK","Bokeh | Profile | Rack Focus | Shallow Focus"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711141242.webp","Downtown Kayoto - Came Thru","Downtown Kayoto - Came Thru (2024)","","Joe Howat","Harry Basey","Anna Barsukova","MALE | SINGING | MICROPHONE","Locked-On | Profile"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704334765.webp","Metronomy & Katy J Pearson's - Love Factory (2022)","Metronomy & Katy J Pearson's - Love Factory (2022) (2022)","Metronomy & Katy J Pearson's - Love Factory (2022) (2022)","Ned Botwood","","","WOMAN | SOFT FOCUS | INTERIOR | HARD LIGHT","Profile | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710316400.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","HOUSE | INTERIOR | BAD GUY | GIANCARLO ESPOSITO | VILLAIN | WEALTH","Profile"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864370.webp","Waves","Waves (2019)","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.","Isaac Hagy","Drew Daniels","Damien Vandercruyssen","WOMAN | BLUE | INTERIOR | BEDROOM | MORNING","Locked-On | Profile"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705031055.webp","Unknown T - Hocus Pocus Feat. Loyle Carner","Unknown T - Hocus Pocus Feat. Loyle Carner (2023)","","Fouad Gaber","Anna Smoroňová","Marina Starke","RED | INTERIOR | STUDIO | PROFILE | SINGLE SHOT","Profile"
