video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706403219.webp","Omote","Omote (2014)","","Nobumichi Asai","","","","Projections"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706403032.webp","Downtown Kayoto - Changed it","Downtown Kayoto - Changed it (2023)","","Joe Howat","","","NIGHT | DUSK | EXTERIOR | PROJECTION","Projections"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739169178.webp","GIVĒON - TWENTIES","GIVĒON - TWENTIES (2025)","","Jacob McKee","Edouard Le Grelle","","GIVĒON - TWENTIES (2025) | SURREAL | BED | SURREALISM | BLACK | TV | VOID","Projections | Video Portraits | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402995.webp","Downtown Kayoto - Changed it","Downtown Kayoto - Changed it (2023)","","Joe Howat","","","NIGHT | DUSK | EXTERIOR | PROJECTION","Projections"
"https://asset.eyecannndy.com/media/clip/2024/03/12/261710224746.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 4. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Dan Sherwen, Matt Platts-Mills","Bjorn Charpentier","Matthieu Toullet","MALE | INTERIOR | CASTLE","Projections | Silhouette"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704916539.webp","João Borsch - Apaz","João Borsch - Apaz (2023)","Directed by – Inês Aires Co-direction – João Morgado Production – Inês Aires, João Borsch, Luís Silva Nunes Production Assistant – João Henrique Câmara Cinematography – Luís Silva Nunes 1st Camera Assistant – Duarte Lino Wardrobe – João Borsch, Inês Aires Makeup and Hair – Marta Saramago, Inês Aires Editing – João Morgado, Inês Aires Visual Effects – Inês Aires Color – Luís Silva Nunes Graphics - Daniel Bertini","Inês Aires, João Morgado","Luís Silva Nunes","","VOID","Projections"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739169131.webp","GIVĒON - TWENTIES","GIVĒON - TWENTIES (2025)","","Jacob McKee","Edouard Le Grelle","","GIVĒON - TWENTIES (2025) | FACE | COOL | PROJECTION | BLACK","Projections"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709960327.webp","Dune","Dune (2021)","A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.","Joe Walker","Greig Fraser","David Cole","INTERIOR | TIMOTHEE CHALAMET","Projections"
"https://asset.eyecannndy.com/media/clip/2024/03/12/261710224697.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 4. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","Dan Sherwen, Matt Platts-Mills","Bjorn Charpentier","Matthieu Toullet","INTERIOR | CASTLE | JAR | GLASS JAR","Halation | Projections"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706403349.webp","Inori - Prayer","Inori - Prayer (2017)","The latest work to utilize real time tracking and face projection mapping using a state of the art 1000 fps projector and ultra high speed sensing.","Nobumichi Asai","","","RED | STUDIO | PROJECTIONS","Projections"
