video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709016494.webp","adidas - Imagination","adidas - Imagination (2017)","","Robert Lopuski","Pat Scola","","MACRO | NIGHT | DUSK | EXTERIOR | RAIN | EYE | SOCCER | ATHLETE | LOS ANGELES | EVENING | GIO REYNA | DRIBBLING","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709545328.webp","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","BLUE","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739169284.webp","GIVĒON - TWENTIES","GIVĒON - TWENTIES (2025)","","Jacob McKee","Edouard Le Grelle","","GIVĒON - TWENTIES (2025) | MUSIC | REFLECTION | MUSICIAN | METAL | INSTRUMENT","Close-Up | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707977547.webp","The World's End","The World's End (2013)","Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.","Paul Machliss","Bill Pope","Stephen Nakamura","INTERIOR | BAR | BEER","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707978099.webp","MELODOWNZ - Pray For More","MELODOWNZ - Pray For More (2022)","","Connor Pritchard","","","NIGHT | INTERIOR | CHURCH","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704512088.webp","ASD - Legendär / Populär","ASD - Legendär / Populär (2015)","","David Aufdembrinke","Jakob Suess","","BLACK AND WHITE","Match Cut | Quick Cuts | Zoom"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708236894.webp","YUNGBLUD - When We Die [feat. Lil Yachty]","YUNGBLUD - When We Die [feat. Lil Yachty] (2024)","2024 music video for artist YUNGBLUD, featuring Lil Yachty. Directed by Yussef Haridy and Logan Fields. Produced by Parallel Studios.","Logan Fields, Yussef Haridy","Zayd Ezzeldine","Dylan Hageman","EXTERIOR | DARK | COOL | CITY","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710023305.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","KEY | SAFE | LOCKBOX","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707977920.webp","Fendi 'BFF'  - Directed by","Fendi 'BFF' - Directed by","","Paul Herrmann","","","YELLOW","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539681.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","WOMAN","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715645038.webp","Oblé Reed - WESTON.","Oblé Reed - WESTON. (2023)","","Nash Pearson","","","BLUNT | WOMAN | CIGARETTE | SMOKING | SMOKE | FIRE | LIT | MATCH | CIGAR","Cut-ins | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709101519.webp","Watchtower of Turkey","Watchtower of Turkey (2014)","Described as a visual masterpiece, ""Watchtower of Turkey"" is praised for its breathtaking cinematography, dynamic soundtrack, and impeccable editing. The film takes viewers through vibrant cities and awe-inspiring landscapes, showcasing the country's remarkable diversity and beauty. It's more than just a travel video; it's a tribute to Turkey's rich culture, history, and natural wonders, crafted with an eye for detail and a knack for storytelling.","Leonardo Dalessandri","","","EXTERIOR | TURKEY","Fast Motion | Match motion | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261710024860.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. Created by Guy Ritchie.","James Herbert","Ed Wild","","INTERIOR | BATHROOM | CHICKEN","Jump cut | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707977299.webp","The World's End","The World's End (2013)","Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.","Paul Machliss","Bill Pope","Stephen Nakamura","INTERIOR | BAR | BEER","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709022674.webp","Festival of Slaps","Festival of Slaps (2023)","A new action packed short film straight from the palms of a Nigerian mother who on one fateful night, serves her son a set of slaps so powerful that it changes his life forever. Full of twist and turns this film celebrates the most neglected heroes of today: Black Mums.","André Rodrigues, Marvin Jay Alvarez","Anna Macdonald","Jason Wallis","INTERIOR | SPIT","Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709101695.webp","Watchtower of Turkey","Watchtower of Turkey (2014)","Described as a visual masterpiece, ""Watchtower of Turkey"" is praised for its breathtaking cinematography, dynamic soundtrack, and impeccable editing. The film takes viewers through vibrant cities and awe-inspiring landscapes, showcasing the country's remarkable diversity and beauty. It's more than just a travel video; it's a tribute to Turkey's rich culture, history, and natural wonders, crafted with an eye for detail and a knack for storytelling.","Leonardo Dalessandri","","","","Match motion | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707631275.webp","Valentino Khan - Deep Down Low","Valentino Khan - Deep Down Low (2016)","One of the weirdest music videos you'll ever watch. We don't recommend watching while high. Actually scratch that. Even better when high. Fever, hallucinogens, or the hypnotic beat at the track make his nightmares increasingly bizarre. In the restaurant, dancing facial features and tentacles sprouting from a waitress's eyes push him to flee the surreal scene.","Gaia Borretti","Naoki Noda","Luke Morrison","WOMAN | LIPS | TEETH | MOUTH","Fast Motion | Quick Cuts | Unsettling"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707625878.webp","Lil Uzi Vert - Just Wanna Rock","Lil Uzi Vert - Just Wanna Rock (2022)","2022 music video for Lil Uzi Vert from renowned artist, Gibson Hazard. Produced in collaboration between House of Hazard and ShotClock. Visual effects from Black Hat VFX.","Chris Villa, Kenny Shimm (Editor)","Cory Burmester","Josh Bohoskey, Matt Osborne","BLUE","Altered state | Quick Cuts"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709094521.webp","Beethoven","Beethoven (1992)","","Sheldon Kahn, William D. Gordean","Victor J. Kemper","","PAPER | MUSIC SHEET | BEETHOVEN","Close-Up | Quick Cuts"
