video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708247677.webp","Sex Education (TV Series)","Sex Education (TV Series) (2019)","A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.","David Webb, Steve Ackroyd","Jamie Cairney, Oli Russell","","WOMAN | MIRROR","Mirror Shot | Nervousness | Reflections"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706501663.webp","Uncut Gems","Uncut Gems (2019)","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","Safdie Brothers","","","CLOSE UP | INTERIOR","Close-Up | Disgust | Reflections | Window shot"
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709342879.webp","AJ Tracey - Wifey Riddim 4","AJ Tracey - Wifey Riddim 4 (2024)","","Late Milk","Mike Koziel","","CAR | INTERIOR | WINDOW","Reflections | Vector | Window shot"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708506968.webp","Kill Bill: Vol. 1","Kill Bill: Vol. 1 (2003)","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her. Panavision Millennium / Millenium XL / XL2","Sally Menke","Robert Richardson","Stephen Nakamura","WOMAN | SWORD | BILL","Reflections"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720383986.webp","Omega - Road to the Olympics","Omega - Road to the Olympics (2024)","The ""Omega - Road to the Olympics 2024"" commercial celebrates Omega's role as the Official Timekeeper for the Paris 2024 Olympics, a position they've held since 1932. The commercial features athletes training and competing, emphasizing Omega's precision and innovation in timekeeping technology. It also highlights the launch of a special edition Seamaster watch, designed to commemorate the upcoming Olympics.","Alexis Benot","Mathieu Plainfossé","Vincent Amor","WATER | BEACH","Low Angle | Reflections | Silhouette | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/03/02/261709342743.webp","AJ Tracey - Wifey Riddim 4","AJ Tracey - Wifey Riddim 4 (2024)","","Late Milk","Mike Koziel","","NIGHT | INTERIOR","Mirror Shot | Reflections"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710833047.webp","Oppo - Make Every Shot Stand Out","Oppo - Make Every Shot Stand Out (2024)","","Gramatova Katarina","Filip Marek","Arthur Paux","DAY | CAR | MIRROR | EXTERIOR","Dolly | Mirror Shot | Reflections"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704609770.webp","Carly Gibert - Dropping Seeds","Carly Gibert - Dropping Seeds (2023)","","Christopher A. Medina","Sonali Chugani","Ben Cerauli","POOL | GROUND | 8 BALL | POOL BALL","Close-Up | Reflections"
"https://asset.eyecannndy.com/media/clip/2024/01/06/261704529572.webp","Morgan x Orlebar Brown feat. Karl Shakur","Morgan x Orlebar Brown feat. Karl Shakur (2022)","","Karl Shakur","","","DAY | CAR | ROAD | DRIVING | EXTERIOR | AERIAL | SUPER 3","Mirror Shot | Reflections"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703052430.webp","Taxi Driver","Taxi Driver (1976)","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Melvin Shapiro, Tom Rolf","Michael Chapman","Company 3, Stefan Sonnenfeld","MALE | GREEN | CAR | MIRROR | DARK | 1970S | EXTREME CLOSE UP | EYES | 35MM | ZEISS SUPER SPEED | ARRIFLEX BL | TAXI DRIVER | MICHAEL CHAPMAN | MELVIN SHAPIRO | MARTIN SCORSESE | STEFAN SONNENFELD","Extreme Close-Up | Mirror Shot | Reflections | Shallow Focus"
