video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711006059.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","DAY | NATURE | EXTERIOR | DOG | BACKYARD","Giant | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704077050.webp","Ford Kuga - Levels","Ford Kuga - Levels (2021)","Daniel Warwick invites us on an otherworldly virtual reality journey with Ford. Shot breakdown: Aerial tilt up+ scale shift seamless transition","Alex Jurkat","Ekkehart Pollack","Mike Bothe","CLOUDS | OVERHEAD | SCALE SHIFT | AERIAL","Aerial | Magical realism | Scale Shift | Seamless Transition | Tilt | Transitions"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703239438.webp","KAYTRAMINÉ - 4EVA feat. Pharrell Williams","KAYTRAMINÉ - 4EVA feat. Pharrell Williams (2023)","","Will Tooke","Ben Mullen","Andrew Francis","BLUE | STUDIO | GLASS | PROFILE | SURREALISM | WINE | MINIATURE | SPILL","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706688358.webp","Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Michael A. Stevenson","Hiro Narita","","80S | INSECT | BUG | ANT","1980s | Claymation | Ground Level | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709970306.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","PURSE","Light Void | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708335783.webp","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","FOREST | ARTIST | EXTERIOR | GUITAR","Giant | Oil Paint | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686785.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | DANCING | EXTERIOR | BOY | CHOREOGRAPHY","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686231.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","RUNNING | INTERIOR | SPEED RAMP | CAT","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711005698.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","DAY | NATURE | GRASS | HOME | READING | DOG | BACKYARD | AMINE","Giant | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708336216.webp","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","ARTIST | CLOUDS | EXTERIOR | PLANET | EARTH","Giant | Oil Paint | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709969749.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","","Pedestal | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739191819.webp","Static - Federer","Static - Federer (2025)","","Din Perlis","","","DAY | EXTERIOR | COURT | TENNIS","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/05/21/261716271932.webp","Poor Things","Poor Things (2023)","The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","Yorgos Mavropsaridis","Robbie Ryan","Greg Fisher","WOMAN | DANCING | BLACK AND WHITE | HAND","Magical realism | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704118666.webp","Bonobo - No Reason","Bonobo - No Reason (2017)","","Oscar Hudson","Ruben Woodin-Dechamps","","DAY | INTERIOR","Infinite Dolly | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703241308.webp","Art by Miniature Space","Art by Miniature Space","","","","","","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703240272.webp","Scale shift GIF by Elouen la Baleine","Scale shift GIF by Elouen la Baleine","","Elouen la Baleine","","","DAY | WHITE | EXTERIOR | OVERCAST","Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709969904.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","WOMAN | PROFILE","Light Void | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2025/02/10/261739191917.webp","Static - Federer","Static - Federer (2025)","","Din Perlis","","","DAY | EXTERIOR | COURT | TENNIS BALL | TENNIS | TINY","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709970071.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","WOMAN | PURSE","Light Void | Miniature | Pass Through | Scale Shift | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703239882.webp","@truehustlerss / IG","@truehustlerss / IG","","","","","EXTERIOR | ZOOM | SCALE SHIFT | PLANTS","Infinite Loop | Infinite Zoom | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706687761.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | SUNSET | EXTERIOR | BOY | GOLDEN HOUR","Giant | Scale Shift | Shadows"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703240044.webp","Scale shift by Zach King","Scale shift by Zach King (2023)","","Zach King","","","","Magical realism | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703241329.webp","Art by Miniature Space","Art by Miniature Space","","","","","","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686032.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | INTERIOR | DANCING | BOY | CHOREOGRAPHY","Cut-ins | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706686282.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","RUNNING | INTERIOR | SPEED RAMP | CAT","Miniature | Scale Shift | Slow Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706688403.webp","Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Michael A. Stevenson","Hiro Narita","","INTERIOR | 80S | SNOUT | DOG","1980s | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711140290.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","DAY | DOG | LAWN | BACKYARD | PORTLAND | OREGON","Giant | Live action pixelation | Overhead | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706687959.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | MALE | EXTERIOR | BOY | GOLDEN HOUR | HORIZON","Giant | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706688324.webp","Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Michael A. Stevenson","Hiro Narita","","80S | FLOWER | BUMBLEBEE | INSECT | BEE | BUG","1980s | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706687672.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | SUNSET | EXTERIOR | BOY | GOLDEN HOUR","Giant | Scale Shift | Shadows"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709970008.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","SHOE | BALANCE | SHOELACE | ROPE WALK","Light Void | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709969852.webp","Emporio Armani SS24 Campaign","Emporio Armani SS24 Campaign (2024)","","Amedeo Zancanella","Francesco Bartoli Avveduti","","RUNNING | WATCH","High Angle | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706687049.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | EXTERIOR | BOY | CHOREOGRAPHY | DANCE","Ground Level | Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703215128.webp","H&M - House of Members","H&M - House of Members (2023)","A colourful, fun and smashing world of the H&M membership – “The house of members”.","Jason Yan Francis","Persona","","PINK | INTERIOR | DARK","Infinite Zoom | Object Portal | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703240092.webp","Scale shift by Zach King","Scale shift by Zach King (2023)","","Zach King","","","DAY | RED | EXTERIOR | OVERCAST | STONEHENGE","Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708335749.webp","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","FOREST | ARTIST | EXTERIOR | GUITAR","Giant | Oil Paint | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706425189.webp","It Chapter Two","It Chapter Two (2019)","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Jason Ballantine","Checco Varese","Company 3, Stephen Nakamura","DARK | PUZZLE","2010s | Low Angle | Pass Through | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406714.webp","Reaction GIF","Reaction GIF (2017)","","Alexandre Louvenaz","","","","Giant | Scale Shift | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706688272.webp","Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Michael A. Stevenson","Hiro Narita","","INTERIOR | 80S","1980s | Miniature | Scale Shift | Two Shot | Vintage Graphics"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703241152.webp","Source Unknown","Source Unknown","","","","","INTERIOR | NATURAL LIGHT","Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/03/22/261711139789.webp","Aminé - Charmander","Aminé - Charmander (2021)","In the 2021 music video ""Charmander"" by Aminé, the artist retreats to a secluded cabin in the woods, symbolizing a quest for peace and introspection away from the pressures of fame. The video is characterized by a warm, earthy color palette and natural light, capturing the tranquil beauty of the forest setting. The nostalgic reference to Pokémon through the title ""Charmander"" adds a whimsical contrast to the mature themes of self-discovery and isolation.","Will Tooke","Ben Mullen","Andrew Francis","INTERIOR | COUPLE | KITCHEN | DOG","Giant | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706689040.webp","Doctor Who (TV Series) S2E1","Doctor Who (TV Series) S2E1 (1964)","""Planet of Giants"" is the first serial in the second season of the British science fiction television series Doctor Who. It was written by Louis Marks and directed by Mervyn Pinfield and Douglas Camfield, and first aired on BBC1 in three parts from October 31 to November 14, 1964.","Mervyn Pinfield","","","BLACK AND WHITE | HIGH ANGLE | SINK | DRAIN","Miniature | Scale Shift"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706685935.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","DAY | INTERIOR | DANCING | BOY | CHOREOGRAPHY","Miniature | Scale Shift"
