video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710364784.webp","Fortuna - Fortuna Favors You","Fortuna - Fortuna Favors You (2024)","To be lucky is not lucky. We have to push our luck. Whether it’s a favorite ritual, hard preparation or careful analysis and study… These are all things that tilt fortune in our favor. Fortuna favors you. New TVC for year 2023.","Petr Dvořák","","","INTERIOR | PHONE | SCREEN | ROULETTE | MAN","Screen in Screen | Screen Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704822081.webp","Yuh - Can Do it","Yuh - Can Do it (2022)","","We Are From L.A","Nicolas Loir","","EYE | PHONE","Object Portal | Screen in Screen | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708507326.webp","Nike - Sport Changes Everything, Chicago-Style","Nike - Sport Changes Everything, Chicago-Style (2019)","This spot dishes out Windy City metaphors faster than a hot dog order, glorifying Chicagoans and their sports passion with a side of campaign slogan irony: ""Sport Changes Everything.""","Jack Kanner, Jamie Foord, Rock Paper Scissors","Mihai Malaimare","A52","RESTAURANT | NIKE | INTERIOR | TELEVISION | TV SCREEN","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710332866.webp","Our England","Our England (2022)","","India Harris","","","SPORTS | INTERIOR | BAR | TELEVISION | NEWS","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/23/261705998075.webp","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","CAR | VINTAGE | OLD | RETRO | VEHICLE | SCREEN | LIL DICKY","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708507184.webp","Cannondale Presents - High Road","Cannondale Presents - High Road (2022)","High Road celebrates the unbreakable bond between Paralympian Meg Fisher and Jack Berry, a young para-athlete who's cycling career is just beginning to unfold.","Lindsey Hagen","","","DAY | YOUNG | EXTERIOR | HELMET | BOY | BIKING | KID | BIKER","Archival | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508419.webp","Signs","Signs (2002)","","Barbara Tulliver","Tak Fujimoto","Jeff Smithwick","TV TELEVISION","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539291.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","RETRO | TV | TELEVISION","Dolly | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704822143.webp","Yuh - Can Do it","Yuh - Can Do it (2022)","","We Are From L.A","Nicolas Loir","","CLOSE UP | HAND | PHONE","Extreme Close-Up | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708507057.webp","Satellite Store","Satellite Store (2023)","","Benji Beacham","","","INTERIOR | PHONE | SWIPE","First-Person | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/15/261705285391.webp","The Matrix","The Matrix (1999)","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Zach Staenberg","Bill Pope","David Orr","GREEN | INTERIOR | TV | TELEVISION | SCREEN | INTEROGATION","1990s | Action | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708507314.webp","Nike - Sport Changes Everything, Chicago-Style","Nike - Sport Changes Everything, Chicago-Style (2019)","This spot dishes out Windy City metaphors faster than a hot dog order, glorifying Chicagoans and their sports passion with a side of campaign slogan irony: ""Sport Changes Everything.""","Jack Kanner, Jamie Foord, Rock Paper Scissors","Mihai Malaimare","A52","RESTAURANT | NIKE | INTERIOR | TELEVISION | TV SCREEN","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710389029.webp","NIKE x SIZE? - Content De Te Revoir","NIKE x SIZE? - Content De Te Revoir (2024)","","Jessy Busgeeth","Jessy Busgeeth","Jessy Busgeeth","EXTERIOR | PHONE | SCREEN","Fixed Cam | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703455792.webp","Severance","Severance (2022)","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Erica Freed Marker, Geoffrey Richman, Gershon Hinkson","Jessica Lee Gagné, Matt Mitchell, Suzie Lavelle","Company 3, Tom Poole","WHITE | BRITT LOWER | MINIMALIST | LIMINAL","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/13/261710315461.webp","The Gentlemen (TV Series)","The Gentlemen (TV Series) (2024)","Season 1. Episode 6. Eddie Horniman inherits a family estate, initially unaware its home to a drug empire run by a syndicate that has no plans to vacate. In this episode, Eddie's doubts about Susie continue to grow. But there's 15 million pounds of dirty money to be laundered before she'll consider leaving the estate. Created by Guy Ritchie.","Matt Platts-Mills","Callan Green","Matthieu Toullet","HAND | IPHONE | SCREEN | TEXTING","Close-Up | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/19/261710831500.webp","Oppo - Make Every Shot Stand Out","Oppo - Make Every Shot Stand Out (2024)","","Gramatova Katarina","Filip Marek","Arthur Paux","INTERIOR | INSTAGRAM | HAND | PHONE | SWIPING","Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711432730.webp","Yung Jake - Unfollow","Yung Jake - Unfollow (2014)","""Unfollow"" by Yung Jake, presented on MOCAtv, explores the challenge of moving on from a past relationship in the digital era, emphasizing the difficulty of severing ties through social media. The music video captures the emotional turmoil and the haunting presence of past memories amplified by social media feeds. It artistically portrays the struggle of detaching from a former partner in a world where digital connections persistently remind one of the past.","Yung Jake","Temra Pavlovic","","EXTERIOR | INSTAGRAM | PHONE","2010s | Floating UI | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704822811.webp","Yuh - Can Do it","Yuh - Can Do it (2022)","","We Are From L.A","Nicolas Loir","","CLOSE UP | HAND | PHONE","Fixed Cam | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706174135.webp","Run Sweetheart Run","Run Sweetheart Run (2020)","After what seems to be an innocent date, Cherie now faces a night of terror when her date hunts her down and tries to kill her. She now must run for her life throughout the city and escape his grasp.","David Scorca, Kali Kasashima, Shannon Lynch","","Travis Flynn","CAR | DRIVING | NIGHT | TAXI | EXTERIOR | CITY | CAB","Full frame | Screen in Screen"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706684935.webp","Gregory Porter - Revival","Gregory Porter - Revival (2020)","","Danilo Abraham","Chris Ripley","Osmar Junior","90S | INTERIOR | 1990S | VINTAGE | RETRO | TELEVISION","Screen in Screen"
