video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341644.webp","WeTransfer - Please Leave","WeTransfer - Please Leave (2019)","","Matthew Hollis","Nick Bupp","","","Archival | Quick Cuts | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341166.webp","TikTok - Whatever Makes You Tik","TikTok - Whatever Makes You Tik","","","","","DAY | HOT DOG | EXTERIOR | LEGS","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864804.webp","Locked-on gymnast","Locked-on gymnast","","Dirk Koy","","","SPORTS | ATHLETE | GYMNASTICS | GYMNAST","Locked-on shadow box | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715811156.webp","ZOO","ZOO (2020)","""Zoo,"" directed by Will Niava, is a short film from 2020. It depicts an encounter between three misfits and a troubled man that takes an unexpected turn. The film is noted for its striking visual storytelling and intense narrative, highlighting the complexities of social interactions and unforeseen consequences from seemingly ordinary encounters.","Will Niava","Simran Dewan","Martin Gaumond","ZOO (2020) | FAST FOOD | VEHICLE | DRIVE-THRU | ROBBERY | THEFT | THIEF | STEALING","Security footage | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/04/01/261711984837.webp","Face","Face (2021)","","Mah Ferraz","Mayer Chalom","Carlos Flores","BOOK","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720385066.webp","The Dare - Perfume","The Dare - Perfume (2024)","The ""The Dare - Perfume 2024"" commercial is an evocative and visually striking advertisement that captures the essence of boldness and sensuality. It features a series of elegantly choreographed scenes where the protagonist moves through various luxurious settings, exuding confidence and allure. The commercial employs a rich color palette and dramatic lighting to highlight the sophistication and intensity of the perfume. The narrative is punctuated by close-up shots of the perfume bottle, emphasizing its sleek design and the brand's logo, leaving a lasting impression of elegance and daring on the viewer.","Josh Wehle","Ben Carey","Myles Bevan","BLACK AND WHITE | FASHION | POSE | EDITORIAL","Flash Cut | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/07/07/261720384963.webp","The Dare - Perfume","The Dare - Perfume (2024)","The ""The Dare - Perfume 2024"" commercial is an evocative and visually striking advertisement that captures the essence of boldness and sensuality. It features a series of elegantly choreographed scenes where the protagonist moves through various luxurious settings, exuding confidence and allure. The commercial employs a rich color palette and dramatic lighting to highlight the sophistication and intensity of the perfume. The narrative is punctuated by close-up shots of the perfume bottle, emphasizing its sleek design and the brand's logo, leaving a lasting impression of elegance and daring on the viewer.","Josh Wehle","Ben Carey","Myles Bevan","BLACK AND WHITE | FASHION | POSE | EDITORIAL","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864621.webp","Locked-on ping-pong ball","Locked-on ping-pong ball","","Dirk Koy","","","SPORTS | BLACK AND WHITE | BALL | PING PONG","Locked-on shadow box | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341391.webp","The Wolf of Wall Street","The Wolf of Wall Street (2013)","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Thelma Schoonmaker","Rodrigo Prieto","Yvan Lucas","","Masking | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864693.webp","Locked-on breaker","Locked-on breaker","","Dirk Koy","","","OVERHEAD | CHOREOGRAPHY | CIRCLE | DANCER | BREAKDANCE | BREAKDANCER","Locked-on shadow box | Overhead | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711434877.webp","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art","""The Fear Cycle"" Film - Unveiling Sleep Paralysis Through Art (2024)","""The Fear Cycle"" film explores Nicolas Bruno’s experiences with Sleep Paralysis, a sleep disorder that causes vivid nightmares. Bruno transforms his fears into artwork, giving viewers a glimpse into each dream sequence. This film delves into Bruno's creative journey, showcasing his artistic process, dream journal entries, and theatrical renditions of his visions.","Armen Harootun","","Connor Bailey","FRAME | PAINTING","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704613273.webp","Willy Wonka & the Chocolate Factory","Willy Wonka & the Chocolate Factory (1971)","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","Chris Lebenzon","Philippe Rousselot","Peter Doyle","FILM | 35MM | PANAVISION MILLENNIUM | 2000S | MILLENIUM XL | XL2 | SPHERICAL | JOHNNY DEPP | CHRISTOPHER LEE","1970s | Musical | Shadow Box | Subtitles"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715811213.webp","ZOO","ZOO (2020)","""Zoo,"" directed by Will Niava, is a short film from 2020. It depicts an encounter between three misfits and a troubled man that takes an unexpected turn. The film is noted for its striking visual storytelling and intense narrative, highlighting the complexities of social interactions and unforeseen consequences from seemingly ordinary encounters.","Will Niava","Simran Dewan","Martin Gaumond","ZOO (2020) | FAST FOOD | VEHICLE | DRIVE-THRU | ROBBERY | THEFT | THIEF | STEALING","Handheld | Security footage | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864840.webp","Locked-on dog","Locked-on dog","","Dirk Koy","","","WATER | SLOW MOTION | WET | BLACK | DOG | SHAKE","Locked-on shadow box | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715573711.webp","Donna Missal - Sex is Good","Donna Missal - Sex is Good (2021)","The 2021 music video for Donna Missal's song ""sex is good (but have you tried)"" features a vibrant, expressive setting where various scenes of intimacy and personal freedom are intertwined. The video's aesthetic is raw and artsy, focusing on personal connections and the emotional depth of relationships. It mixes dance sequences with candid, close-up shots of individuals and couples, emphasizing the song's themes of intimacy beyond physicality.","Rodrigo Inada","Julia Pitch","","WOMAN | BLUE","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2023/12/25/261703466528.webp","A$AP Rocky - Praise The Lord","A$AP Rocky - Praise The Lord (2018)","","Dexter Navy","","","COLLAGE | BLACK","Collage | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341867.webp","The Perfectionist (Short Film)","The Perfectionist (Short Film) (2015)","""The Perfectionist"" was originally designed and produced for screening on three independent monitors. The resulting multi-screen installation offers the audience not only an impressive panorama but also an expanded view of the action. It is less about the simultaneous presentation of different perspectives, but more about staging of interaction and the overall picture of all three monitors.","Laura Pfister","Julian Misiorny","","","Shadow Box | Split Screen"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708342110.webp","Source unknown","Source unknown","","","","","","Mixed Media | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705036428.webp","Flash cut clip by Ewan Jones Morris","Flash cut clip by Ewan Jones Morris","","Ewan Jones Morris","","","CAR | VEHICLE","Flash Cut | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/12/261705034709.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","SHADOW BOX | PHOTOGRAPHY | PARALLAX","Parallax | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703311899.webp","Source Unknown","Source Unknown","","","","","SPORTS | TENNIS","Flash Cut | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341939.webp","@escape-ism / Giphy","@escape-ism / Giphy","","","","","","Screen in Screen | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341723.webp","WeTransfer - Please Leave","WeTransfer - Please Leave (2019)","","Matthew Hollis","Nick Bupp","","","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251844.webp","Source unknown","Source unknown","","","","","","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708342033.webp","Source unknown","Source unknown","","","","","","Floating UI | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341685.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341605.webp","Airbnb - Bonnie & Clyde","Airbnb - Bonnie & Clyde (2022)","","","","","","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/25/261706172863.webp","Huggies - Welcome to the World, Baby","Huggies - Welcome to the World, Baby (2021)","","Stewart Reeves, Trish Fuller","","Company 3, Sofie Borup","BABY | MOM | BIRTH","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708342075.webp","Wieden + Kennedy Scotland Workshop","Wieden + Kennedy Scotland Workshop","","","","","BLACK AND WHITE","Collage | Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864883.webp","Locked-on diver","Locked-on diver","","Dirk Koy","","","DAY | MALE | WATER | POOL | SPORTS | EXTERIOR | WET | ATHLETE | SWIMMING | DIVER | SWIMSUIT","Locked-on shadow box | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708246498.webp","Latto - Sunday Service","Latto - Sunday Service (2024)","","HIDJI WORLD","Leroy Farrell","","BLACK AND WHITE","Collage | Flash Cut | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706251823.webp","Source unknown","Source unknown","","","","","","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708341263.webp","WeTransfer - Please Leave","WeTransfer - Please Leave (2019)","","Matthew Hollis","Nick Bupp","","","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709540743.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","","Photography | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706505274.webp","Nike SB - Don't Make Plans","Nike SB - Don't Make Plans (2021)","","Matt Carter, Pierre Lesnip","","Company 3, Kath Rascih","PHOTOS | FLICKER","Shadow Box | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704610217.webp","Carly Gibert - Dropping Seeds","Carly Gibert - Dropping Seeds (2023)","","Christopher A. Medina","Sonali Chugani","Ben Cerauli","WOMAN","Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/04/01/261711984655.webp","Face","Face (2021)","","Mah Ferraz","Mayer Chalom","Carlos Flores","BLACK AND WHITE | PHOTOGRAPHY | VINTAGE | SEPIA","1800s | Archival | Quick Cuts | Shadow Box | Speed Ramp"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715573970.webp","Donna Missal - Sex is Good","Donna Missal - Sex is Good (2021)","The 2021 music video for Donna Missal's song ""sex is good (but have you tried)"" features a vibrant, expressive setting where various scenes of intimacy and personal freedom are intertwined. The video's aesthetic is raw and artsy, focusing on personal connections and the emotional depth of relationships. It mixes dance sequences with candid, close-up shots of individuals and couples, emphasizing the song's themes of intimacy beyond physicality.","Rodrigo Inada","Julia Pitch","","WOMAN | PHOTO","Flash Cut | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864570.webp","Locked-on clip from Dirk Koy","Locked-on clip from Dirk Koy","","Dirk Koy","","","DAY | EXTERIOR | WINDMILL","Locked-on shadow box | Shadow Box"
"https://asset.eyecannndy.com/media/clip/2024/01/10/261704864763.webp","Locked-on car","Locked-on car","","Dirk Koy","","","CAR | RACING | BLUE | OVERHEAD | VEHICLE | DRIFTING","Infinite Loop | Locked-on shadow box | Overhead | Shadow Box"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/03/Apr-17-202323-41-51/e6e1c998d542a42042e21e654481cfa2.gif","Typologies of New York City: A Crowdsourced Hyperlapse","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Sam Morrison","","","DAY | EXTERIOR | PHOTOGRAPHY | FRENETIC | MANHATTAN","Hyperlapse | Light box | Tilt"
"https://asset.eyecannndy.com/media/clip/2024/02/18/261708246189.webp","Latto - Sunday Service","Latto - Sunday Service (2024)","","HIDJI WORLD","Leroy Farrell","","","Light box | Stop Motion"
"https://asset.eyecannndy.com/media/clip/2024/01/07/261704621194.webp","Live Action Song GIF By Dyan Jong","Live Action Song GIF By Dyan Jong (2019)","","Dylan Jong","","","YELLOW","Light box | Split Screen"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703311136.webp","Typologies of New York City: A Crowdsourced Hyperlapse","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Sam Morrison","","","DAY | EXTERIOR | PHOTOGRAPHY | FRENETIC | MANHATTAN","Flash Cut | Hyperlapse | Light box"
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703310934.webp","Typologies of New York City: A Crowdsourced Hyperlapse","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Typologies of New York City: A Crowdsourced Hyperlapse (2019)","Sam Morrison","","","DAY | EXTERIOR | PHOTOGRAPHY | FRENETIC | MANHATTAN","Flash Cut | Hyperlapse | Light box"
