video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/13/LoveYourz_3Se9Sb1/c7f111544c1e2c339f76a22c3b3a5614.gif","#LoveYourz","","","","","","",""
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/13/LoveYourz_SLEUFqZ/7ff9ab872ddd794d39af0a025f2e4c2b.gif","#LoveYourz","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707626138.webp","Lil Uzi Vert - Just Wanna Rock","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/21/261708508207.webp","Unicef - Never Give Up","","","","","","",""
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708345235.webp","Beastie Boys - An Open Letter To NYC","Beastie Boys - An Open Letter To NYC (2004)","Music video by Beastie Boys performing An Open Letter To NYC. © 2004 Capitol Records Inc And Beastie Boys","Adam Yauch","Nathanial Hornblower","","BLACK AND WHITE | NEW YORK CITY | SKATING | SKATEBOARD","2000s | Feedback | Fisheye | Handheld"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708344791.webp","Beastie Boys - An Open Letter To NYC","Beastie Boys - An Open Letter To NYC (2004)","Music video by Beastie Boys performing An Open Letter To NYC. © 2004 Capitol Records Inc And Beastie Boys","Adam Yauch","Nathanial Hornblower","","BLACK AND WHITE | CITY | NEW YORK CITY | RIVER | EAST RIVER | STATUE OF LIBERTY","Archival | Handheld | Vintage"
"https://asset.eyecannndy.com/media/clip/2024/01/27/261706399412.webp","Source unknown","Source unknown (2014)","","","","","NIGHT | EXTERIOR | SKATING | SKATEBOARD","Handheld"
"https://asset.eyecannndy.com/media/clip/2024/02/02/261706902448.webp","Burberry x POP","Burberry x POP (2022)","","Colin Read","Eric Schleicher","Joseph Bicknell","NIGHT | EXTERIOR | SKATING | SKATEBOARD | REFLECTIVE | GLOW","Fast Motion | Handheld | Motion Blur"
"https://asset.eyecannndy.com/media/clip/2024/05/13/261715643687.webp","Oblé Reed - WESTON.","Oblé Reed - WESTON. (2023)","","Nash Pearson","","","MALE | NIGHT | EXTERIOR","Handheld | Haze"
"https://asset.eyecannndy.com/media/clip/2024/05/14/261715656021.webp","Joost, Ski Aggu & Otto Waalkes - Friesenjung","Joost, Ski Aggu & Otto Waalkes - Friesenjung (2023)","The music video for ""Friesenjung"" by Joost, Ski Aggu, and Otto Waalkes presents a playful and humorous visual narrative that complements the lighthearted and catchy tune of the song. It features a variety of quirky scenes that highlight the cultural and comedic elements typical of Otto Waalkes' performances, blended with the musical styles of Joost and Ski Aggu, creating a unique and entertaining fusion.","Fons de Haan","","Bloempot Media","DAY | GREEN | EXTERIOR | FIELD | FARM | TRACTOR","Camera Roll | Handheld | Low Angle | Ultra Wide"
