video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/19/tumblr_4466f60ddc979139d24cb5877a4eb39e_c009e4ad_540/7d70fd433afbd3db37500c0e580e4ff7.gif","Leap Year","Leap Year (2010)","Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.","Nick Moore","Newton Thomas Sigel","Tony Dustin","NIGHT | BLUE | EXTERIOR | LAKE | DARK | MOON","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/Riot__Set_it_off_Official_Music_Video_XhHUfrY/508469b8a169791b1313029f4d0d52f9.gif","Riot & Set it off","Riot & Set it off (2024)","2024 music video directed by Trey Lyons. Features beautiful slow motion sequences and frenetic sequences.","Alex Morrison","Franklin Ricart","Company 3, Joseph Bicknell","NIGHT | DUSK | EXTERIOR | SOLDIER","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/10/Screenshot_2024-01-09_at_11.09.08AM_cfW3EBl/fd079e1c34de28d25f7fba3f2d15714b.gif","DJ Pone (ft. Blasé) - All I Want","DJ Pone (ft. Blasé) - All I Want (2023)","","Benoît Marzouvanlian","","","NIGHT | BLUE | DUSK | DARK | SILHUOETTE","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/02/Manga_Saint_Hilare_MoreNight_-_Alarm_Bells_Feat._P_Money__JME_Official_V_Z1c0SDI/91df9a476339e1682fae85f3c55661ea.gif","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME)","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME) (2024)","Manga Saint Hilare, MoreNight - Alarm Bells (Feat. P Money & JME) (2024)","Will Norman","Melchiorre Ruvolo","Juliette Wileman","BLACK AND WHITE","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/27/FESTIVAL_OF_SLAPS_ODs5jUv/efe2b840c6a288147d9ec21844725394.gif","Festival of Slaps","Festival of Slaps (2023)","A new action packed short film straight from the palms of a Nigerian mother who on one fateful night, serves her son a set of slaps so powerful that it changes his life forever. Full of twist and turns this film celebrates the most neglected heroes of today: Black Mums.","André Rodrigues, Marvin Jay Alvarez","Anna Macdonald","Jason Wallis","NIGHT | INTERIOR | KITCHEN | FRIDGE","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/10/Inter_Alia_Short_Film_hb2k31k/2ee32375f0d62271e704130f5b2e818b.gif","Inter Alia (Short Film)","Inter Alia (Short Film) (2023)","A musician is given everything. Money, fame, & more...but sometimes our dreams are just nightmares. After you arrive to your success, what comes next? Can you still find who you are after losing yourself? Is any of this even real?","Daniel Lawrence Wilson","Michael Fenton","","WOMAN | INTERIOR | STUDIO","Away from Camera | Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/18/5f84def90f90f22dc902008530f6b595/5fbed10cb12bbe3225f4f3ad4d1c3e40.gif","Source unknown","Source unknown","","","","","","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/28/BOURNE_-_ERE_WE_GO_4U56wQJ/e241acd7db1b54981c24557cfca6e0e5.gif","Bourne - Ere We Go","Bourne - Ere We Go (2022)","Gritty music video for artist Bourne, from directing duo Truman & Cooper","Simon Colin","Adolpho Veloso","Mathieu Caplanne","INTERIOR | DARK | HALLWAY | SINGLE SHOT | KICK","Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_1d702b81f811e90e79f49533c2c4478d_775c5b62_540/3133226601e5d96ce021fa3e847dce1e.gif","Dune: Part Two","Dune: Part Two (2024)","Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.","Joe Walker","Greig Fraser","Dave Cole","RED | WALKING | FIRE","Central Framing | Silhouette"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/06/6/844507866709cef512d508cfe37d6266.gif","Morgan x Orlebar Brown feat. Karl Shakur","Morgan x Orlebar Brown feat. Karl Shakur (2022)","","Karl Shakur","","","WATER | DUSK | SUNSET | OCEAN | DARK","Silhouette"
