video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/StanleyKubrick-2001ASpaceOdyssey1968-SlitScanEffect/0fcb3c3ba6f1bd7e7009471c954b26f8.gif","2001: A Space Odyssey","2001: A Space Odyssey (1968)","","Ray Lovejoy","Geoffrey Unsworth, John Alcott","","SLIT SCAN | STANLEY | KUBRICK | SPACE | SLIT-SCAN | SPACE ODYSSEY","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/tumblr_o5oyifiY6p1qav3uso1_540/16d728404a50aa9c07075847c1594f52.gif","The Others (Short)","The Others (Short) (2016)","Great example of slitscanning in this trippy short by Japanese filmmaker Hiroshi Kondo. From Kondo, ""When you are in the crowd, it's absorbed by the energy of the big city, the noise of the city disappears, and you feel like you are alone in this city.""","Hiroshi Kondo","Daisuke Kumagai, Yosuke Sato","","","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/31/17/9a0d6938d16710af2f03229b46cf6410.gif","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","DARK | COOL","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/13/Snapinsta.app_video_323846723_1129222988520460_490456974540953107_n/29ef44c3f215a238577823843bccfe85.gif","Self-portrait on green mosaic background","Self-portrait on green mosaic background (2024)","","Francois Vogel","","","MALE | GREEN | FACE | SELF PORTRAIT","Collage | Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/4violet_sands__no_matter_what1080p/83c27e65f093fc54dcc69527d88bd8b8.gif","Violet Sands - No Matter What","Violet Sands - No Matter What (2017)","","Andre Andreev","Claudio Rietti","Andre Andreev","DANCING | ANDRE ANDREEV | SLIT SCAN | SLIT-SCAN | DRESS | SLIT | SURREALIST | STUDIO | VIOLET SANDS | ABSTRACT | SURREAL | FORMAL WEAR | ANDREEV","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/tumblr_mgkwcpYlL31qcuxfvo1_500/b408136bfb7263c144f0deeaaf2a430a.gif","Soulful Sock / Tumblr","Soulful Sock / Tumblr","","","","","DAY | EXTERIOR | CHEETAH","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/12/Unknown_T_-_Hocus_Pocus_Feat._Loyle_Carner_Official_Video_XrxKguP/b62e2e44770e96a1b52699cece20fb8f.gif","Unknown T - Hocus Pocus Feat. Loyle Carner","Unknown T - Hocus Pocus Feat. Loyle Carner (2023)","","Fouad Gaber","Anna Smoroňová","Marina Starke","DAY | PINK | EXTERIOR","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/tumblr_o5oyifiY6p1qav3uso2_r1_540/f463156955f3b9d0d166a66f38d5c601.gif","The Others (Short)","The Others (Short) (2016)","Great example of slitscanning in this trippy short by Japanese filmmaker Hiroshi Kondo. From Kondo, ""When you are in the crowd, it's absorbed by the energy of the big city, the noise of the city disappears, and you feel like you are alone in this city.""","Hiroshi Kondo","Daisuke Kumagai, Yosuke Sato","","","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/violet_sands__no_matter_what1080p/96125ec2e1c97c012c3806ea324c9fd1.gif","Violet Sands - No Matter What","Violet Sands - No Matter What (2017)","","Andre Andreev","Claudio Rietti","Andre Andreev","DANCING | ANDRE ANDREEV | SLIT SCAN | SLIT-SCAN | DRESS | SLIT | SURREALIST | STUDIO | VIOLET SANDS | ABSTRACT | SURREAL | FORMAL WEAR | ANDREEV","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/22/Jun-08-202307-52-41_1/bb0c68eb8abfd5dcf574e75256642d41.gif","Balenciaga SS23 dir. Jonas Ersland","Balenciaga SS23 dir. Jonas Ersland (2023)","","Jonas Ersland","","","","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/10/giphy-2023-03-29T214115.634/d38fe9110453d1400a13b40a2734fb38.gif","Lolo Zouaï - Moi + Look at Us (2020)","Lolo Zouaï - Moi + Look at Us (2020) (2020)","","Piotr Lebryk","Maxime Berger","","INTERIOR | 16MM","Fisheye | Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/22/Deb_Never_-_Momentary_Sweetheart_Official_Video_WiQSuYR/cf1e2fa6b048853893f25b5112e227ec.gif","Deb Never - Momentary Sweetheart","Deb Never - Momentary Sweetheart (2023)","","UNCANNY","","","","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/new4/353254fc6fda5215dbb750d3d8e2f5f1.gif","Source unknown","Source unknown","","","","","","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/07/giphy_12/8dbb96e8f1d2755acc9a3958a7cf7664.gif","Live Action Spinning GIF By Dyan Jong","Live Action Spinning GIF By Dyan Jong (2019)","","Dylan Jong","","","YELLOW","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/750_mph_278997313_334571655330143_3871626900921504584_n/a908327c0d7932f295c864be25cca0f2.gif","Ikea - Infinite Play","Ikea - Infinite Play (2022)","","Paul Hardcastle","Pierre De Kerchove","Fernando Lui","WARP | SLOW MOTION | SLIT SCAN","Slit-scan | Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/18/Snapinsta.app_video_423034921_971862797992198_7928744839371669751_n_1/4a9f0da578b4698c185a41d47f508820.gif","bambous Merci","bambous Merci","","Francois Vogel","","","HANDS | BAMBOO","Slit-scan"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/21/tumblr_o5oyifiY6p1qav3uso4_r1_540/a7a8d90a936edb9175229978955445af.gif","The Others (Short)","The Others (Short) (2016)","Great example of slitscanning in this trippy short by Japanese filmmaker Hiroshi Kondo. From Kondo, ""When you are in the crowd, it's absorbed by the energy of the big city, the noise of the city disappears, and you feel like you are alone in this city.""","Hiroshi Kondo","Daisuke Kumagai, Yosuke Sato","","","Slit-scan"
