video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/16/adidas_originals_-_your_future_is_not_mine_1080p_fX243ny/d06854d2b8d390229808fd4a5891b8cd.gif","adidas - Your Future Is Not Mine","adidas - Your Future Is Not Mine (2016)","The 2016 Adidas commercial ""Your Future is Not Mine,"" directed by Terence Neale, features influential creatives like Aleali May, Luka Sabbat, and Iman Shumpert, among others, who march confidently towards an optimistic future, challenging the preconceived notions of a dystopian tomorrow. This campaign, produced by the advertising agency Johannes Leonardo, emphasizes individual empowerment and the message that one's future is theirs to create, rallying viewers to defy negative expectations and shape their own destinies through creativity and personal initiative.","Exile Edit, Nate Gross, Shane Reid","Sebastian Wintero","Company 3, Tom Poole","MALE | ADIDAS | HUNTER HAMPTON | MATTHEW EDWARDS | JEPH BURTON | WES PHELAN | JOHANNES LEONARDO | DYSTOPIAN | FALCON","Dystopian | Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/hh4/b5ea9aa6b7ff613baf7beae70b2ae1b6.gif","TID Exploring Time 005 by Builders Club","TID Exploring Time 005 by Builders Club (2017)","","Jonas & Julien","Tom Elliott","","NEWSPAPER","Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/607d831eb684c3144bded2d500167972/acb0a5a10557ee4bfd8ea81b85f7d3fd.gif","Joker","Joker (2019)","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Jeff Groth","Lawrence Sher","Jill Bogdanowicz","DANCING | STAIRS | NEW YORK | JOKER","1980s | Overhead | Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/19/Mar-27-202312-59-56/42bc05b27e276e359739884a852e6595.gif","Axe - Monday","Axe - Monday","","Patric Ryan","","","","Scribble | Slow Motion | Trucking"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/19/ezgif.com-gif-maker-53/66ff2d28b38c892005d730a1ad281e66.gif","Under Armour - Phelps","Under Armour - Phelps (2021)","Under Armour's SS21 campaign for mental health and the importance of having to ""train what's under the armour"" from none other than the greatest Olympian himself, Michael Phelps.","Michael Barker","Jeremy Snell","","","Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/11/Martin_Scorsese___Gods_Point_of_View_PT5JOCS/3ee66c8f58a8fdf98352ab68dcc95c9f.gif","Goodfellas","Goodfellas (1990)","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","James Y. Kwei, Thelma Schoonmaker","Michael Ballhaus","","INTERIOR","Overhead | Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/hh4_uvfmOKy/1ea3e9d7b54049abb01146bfdcd837b6.gif","TID Exploring Time 005 by Builders Club","TID Exploring Time 005 by Builders Club (2017)","","Jonas & Julien","Tom Elliott","","WOMAN | FACE | EYES","Extreme Close-Up | Indifference | Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/23/Lil_Dicky__HAHAHA_Official_Music_Video_pldgtHi/0d3eeea8ed5d34ce1efa835359e9a8f7.gif","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","DAY | EXTERIOR | HORSES","Slow Motion"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/13/Canon_-_Live_for_The_Story_4EjxF8y/80cf2ffcaedf414c02b248b73446f3aa.gif","Canon - Live for the Story","Canon - Live for the Story (2017)","","Joe Guest","Kasper Tuxen","","WATER | LIGHT | POOL | JUMP","Falling | Slow Motion | Spotlight | Void"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/09/13/M.I.A_Bad_Girls_2_9vw5VQE/5e2b47d2128f003ff905ba0b69cc73dd.gif","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","WOMAN | EXTERIOR | DESERT | HAT | MOROCCO","Direct address | Halation | Single shot | Slow Motion"
