video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/23/Lil_Dicky__HAHAHA_Official_Music_Video_33UxCQe/3b5f13b837a82fb085da13aea0665c6a.gif","Lil Dicky - HAHAHA","Lil Dicky - HAHAHA (2024)","Lil Dicky music video directed by Phillip R Lopez. Heavily influenced by the character of the Joker. Feels like a mini-action movie. Shot on Alexa35, Ember Freefly, and Sony FX3 for the slow-motion crash scenes inside the limo.","Phillip R Lopez","Benjamin Loeb","Dante Pasquinelli","DAY | EXTERIOR | CLOWN | HORSE | LIL DICKY | JOKER","Snorricam"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/Apr-01-202319-32-28/0a9b6bd8cd5b9104e00ad4e93c8e97e1.gif","Requiem for a Dream","Requiem for a Dream (2000)","The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","Jay Rabinowitz","Matthew Libatique","","RUNNING | NIGHT | EXTERIOR | POLICE | PANAVISION GOLD / G2 | CHASE | PANAVISION PANASTAR | ARRI 3","Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/TheIrrationalFearofNothing_1/6f9bce85384665dbab549647a5c225bf.gif","The Irrational Fear of Nothing","The Irrational Fear of Nothing (2016)","Follows a paranoid, neurotic man named Terry as he wanders through the streets of Manhattan. Past memories and his irrational inner thoughts soon plague his every move. By channeling a form of mental time travel, he attempts to overcome these past anxieties.","Paul Trillo","Ed David","","INTERIOR | PAUL TRILLO | BED | BED ROOM","Snorricam | Snorricam > on back"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/07/07/FF_2ykuoSN/6428498041685336086e25a90d588cb1.gif","Oddworld x Souly - wzf / maybach","Oddworld x Souly - wzf / maybach (2024)","The music video for ""WZF / Maybach"" by Oddworld x Souly is a visually striking and dynamic production. The video features high-energy performances and a mix of urban and futuristic aesthetics. With vibrant colors and fast-paced edits, the visual storytelling complements the rhythm and intensity of the track. The artists are showcased in various locations, including industrial backdrops and sleek, modern settings, adding to the video's edgy and stylish vibe. The direction creatively blends elements of hip-hop culture with innovative visual effects, making it a captivating watch from start to finish.","Yannic Nixdorf","Patrick Pichler","","MALE | WALKING | SNORRICAM | HOODIE | THERMAL","Altered state | Drug trip | Snorricam | Snorricam > on back | Thermal"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/FPl5QPqSFA2M8qD7h69N_1600/d107e50b885e08d18287de75342f567d.gif","District 9","District 9 (2009)","Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.","Julian Clarke","Trent Opaloch","Dave Pickett, David Hollingsworth","GUN | SOLDIER | WEAPON | MACHINE GUN","2010s | Action | Fixed Cam | Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/Sequence_01_r9AW2T6/ab39bdfbe8e0fa795be0df4c813d651c.gif","Talladega Nights: The Ballad of Ricky Bobby","Talladega Nights: The Ballad of Ricky Bobby (2006)","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.","Brent White","Oliver Wood","Joe Finley","EXPLOSION | NIGHT | EXTERIOR | CRASH | NASCAR | WILL FERRELL","Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/07/07/FF_aIT4xud/5b1910bb8621b0002f06b455944df391.gif","Oddworld x Souly - wzf / maybach","Oddworld x Souly - wzf / maybach (2024)","The music video for ""WZF / Maybach"" by Oddworld x Souly is a visually striking and dynamic production. The video features high-energy performances and a mix of urban and futuristic aesthetics. With vibrant colors and fast-paced edits, the visual storytelling complements the rhythm and intensity of the track. The artists are showcased in various locations, including industrial backdrops and sleek, modern settings, adding to the video's edgy and stylish vibe. The direction creatively blends elements of hip-hop culture with innovative visual effects, making it a captivating watch from start to finish.","Yannic Nixdorf","Patrick Pichler","","MALE | WALKING | SNORRICAM | HOODIE | THERMAL","Floating UI | Snorricam | Snorricam > on back | Thermal | Video Game"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/ltBCmjdlPyCZkPyzqbLI_1600_1/30d86e99bb54cc7e55d5f4dc975b25b2.gif","Mean Streets","Mean Streets (1973)","In New York City's Little Italy, a devoutly Catholic mobster must reconcile his desire for power, his feelings for his epileptic lover, and his devotion to his troublesome friend.","Sidney Levin","Kent L. Wakeford","","RED | INTERIOR | BAR | DRUNK","Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/KzIHtCjvA2i73kVI1noX_1600/e94bf0ded6a2854423c32d3550694956.gif","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | JONAH HILL","Snorricam | Snorricam > on front"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/30/Screenshot_2024-01-29_at_1.54.08PM_uhETOja/ca1c918f43b37439a5dc0ad85bae600c.gif","The French Dispatch","The French Dispatch (2021)","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Andrew Weisblum","Robert Yeoman","Gareth Spensley","INTERIOR | BLACK AND WHITE | WHEELCHAIR","1960s | Fixed Cam | Snorricam | Snorricam > on back"
