video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/01/9/f07c232537dd15260dc9ab38c0dfa3ce.gif","Apple Arcade - A New World to Play In","Apple Arcade - A New World to Play In (2020)","","Tobias Suhm","Mauro Chiarello","","DAY | BLUE | INTERIOR | DARK","Slow Motion | Speed Ramp | Two Shot"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/01/15/853af3b7c62f4fe3d0753a03cabfe5dc.gif","Ford Kuga - Levels","Ford Kuga - Levels (2021)","Daniel Warwick invites us on an otherworldly virtual reality journey with Ford. Shot breakdown: Aerial dutch angle speed ramp","Alex Jurkat","Ekkehart Pollack","Mike Bothe","NIGHT | DARK | CITY | NEON | AERIAL","Aerial | Dutch Angle | Speed Ramp"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/19/Beastie_Boys_-_An_Open_Letter_To_NYC_pwBDdJv/031f3dce676a63dd391adc1b30a76ee7.gif","Beastie Boys - An Open Letter To NYC","Beastie Boys - An Open Letter To NYC (2004)","Music video by Beastie Boys performing An Open Letter To NYC. © 2004 Capitol Records Inc And Beastie Boys","Adam Yauch","Nathanial Hornblower","","BRIDGE | BLACK AND WHITE | NEW YORK CITY | SKATING | SKATEBOARD","Handheld | Speed Ramp"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/04/01/Travis_Scott_-_FEN_ft._Playboi_Carti_lJYdUgZ/62cf854b27203e05afdd9ee491ebd064.gif","Travis Scott - FE!N","Travis Scott - FE!N (2024)","The music video for ""Fe!n"" by Travis Scott featuring Playboi Carti was released on March 30, 2024, on Scott's YouTube channel via Vevo and directed by Gabriel Moses. The song itself, part of Scott's album ""Utopia,"" has been praised for its unique composition and contributions from both artists, showcasing a new vocal delivery by Carti and Scott's titular chorus.","Joseph Taylor, Trim Editing","Xiaolong Liu","John Lowe","YOUNG | GROUP | KIDS | CROWD | SCHOOL","Flash Cut | Locked-On | Speed Ramp | Zoetrope"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/21/USHER_H.E.R._-_Risk_It_All_Official_Music_Video_IlEGzkK/2c01a45597f8b38744ec04fd494f7968.gif","Usher, H.E.R. - Risk It All","Usher, H.E.R. - Risk It All (2024)","In the 2024 music video 'Risk It All' directed by Dave Meyers, Usher and H.E.R. deliver an emotionally charged performance, underscored by contemporary dance, on a rotating platform in a dimly lit setting. The video, known for its sophisticated yet steamy ambiance, culminates in a poignant moment with Usher tearfully singing the final note. This collaboration is a standout part of 'The Color Purple' soundtrack, showcasing the artistic depth and vulnerability of both artists.","Nathan Rodgers","Scott Cunningham","Pavel Marko","DANCING | SENSUAL | USHER | UNDERWEAR | SUGGESTIVE | BOXERS","Echo print | Lazy Susan | Motion Blur | Speed Ramp | Stationary camera"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/15/21_Savage_-_redrum_Official_Music_Video_aNBrTz4/2e51441b765e22536dc44d0e528bb618.gif","21 Savage - redrum","21 Savage - redrum (2024)","The music video for ""Redrum"" by 21 Savage, featured on his album ""American Dream,"" is directed by Danny Seth and showcases a return to the artist's roots in London. It contrasts iconic landmarks with the grittier areas of Brixton, symbolizing the song's themes. The track itself, produced by London on da Track, samples ""Serenata do Adeus"" and incorporates elements from ""The Shining,"" including the famous line ""Here's Johnny!"" Despite some opinions that the video could have more directly referenced ""The Shining's"" iconic scenes, it has been well-received for its artistic representation and Savage's performance.","Anders Mills, Trim Editing","Chewy Lodge, JAWMIDNIGHT, Thomas Marchese","Vlad Barin","WEED | INTERIOR | SMOKING | MARIJUANA","Dutch Angle | Jump cut | Speed Ramp"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/15/AIR_JORDAN__ROOKIE_CARD__-_SHORT_FILM_ozOw0IK/567206d5e09df82226cb0e01165f3177.gif","Air Jordan - Rookie Card (Short Film)","Air Jordan - Rookie Card (Short Film) (2024)","An homage to the greatest to ever play the game and the card that started it all.","Masood Ahmed","Geoffrey Taylor","Spyros Katsihtis","NIKE | EXTERIOR | SHOES | COURT | JUMP","Locked-On | Product | Product: Shoes | Speed Ramp"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/11/Drake_21_Savage_-_Spin_Bout_U_6yZoh25/58f3a1b4e8224a8a39592d0da915a002.gif","Drake, 21 Savage - Spin Bout U","Drake, 21 Savage - Spin Bout U (2023)","2023 music video in collaboration between Drake and 21 Savage, directed by the iconic Dave Meyers.","Nathan Rodgers","Scott Cunningham","Stefan Sonnenfeld","YACHT","Speed Ramp | Timelapse"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/11/AAP_Rocky_LD_MuBNLZN/946a74abe82faec842d0a8b0f75d1ffd.gif","A$AP Rocky - L$D","A$AP Rocky - L$D (2015)","Shot entirely in Tokyo, L$D borrows heavily from Gaspar Noé’s 2009 psychedelic fantasy film Enter the Void (which, if you ask Noé, also inspired Kanye West’s 2010 music video “All of the Lights”).","Dexter Navy","Oliver Millar","Matt Turner","","Altered state | Drug trip | Speed Ramp"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/09/13/M.I.A_Bad_Girls_2_vNzg7TK/86124f080c93b96bcfa650b218b17c26.gif","M.I.A. 'Bad Girls'","M.I.A. 'Bad Girls' (2012)","M.I.A.'s ""Bad Girls"" music video is a visually stunning showcase of Saudi-inspired car stunts, with drifting vehicles on two wheels and empowered women in a desert setting, blending Middle Eastern cultural elements with modern rebellion. Directed by Romain Gavras, the video highlights themes of female empowerment and defiance, all set against a backdrop of high-octane action and surreal imagery.","Walter Mauriot","André Chemetoff","","CAR | MUSIC VIDEO | DRIFTING | DUST | MOROCCO | STUNT","Speed Ramp | Tracking"
