video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_d8f1c739da7afe3b31912fc78c3b97c3_d80464c2_500/60ded00e5e7a07acba1bf676468c12c6.gif","Carrie","Carrie (1976)","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.","Paul Hirsch","Mario Tosi","","DAY | CLOSE UP | INTERIOR | COLORFUL | 1970S | FILM | 35MM | SATURATED | PANAVISION PANAFLEX | SCHOOL | CARRIE","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/tumblr_49e6dffab1a3fe4e00713626a82b660f_82eba7c8_540/f12e9ccea6450295cac23a920c8efa4f.gif","Us","Us (2019)","","Nicholas Monsour","Mike Gioulakis","Michael Hatzer","INTERIOR","Horror | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/30/tumblr_cb30979e11e4671639dd19c25448202f_99d46eaa_540/954cc203787ad16cc103fd46c28eccc4.gif","The Umbrella Academy (TV Series)","The Umbrella Academy (TV Series) (2019)","A family of former child heroes, now grown apart, must reunite to continue to protect the world.","","","","WHITE | BLACK | AND","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_6c59ea097bcf9b4ed66ef6966fce282b_a18a12fe_540/b8cdcd01cc90699429be495650cd69e8.gif","Jaws","Jaws (1975)","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Verna Fields","Bill Butler","","DAY | DOLLY ZOOM | OCEAN | TWO SHOT | EXTERIOR | 1970S | FILM | 35MM | ANAMORPHIC | PANAVISION C SERIES","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/16/tumblr_6600200583f6a805f3b515e717aab75f_02bbbd7e_540/27c6c521fe5d009b0da16b20b667d655.gif","La Haine","La Haine (1995)","A Mathieu Kassovitz-directed thriller where we follow the lives of three young men in the French suburbs the day after a violent riot. Kassovitz uses handheld cameras and fixed cameras on tripods to create a realistic feeling for the audience. The film was originally shot in color, but Kassovitz changed it to black and white in post-production, giving La Haine its timeless look.","Scott Stevenson","Pierre A","","NIGHT | BLACK AND WHITE | EIFFEL TOWER | CLOSE-UP | RING","1990s | Shallow Focus | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/28/tumblr_f9a49a9fc8c7c111472586a62d809821_f84a26a9_540/930b19ba9e6695aa16404f4c9c551d33.gif","Evil Dead Rise","Evil Dead Rise (2023)","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable. Stunning use of a split-diopter lens throughout the film. Shot breakdown: Dutch angle ground shot + split diopter lens + close up.","Bryan Shaw","Dave Garbett","Gary Curran","INTERIOR | ANAMORPHIC | 2020S | ARRI ALEXA MINI LF | PANAVISION LENSES | PANAVISION ULTRA SPEED MKII | PANAVISION ULTRA PANATAR LENSES | PANAVISION G SERIES","Close-Up | Dutch Angle | Ground Level | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/28/tumblr_e591d09f0e2214375d87c31559fdc573_85b25f9a_540/6d73e807f9dde2a44d2d24dd82aafa26.gif","Evil Dead Rise","Evil Dead Rise (2023)","A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable. Stunning use of a split-diopter lens throughout the film.","Bryan Shaw","Dave Garbett","Gary Curran","DAY | INTERIOR | RACK FOCUS | ANAMORPHIC | 2020S | ARRI ALEXA MINI LF | PANAVISION LENSES | PANAVISION ULTRA SPEED MKII | PANAVISION ULTRA PANATAR LENSES | PANAVISION G SERIES","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_44127d48b497fdf6f7dcdd0df2b445e3_a28fd260_500/997dc2eda1a817f464d98b30fbb5b37a.gif","Carrie","Carrie (1976)","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.","Paul Hirsch","Mario Tosi","","NIGHT | INTERIOR | DARK | 1970S | FILM | 35MM | PANAVISION PANAFLEX | CARRIE","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_246622ca4f9e96accf6d8ce13eef959c_b6b921df_1280/de758cd8a3658b4ddfb95cc6863e6dbc.gif","Ma","Ma (2019)","A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.","Jitte Hoekstra","Christina A. Voros","Andrea Chlebak","DAY | EXTERIOR | PANAVISION | COOL WHITE | ARRIRAW | BLUMHOUSE PRODUCTIONS | DENTSU | FUJI TELEVISION NETWORK","Split Diopter | Unsettling"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_5028c5d0c92af5f63ab3fe2b22941795_5d8fd5a7_540/5174146bcdfb87f5a8453a730c8757c9.gif","The Thing","The Thing (1982)","A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.","Todd C. Ramsay","Dean Cundey","","INTERIOR | TWO SHOT | DARK | FILM | 1980S | 35MM | ANAMORPHIC | HARD LIGHT | PANAVISION GOLD / G2 | PANAVISION C SERIES | PANAVISION E SERIES","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_d29300ba31145233c508edb8d008fc51_89e9c1df_540_1/54ffd9b86772ea544a95232c8c298841.gif","Ouija: Origin of Evil","Ouija: Origin of Evil (2016)","In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is.","Mike Flanagan","Michael Fimognari","Cody Baker, Company 3","DAY | LIGHT | INTERIOR | TWO SHOT","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_8bdd3060e83d4fa8f6cf25ce223cf33b_a98c1b0a_500/6a224ad3953696a382fb04ba0f5afe21.gif","Carrie","Carrie (1976)","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.","Paul Hirsch","Mario Tosi","","DAY | GRASS | EXTERIOR | 1970S | FILM | 35MM | SATURATED | PANAVISION PANAFLEX | SATURATION | CARRIE","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/14/Offset_-_CODE_ft._Moneybagg_Yo_Official_Video_RqY0aFI/46374bbf2b349854c5e4d7fa771af1d6.gif","Offset - CODE ft. Moneybagg Yo","Offset - CODE ft. Moneybagg Yo (2022)","The music video for ""CODE"" by Offset featuring Moneybagg Yo is visually striking and matches the energy and themes of the song. In the video, both artists perform in various gritty, urban settings, enhancing the tough and assertive lyrics of the track. The video features scenes with luxury cars, dynamic group performances, and visually engaging effects that emphasize the rhythm and mood of the music. The overall aesthetic is dark and stylish, with a focus on street fashion and a portrayal of a lavish lifestyle, which is common in hip hop videos. The video complements the song's themes of success, power, and street credibility.","Anthony Miralles","Taylor McIntosh","Megan Lee","SPOTLIGHT","Profile | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/28/CloseEncounters/d9614bb1f50ec68cbe690c30d4e8e3d0.gif","Close Encounters of the Third Kind","Close Encounters of the Third Kind (1977)","Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.","Michael Kahn","Vilmos Zsigmond","Sheri Eisenberg","CLOSE UP | INTERIOR | DINNER | PROFILE | TWO SHOT | 1970S | FILM | 35MM | PANAVISION PANAFLEX | ANAMORPHIC | PANAVISION 65 HR | PANAVISION R-200 | PANAVISION C SERIES","Split Diopter | Two Shot"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/SNL_Split/2b8f22c3f98f01fc794f29aae335a85f.gif","SNL - S42 Premiere","SNL - S42 Premiere (2016)","SNL, or Saturday Night Live, is a long-running American sketch comedy and variety show that premiered on October 11, 1975. It features a mix of live sketches, musical performances, and celebrity hosts, and has become a cultural institution known for its satirical take on current events and pop culture.","Matt & Oz","","","MARGOT ROBBIE | INTERIOR | BRIGHT | LIBRARY","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_dcef56ed0704149dbe2e7251c4722a1b_8d5bcf74_540_1/7f0092fbca5971635655abf5c8cfe0ae.gif","Saint Maud","Saint Maud (2019)","A pious nurse becomes dangerously obsessed with saving the soul of her dying patient.","Mark Towns","Ben Fordesman","Rob Pizzey","WARM | NIGHT | INTERIOR | 2010S | ORANGE | BEDROOM | HORROR | ARRI ALEXA MINI | THRILLER | SPHERICAL | CANON K35 MK3","Fear | Split Diopter | Surprise"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_1f65b33ac6ba0efc7c5785d90cec31fe_b620a089_540/e9690becdfbfb46c7d0b0376a1055236.gif","House of 1,000 Corpses","House of 1,000 Corpses (2003)","Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.","Kathryn Himoff, Robert K. Lambert, Sean K. Lambert","Alex Poppas, Tom Richmond","","NIGHT | BLUE | EXTERIOR | DARK | HORROR | THRILLER","Fear | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_8ac605280f7d29561f9c2e072ded22a3_d2f23cef_540/54e9a265aa1f02ae6f483a2107a360ad.gif","Bride of Chucky","Bride of Chucky (1998)","Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.","Ronny Yu","Peter Pau","","NIGHT | BLUE | INTERIOR | TWO SHOT | 1990S | HORROR | MOVIECAM COMPACT | THRILLER","Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/30/tumblr_0110a590c078afffb978b68c59a6639f_7fcc7444_2048/5b701934b5043f82e2c8c1e343332066.jpg","The Andromeda Strain","The Andromeda Strain (1971)","Top scientists work feverishly in a secret, state-of-the-art laboratory to discover what killed the citizens of a small town and how the deadly contagion can be stopped.","John W. Holmes, Stuart Gilmore","Richard H. Kline","","NIGHT | MEN | EXTERIOR | POLICE | COP","1970s | Central Framing | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/14/Offset_-_CODE_ft._Moneybagg_Yo_Official_Video_g6RYG8a/9d4972a005339099798574792c807f0b.gif","Offset - CODE ft. Moneybagg Yo","Offset - CODE ft. Moneybagg Yo (2022)","The music video for ""CODE"" by Offset featuring Moneybagg Yo is visually striking and matches the energy and themes of the song. In the video, both artists perform in various gritty, urban settings, enhancing the tough and assertive lyrics of the track. The video features scenes with luxury cars, dynamic group performances, and visually engaging effects that emphasize the rhythm and mood of the music. The overall aesthetic is dark and stylish, with a focus on street fashion and a portrayal of a lavish lifestyle, which is common in hip hop videos. The video complements the song's themes of success, power, and street credibility.","Anthony Miralles","Taylor McIntosh","Megan Lee","SPOTLIGHT","Profile | Split Diopter"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/29/tumblr_5ebe1a32b53d5b6bf09fd61500533d7c_7dd94bcc_540/9a3096f61a268ad464cb9381233cc417.gif","The Birds","The Birds (1963)","A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.","George Tomasini","Robert Burks","","DAY | LIGHT | WHITE | EXTERIOR | FILM | HORROR | 35MM | 1960S | THRILLER | MITCHELL BNC | DRAMA","1960s | Concern | Split Diopter"
