video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2023/12/23/261703313366.webp","Botis Seva - Santo","Botis Seva - Santo (2022)","","Freddie Leyden","David Bird","Alex Gregory","BLACK AND WHITE","Bullet Time | Duplication | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704077050.webp","Ford Kuga - Levels","Ford Kuga - Levels (2021)","Daniel Warwick invites us on an otherworldly virtual reality journey with Ford. Shot breakdown: Aerial tilt up+ scale shift seamless transition","Alex Jurkat","Ekkehart Pollack","Mike Bothe","CLOUDS | OVERHEAD | SCALE SHIFT | AERIAL","Aerial | Magical realism | Scale Shift | Seamless Transition | Tilt | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711246261.webp","adidas - Original is Never Finished (Chapter 3)","adidas - Original is Never Finished (Chapter 3) (2017)","The third installment of adidas Originals' 'Original Is Never Finished' series, directed by Terence Neal.","Christopher Fetsch, Robert Lopuski","Alexis Zabe","Company 3, Tom Poole","HANDS | SURREALISM | 21 SAVAGE | GLOVES","Light Flash | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705123051.webp","Canon - Live for the Story","Canon - Live for the Story (2017)","","Joe Guest","Kasper Tuxen","","MALE | BIKE | NIGHT | EXTERIOR | DARK | KID | RUNNER | NEIGHBORHOOD | ADULT","Magical realism | Spotlight | Void"
"https://asset.eyecannndy.com/media/clip/2024/02/20/261708424654.webp","Get Him to the Greek","Get Him to the Greek (2010)","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.","Michael L. Sale, William Kerr","Robert Yeoman","Mitch Rosin","INTERIOR | NEWS","2010s | Altered state | Drug trip | Levitation | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711245792.webp","adidas - Original is Never Finished (Chapter 3)","adidas - Original is Never Finished (Chapter 3) (2017)","The third installment of adidas Originals' 'Original Is Never Finished' series, directed by Terence Neal.","Christopher Fetsch, Robert Lopuski","Alexis Zabe","Company 3, Tom Poole","SMOKE | FOG | LAB | POD | KENDALL JENNER","Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/16/261710577670.webp","Busta Rhymes - BIG EVERYTHING","Busta Rhymes - BIG EVERYTHING (2023)","The 2023 music video for ""BIG EVERYTHING"" by Busta Rhymes, featuring DaBaby and T-Pain, showcases a dynamic collaboration among these artists. The video is part of Busta Rhymes' promotional efforts for his album ""Blockbusta."" In this collaboration, Busta Rhymes and DaBaby exchange verses over a beat reminiscent of classic hip-hop, with T-Pain adding his distinctive vocals to the mix. The video and song highlight the artists' lyrical prowess and their ability to create an engaging hip-hop track that appeals to fans across different eras of the genre.","","","","MALE | PROFILE | DOGS | BUSTA RHYMES","Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707631827.webp","Valentino Khan - Deep Down Low","Valentino Khan - Deep Down Low (2016)","One of the weirdest music videos you'll ever watch. We don't recommend watching while high. Actually scratch that. Even better when high. Fever, hallucinogens, or the hypnotic beat at the track make his nightmares increasingly bizarre. In the restaurant, dancing facial features and tentacles sprouting from a waitress's eyes push him to flee the surreal scene.","Gaia Borretti","Naoki Noda","Luke Morrison","WOMAN | RESTAURANT | INTERIOR | HORROR | OCTOPUS | TENTACLES | SQUID","Altered state | Drug trip | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/21/261703203101.webp","Samsung - I'm Open to That","Samsung - I'm Open to That (2022)","An epic, two-minute mini-musical showcasing the transformative capabilities of Samsung's Galaxy phones and celebrating the myriad possibilities they unveil in life.","Final Cut, Sam Bould","Todd Martin","Osmar Junior","SPACE | EXTERIOR | DOORS","Flying | Magical realism | Object Portal"
"https://asset.eyecannndy.com/media/clip/2024/01/30/261706573968.webp","Infinite loop animation by Chikito Rikiyano","Infinite loop animation by Chikito Rikiyano","","","","","ROAD | SUNSET | EXTERIOR | SUNRISE | SPIRAL | TWIST","Infinite Loop | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703924232.webp","slowthai - Yum","slowthai - Yum (2023)","Shot breakdown: surrealist cut-out to wide spotlight shot","John Holloway","Jack Exton","","NIGHT | BLUE | EXTERIOR | DARK | SODIUM LIGHT | SNOWING","Cut-ins | Magical realism | Spotlight"
"https://asset.eyecannndy.com/media/clip/2024/02/11/261707630907.webp","Valentino Khan - Deep Down Low","Valentino Khan - Deep Down Low (2016)","One of the weirdest music videos you'll ever watch. We don't recommend watching while high. Actually scratch that. Even better when high. Fever, hallucinogens, or the hypnotic beat at the track make his nightmares increasingly bizarre. In the restaurant, dancing facial features and tentacles sprouting from a waitress's eyes push him to flee the surreal scene.","Gaia Borretti","Naoki Noda","Luke Morrison","WATER | RESTAURANT | INTERIOR | GLASS | CUP","Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703283292.webp","Cadillac ft. RZA - Path of Arrival","Cadillac ft. RZA - Path of Arrival (2021)","","Cosmo Street Editorial, Mark Potter","Kai Saul","Company 3, Parker Jarvie","DARK | SURREALISM","Infinite Zoom | Magical realism | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704071509.webp","Cinemagraph by Daria Khoroshavina","Cinemagraph by Daria Khoroshavina","The project Kitchen Ghosts is about food, drinks and other little precious moments of life captured and looped in live photographs.","Daria Khoroshavina","","","DARK | DRINK | FOOD | COOKING | SPOON","Cinemagraph | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/31/261703998532.webp","Metro Boomin & Future - Superhero (Heroes & Villains)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Metro Boomin & Future - Superhero (Heroes & Villains) (2022)","Kenny Shimm (Editor)","Chuk Town","","DAY | EXTERIOR","Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703053643.webp","Nope","Nope (2022)","The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.","Nicholas Monsour","Hoyte van Hoytema","Company 3, Greg Fisher","NIGHT | BLOOD | BLUE | EXTERIOR | DARK | RAIN | 65MM | SURREALISM | PANAVISION 65 HR | PANAVISION SYSTEM 65M | DANIEL KALUUYA | 2020S | GREG FISHER | HOYTE VAN HOYTEMA | COMPANY 3 | NICHOLAS MONSOUR | JORDAN PEELE","Extreme Wide | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711250281.webp","KYLE - iSpy feat. Lil Yachty","KYLE - iSpy feat. Lil Yachty (2017)","The ""iSpy"" music video by KYLE featuring Lil Yachty combines playful animation with live-action, creating a whimsical and colorful world that reflects the song's lighthearted vibe. It transports the viewer into a carefree, imaginative space where the artists, portrayed as children, explore vibrant, animated landscapes. This creative blend of elements highlights the song's themes of joy and escapism.","Vinnie Hobbs","Rob Witt","","BEACH | KIDS | PLAY","Central Framing | Magical realism | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705123337.webp","Canon - Live for the Story","Canon - Live for the Story (2017)","","Joe Guest","Kasper Tuxen","","WATER SLIDE","Light Flash | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711250476.webp","KYLE - iSpy feat. Lil Yachty","KYLE - iSpy feat. Lil Yachty (2017)","The ""iSpy"" music video by KYLE featuring Lil Yachty combines playful animation with live-action, creating a whimsical and colorful world that reflects the song's lighthearted vibe. It transports the viewer into a carefree, imaginative space where the artists, portrayed as children, explore vibrant, animated landscapes. This creative blend of elements highlights the song's themes of joy and escapism.","Vinnie Hobbs","Rob Witt","","BEACH | KIDS | PLAY","Big head | Central Framing | Magical realism | Two Shot"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705124503.webp","Dell XPS - Get Into Your Youniverse","Dell XPS - Get Into Your Youniverse (2021)","A spellbinding visualization of what’s virtually possible.","Alex Liu, Rock Paper Scissors","Mauro Chiarello","Ricky Gausis","SPACE | DARK | BLACK | VOID | INFINITE | SINGLE SHOT","Magical realism | Void"
"https://asset.eyecannndy.com/media/clip/2024/01/31/261706691161.webp","Kid Culture - KEEP IT","Kid Culture - KEEP IT (2023)","2023 music video for artist Kid Culture. Produced by Stray Dogs","Daniel Iglesias Jr.","Scott Siracusano","Dante Pasquinelli","DAY | CAR | EXTERIOR | BALLOONS","Levitation | Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703108894.webp","Sampha - Sampha - Can't Go Back","Sampha - Sampha - Can't Go Back (2023)","Directed by Saad Moosajee. An abstract visual journey centered around an eclipse.","Cabin Edit, Dylan Edwards","Maximilian Pittner","No 8, Tim Smith","BLACK AND WHITE | DARK | SILHOUETTE | NEGATIVE","Extreme Wide | Light Void | Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/01/01/261704107042.webp","Sub Urban - UH OH! (feat. BENEE)","Sub Urban - UH OH! (feat. BENEE) (2022)","","Erin McCaffrey, Rock Paper Scissors, Sebastian Zotoff","Kristian Zuniga","Company 3, Matt Osborne","INTERIOR | BATHROOM | HORROR | SURREALISM | 35MM | HIGH ANGLE | THRILLER | KODAK | HEAD | BATHTUB","Magical realism"
"https://asset.eyecannndy.com/media/clip/2024/03/04/261709539825.webp","Saint Levant - Nails","Saint Levant - Nails (2023)","2024 music video by Saint Levant performing Nails starring Mia Khalifa.","Mattias Russo-Larsson","Melisse Riahi","","WOMAN","Light Void | Magical realism | Zoom out"
"https://asset.eyecannndy.com/media/clip/2024/02/27/261709018256.webp","Sheck Wes, JID & Ski Mask The Slump God - Fly Away","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Sheck Wes, JID & Ski Mask The Slump God - Fly Away (2024)","Cole Bennett","Franklin Ricart","Josh Bohoskey","EXTERIOR | ALL IS YELLOW","Magical realism"
"https://asset.eyecannndy.com/media/clip/2023/12/22/261703235284.webp","Dell - Get Into Your Youniverse","Dell - Get Into Your Youniverse (2021)","A wild, colorful journey down the rabbit-hole of users’ interests. Directed by Marco Prestini of Anonymous Pictures with visual effects by MPC New York, the film creates surreal, beautiful worlds out of the passions each represents.","Alex Liu, Rock Paper Scissors","Mauro Chiarello","","INTERIOR | DARK | VOID | DREAM | INFINITE","Arc | Magical realism | Void | X-Axis Arc"
