video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/19/AJR_-_Maybe_Man_Official_Video_8Z5TgGz/a4126687ec4d20acce896e36b5b812e7.gif","AJR - Maybe Man","AJR - Maybe Man (2024)","An incredible brush-stroke style animation from Prime Render Studios; inspired by Miyazaki and a staple animation style of artist Bozo Balov. Illustrated in Quill VR. Animated in Blender.","Edoardo Ranaboldo","","","DAY | EXTERIOR | PARK | AJR","Oil Paint | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/02/28/261709102904.webp","Watchtower of Turkey","Watchtower of Turkey (2014)","Described as a visual masterpiece, ""Watchtower of Turkey"" is praised for its breathtaking cinematography, dynamic soundtrack, and impeccable editing. The film takes viewers through vibrant cities and awe-inspiring landscapes, showcasing the country's remarkable diversity and beauty. It's more than just a travel video; it's a tribute to Turkey's rich culture, history, and natural wonders, crafted with an eye for detail and a knack for storytelling.","Leonardo Dalessandri","","","","Transitions | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/26/261711433394.webp","Yung Jake - Unfollow","Yung Jake - Unfollow (2014)","""Unfollow"" by Yung Jake, presented on MOCAtv, explores the challenge of moving on from a past relationship in the digital era, emphasizing the difficulty of severing ties through social media. The music video captures the emotional turmoil and the haunting presence of past memories amplified by social media feeds. It artistically portrays the struggle of detaching from a former partner in a world where digital connections persistently remind one of the past.","Yung Jake","Temra Pavlovic","","","Transitions"
"https://asset.eyecannndy.com/media/clip/2024/05/15/261715808873.webp","Majimbo - Aiza","Majimbo - Aiza (2023)","The music video for Aiza’s ""Majimbo"" showcases vibrant, energetic scenes that match the feel-good thumpy pop bassline and braggadocious flow of the song. Aiza, full of confidence, is seen walking down colorful city streets that transform into impromptu fashion runways, exuding an infectious joy and inner strength. K.O.G’s electric vocals elevate the video’s energy, capturing the pride and inspiration drawn from Elsa Majimbo’s rise to fame. The video blends Afropop, Afrobeat, and soulful R&B elements, celebrating Aiza’s journey and the empowerment of loving boldly.","Daniyal Shah","Daniel Attoh","Tricia Hagoriles","INTERIOR | COLORFUL | SATURATED","Transitions | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706260974.webp","Bugatti","Bugatti (2022)","Bugatti (2022) Technique - Seamless Transition , Transitions BUGATTI","","","","BUGATTI","Seamless Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/26/261706260898.webp","Usual Suspects","Usual Suspects (1995)","The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.","Bryan Singer","","","EXTERIOR | SINK","Seamless Transition | Transitions"
"https://asset.eyecannndy.com/media/clip/2024/01/04/261704366033.webp","It's a Wimbledon Thing","It's a Wimbledon Thing (2021)","Directors: Us Production: Academy Films EP: Medb Riordan Producer: Steve Overs Production Manager: Antonia Vickers Production Manager: Laura Duffy DoP: Rina Yang DoP: Ben Magahy Production Designer: Mikey Hollywood Wardrobe Stylist: Verity May Lane Wardrobe Stylist: Lucy Hagen Casting: HammondCox Client: Wimbledon Agency: McCann London Creative Director: Rob Webster Creative Director: Alexei Berwitz Art Director: Tom Dixon / Ran Stallard Copywriter: Erik Uvhagen / Jenna Morrissey TV Producer: Anna Cartwright Edit Company: Trim Editor: Thomas Grove Carter Edit Producer: Noreen Khan Sound Design: String & Tin Sound Designer: Adam Smyth Post: Black Kite Studios Colourist: George K Producer: Amy Richardson","Thomas Grove Carter, Trim Editing","Ben Magahy, Rina Yang","George K","DAY | EXTERIOR","Transitions | Whip Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/30/261703923084.webp","slowthai - Yum","slowthai - Yum (2023)","Shot breakdown: whip transition yo-yo","John Holloway","Jack Exton","","COOL | COOL WHITE | CYAN INTERIOR","Transitions | Whip Transition"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702867190.webp","A$AP Ferg - Floor Seats","A$AP Ferg - Floor Seats (2019)","In the music video for ""Floor Seats,"" A$AP Ferg gives a supposedly VIP tour of New York City on his Redline BMX, showcasing the rare and unique experience of his life—complete with gravity-defying bike tricks and a closing act of a house party that makes Harlem look like the ultimate VIP lounge. Because nothing says VIP like riding a BMX through the streets and ending the night with a raucous house bash, right?","Maxime Caro","Hunter Daly","Arthur Paux","DAY | LIGHT | SOFT FOCUS | SPIN | BIKE | NEW YORK","Roll Transition | Transitions | Wipe Transition"
"https://asset.eyecannndy.com/media/clip/2024/03/01/261709329318.webp","Graubünden - Best Version (DC)","Graubünden - Best Version (DC) (2024)","Graubünden - Best Version (DC) (2024)","Thomas Cervenca","Pierre Castillo Bernad","Nurali Kushkov","TRAIN | WIPE | LENS | WIPING","Transitions"
"https://asset.eyecannndy.com/media/clip/2024/03/09/261709971231.webp","Nike - Rise of the kids","Nike - Rise of the kids (2022)","Nike - Rise of the kids (2022) Technique - Transitions , Whip Transition Director - ALASKA DOP - Todd Martin Original Source - Link","ALASKA","Todd Martin","","","Transitions | Whip Transition"
