video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/03/21/261711004680.webp","Asics - Making Weight","Asics - Making Weight (2023)","Asics - Making Weight (2023) A short wrestling film Technique - Tilt , Ultra Wide , Wide shot Director - James Dayton DOP - Gabriel Crawford Connelly Editor - Brian Chambers Colorist - Sam Gilling Original Source - Link MALE SPORTS INTERIOR ATHLETE GYM","Brian Chambers","Gabriel Crawford Connelly","Sam Gilling","MALE | SPORTS | INTERIOR | ATHLETE | GYM","Tilt | Ultra Wide | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/01/13/261705106880.webp","Get Out","Get Out (2017)","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Gregory Plotkin","Toby Oliver","Aidan Stanford","DARK | BLACK | JORDAN PEELE | VOID | SUNKEN PLACE | GET OUT | HYPNOSIS | HYPNOTIZE","Horror | Levitation | Void | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703031058.webp","Pulp Fiction","Pulp Fiction (1994)","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Sally Menke","Andrzej Sekula","","90S | CAR | DRIVING | NIGHT | BLUE | DARK | 1990S | COOL | WIDE SHOT | RAIN | PANAVISION | WIDE | 35MM | BLACK | STREET LIGHTS | QUENTIN TARANTINO | SALLY MENKE | ANDRZEJ SEKULA","1990s | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/03/24/261711258885.webp","Sam Akpro - Death By Entertainment","Sam Akpro - Death By Entertainment (2023)","The music video for ""Death By Entertainment"" by Sam Akpro, directed by Pedro Takahashi, presents the artist and his band as Wall Street-style bankers caught in an endless loop of hard work and intense leisure. The video employs split screens and dynamic camera movements to convey a melancholic yet captivating atmosphere, mirroring the song's themes of repetitive daily life and the blurring lines between day and night due to physical and mental exhaustion.","Pedro Takahashi","Max Conran","Connor Coolbear, Electric Theatre Collective","DAY | EXTERIOR","Fast Motion | Lazy Susan | Low Angle | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703041673.webp","Lady Chatterley’s Lover","Lady Chatterley’s Lover (2022)","An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.","Geraldine Mangenot, Nina Annan","Benoît Delhomme","","DAY | RED | WOMAN | GREEN | INTERIOR | WINDOW | WIDE | BRIGHT | SATURATED | 2020S | LADY CHATTERLEY'S LOVER | LAURE DE CLERMONT-TONNERRE | NINA ANNAN | BENOÎT DELHOMME | GERALDINE MANGENOT | READING","Tableau | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706565616.webp","The French Dispatch","The French Dispatch (2021)","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"". Shot breakdown. Dolly out to wide.","Andrew Weisblum","Robert Yeoman","Gareth Spensley","BIKE | BLUE | EXTERIOR | COOL | PARIS | BIKING","1960s | Trucking | Wide shot"
"https://asset.eyecannndy.com/media/clip/2024/01/29/261706503313.webp","Long Live Liborius","Long Live Liborius (2021)","Catholic church turned sanctuary for skaters. Burned down in 2023.","Bruton Stroube","","","INTERIOR | SKATE | CHURCH | ROLLER SKATE","High Angle | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703452044.webp","Rosalia - Saoko","Rosalia - Saoko (2022)","Rosalía and her motorcycle girl gang run riot in Valentin Petit's brilliant video for Saoko, the first track from the Spanish superstar's latest album Motomami.","Jon Echeveste","Paul Guilhaume","Arthur Paux","DAY | LIGHT | BRIDGE | EXTERIOR","Dolly Zoom | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703040884.webp","Blade Runner","Blade Runner (1982)","A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.","Marsha Nakashima (Editor)","Jordan Cronenweth","James Warren (Colorist), Jill Bogdanowicz, Joshua Pines (Colorist), Karen Krause, Thomas R. Polizzi (Colorist), Tom Burton (Colorist)","INTERIOR | SILHOUETTE | COOL | WIDE | MITCHELL FC 65 | JILL BOGDANOWICZ | PANAVISION PRIMO | KAREN KRAUSE | MARSHA NAKASHIMA | TOM BURTON | 2.39 ANAMORPHIC | FILM 35MM | RIDLEY SCOTT | JAMES WARREN | JOSHUA PINES | THOMAS POLIZZI | JORDAN CRONENWETH","Future | Sci Fi | Wide shot"
"https://asset.eyecannndy.com/media/clip/2023/12/20/261703042383.webp","Nomadland","Nomadland (2020)","A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","Chloé Zhao","Joshua James Richards","","DAY | WOMAN | RUNNING | NATURE | WARM | EXTERIOR | BROWN | WIDE | ARRI ALEXA MINI | ZEISS ULTRA PRIME | ARRI AMIRA | JOSHUA JAMES RICHARDS | CHLOE ZHAO | ROCKS","Tableau | Wide shot"
