video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707405379.webp","Litterbug S1E7 (TV Series)","Litterbug S1E7 (TV Series)","A horror claymation about recycling. Episode 7 of director Trent Shy's Death Vote series.","Trent Shy","","","EXTERIOR | HORROR | FLOWER | CLAY | LITTER","Claymation | Stop Motion | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007053.webp","Happy Pink And Blue GIF By Simon Falk","Happy Pink And Blue GIF By Simon Falk","Happy Pink And Blue GIF By Simon Falk","","","","WOMAN | DANCING | GRADIENT | CHECKERED | COLOR SHIFT","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406248.webp","Good Morning","Good Morning (2024)","Good Morning (2024) Technique - 3D animation , Weirdcore Editor - Alexandre Louvenaz Original Source - Link","Alexandre Louvenaz","","","","3D animation | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/19/261708344171.webp","Peter Gabriel - Sledgehammer","Peter Gabriel - Sledgehammer (1986)","Directed by Stephen R. Johnson, produced by Adam Whittaker. Claymation, pixilation, and stop motion animation provided by Aardman Animations and the Brothers Quay.","Stephen Johnson","","","DANCING | CHICKEN","1980s | Claymation | Stop Motion | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707405681.webp","Stop Motion Clay GIF","Stop Motion Clay GIF (2022)","From stop motion director Trent Shy.","Trent Shy","","","MALE | YELLOW | HORROR | CLAY | LOOP","Claymation | Stop Motion | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/15/261707975389.webp","Dream Corp LLC","Dream Corp LLC (2016)","An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor.","Daniel Stessen","","","SPACE | FACE | SPLIT","Duplication | Magical realism | Rotoscope | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007833.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","FLOWERS","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406511.webp","Happy Rainbow GIF","Happy Rainbow GIF (2020)","Happy Rainbow GIF (2020) Technique - Weirdcore Editor - Alexandre Louvenaz Original Source - Link","Alexandre Louvenaz","","","","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007143.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","ANIMATION | EXTERIOR | BABY","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406540.webp","Glitch Monster GIF","Glitch Monster GIF (2020)","Glitch Monster GIF (2020) Technique - Weirdcore Editor - Alexandre Louvenaz Original Source - Link","Alexandre Louvenaz","","","","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406436.webp","Eyes Love GIF","Eyes Love GIF (2021)","Eyes Love GIF (2021) Technique - Weirdcore Editor - Alexandre Louvenaz Original Source - Link","Alexandre Louvenaz","","","","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007219.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/01/27/261706396790.webp","Hunt for the Wilderpeople","Hunt for the Wilderpeople (2016)","A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","Luke Haigh, Tom Eagles, Yana Gorskaya","Lachlan Milne","David McLaren","HAMBURGER","Anthropo | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406980.webp","Best Wishes Love GIF","Best Wishes Love GIF (2021)","Best Wishes Love GIF (2021) Technique - Weirdcore Editor - PEEKASSO Original Source - Link HORSE RUN CAT GALLOP","PEEKASSO","","","HORSE | RUN | CAT | GALLOP","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007398.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","DAY | EXTERIOR | MOUTH | KID","Infinite Loop | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007177.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","ANIMATION | EXTERIOR | BABY","Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/08/261707406714.webp","Reaction GIF","Reaction GIF (2017)","Reaction GIF (2017) Technique - Giant , Scale Shift , Weirdcore Editor - Alexandre Louvenaz Original Source - Link","Alexandre Louvenaz","","","","Giant | Scale Shift | Weirdcore"
"https://asset.eyecannndy.com/media/clip/2024/02/04/261707007363.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","NIGHT | SPACE | EXTERIOR | SPACESHIP | OUTER SPACE | STARS | ROCKET SHIP","Weirdcore"
