video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402716.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","DAY | EXTERIOR | WATER FOUNTAIN","Photogrammetry | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702883223.webp","Gesticulation","Gesticulation (2014)","Gesticulation (2014) Technique - Wigglegram Director - Liaizon Wakest Original Source - Link INTERIOR WIGGLEGRAM PARTY","Liaizon Wakest","","","INTERIOR | WIGGLEGRAM | PARTY","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703408417.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","INTERIOR | KENDRICK LAMAR | COOL WHITE","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/09/10/261725944443.webp","ScHoolboy Q - Floating","ScHoolboy Q - Floating (2019)","Schoolboy Q's music video for ""Floating"" features a dizzying, dreamlike journey through the streets of Los Angeles, with distorted visuals and rapid camera movements capturing a surreal sense of disconnection. The video mirrors the song's hazy, laid-back vibe, immersing viewers in a trippy, out-of-body experience. Directors: @jackbegert @davefree Prod Co: @ajrfilms / @topdawgent Producer: @ajrfilms @davefree @autumn_hymes @dangerookipawaa Label: @topdawgent Reps: @retone @keemtde @bigbtde @moosatde DOP: @christopher.c.ripley 1st AC: @themeganjohnsondp 2nd AC: @angelogentileiii Camera Utility: Brent Johnson B Camera: @silva_screen AD Team : @haitianev Production Design @fusinadesigns Production Assistant @marcodinero @justjream Editor : @neal_farmstrong @jackbegert Vfx: @thermonuclear.tv @neal_farmstrong Stylist: @dianne Casting: @millticketceo Co Star: @mackwop @smactheboss @Im.t.f @misterctoon @iamhwood","Neal Farmer","Chris Ripley","","MALE | INTERIOR | WOMEN | MONEY | CASH | BEANIE | ORANGE | ROOM | GUY | STRIPPERS","Pixilation | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/02/13/261707812601.webp","It Chapter Two","It Chapter Two (2019)","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.","Jason Ballantine","Checco Varese","Company 3, Stephen Nakamura","MALE | INTERIOR","2010s | Altered state | Drug trip | Horror | Silhouette | Transitions | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401447.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","Kirby Gladstein Photography Technique - Wigglegram Original Source - Link CROWD","","","","CROWD","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710400553.webp","Photography by Kate Bones","Photography by Kate Bones","Photography by Kate Bones Technique - Wigglegram Original Source - Link","","","","","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/01/28/261706402598.webp","Source unknown","Source unknown","Know the source? Email jacobi@eycndy.com","","","","DAY | EXTERIOR | TREE","Photogrammetry | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/02/13/261707812090.webp","Murder by the Lake S1E12 (TV Series)","Murder by the Lake S1E12 (TV Series) (2022)","A long forgotten curse seems to resurface when children witness a murder in an old and deteriorated mansion. Detectives Zeiler and Oberländer need to investigate the past in order to uncover the truth.","Markus Hautz","Lukas Gnaiger, Matthias Poetsch","Lee Niederkofler","MALE | EXTERIOR","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401391.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","Kirby Gladstein Photography Technique - Wigglegram Original Source - Link NIGHT GROUP CROWD FESTIVAL","","","","NIGHT | GROUP | CROWD | FESTIVAL","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401071.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","Kirby Gladstein Photography Technique - Product , Product: Alcohol , Wigglegram Original Source - Link OVERHEAD BASKETBALL NET HENNESY","","","","OVERHEAD | BASKETBALL | NET | HENNESY","Product | Product: Alcohol | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/01/09/261704834836.webp","Nike - Nothing Beats a Londoner","Nike - Nothing Beats a Londoner (2018)","Energetic and competitive, London's youth, portrayed in Nike's now iconic commercial showcase their city and sporting prowess, inspired by local icons.","Joe Guest","Nicolas Loir","","NIKE | SLOW MOTION | EXTERIOR | WIGGLEGRAM | BASKETBALL","Slow Motion | Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710400738.webp","Source unknown","Source unknown","Source unknown Technique - Wigglegram MALE INTERIOR PLAYING CARDS","","","","MALE | INTERIOR | PLAYING CARDS","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401431.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","Kirby Gladstein Photography Technique - Wigglegram Original Source - Link INTERIOR DANCING","","","","INTERIOR | DANCING","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702883161.webp","@wakest / Giphy","@wakest / Giphy (2016)","@wakest / Giphy (2016) Technique - Wigglegram Director - Liaizon Wakest Original Source - Link INTERIOR FLASH WIGGLEGRAM","Liaizon Wakest","","","INTERIOR | FLASH | WIGGLEGRAM","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401511.webp","Kirby Gladstein Photography","Kirby Gladstein Photography","Kirby Gladstein Photography Technique - Wigglegram Original Source - Link LOW ANGLE ARTIST STAGE MUSICIAN","","","","LOW ANGLE | ARTIST | STAGE | MUSICIAN","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2023/12/24/261703409539.webp","Kendrick Lamar - Humble","Kendrick Lamar - Humble (2017)","The visually striking ""Humble"" music video, directed by Dave Meyer and reminiscent of Hype Williams' style, breathes life into Kendrick Lamar's ideas, setting the tone for his upcoming album, which appears to focus on his status as a superstar rather than a complex concept.","Greg Scruton","Scott Cunningham","Jaime O'Bradovich","KENDRICK LAMAR | ANGLE | HIGH","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710400353.webp","Source unknown","Source unknown","Source unknown Technique - Wigglegram PHARRELL","","","","PHARRELL","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710401589.webp","Source unknown","Source unknown","Source unknown Technique - Wigglegram Original Source - Link","","","","","Wigglegram"
"https://asset.eyecannndy.com/media/clip/2024/03/14/261710400582.webp","Photography by Kate Bones","Photography by Kate Bones","Photography by Kate Bones Technique - Wigglegram Original Source - Link WOMAN","","","","WOMAN","Wigglegram"
