video_url,alt_text,title,description,director,dop,colorist,tags,technique_tags
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/18/6PharrellWilliams-CashInCashOutOfficialVideoft.21SavageTylerTheCreator/d1ec509a8b46f3b80ae1bee963df1d39.gif","Pharrell Williams - Cash In Cash Out","Pharrell Williams - Cash In Cash Out (2022)","""Cash In Cash Out"" is a song produced by American musician Pharrell Williams, featuring vocals from Atlanta-based rapper 21 Savage and American rapper Tyler, the Creator. Written by all three, it was released as a single through Columbia Records on June 10, 2022. Williams first teased the song on his TikTok account June 6, 2022. An accompanying music video was released, featuring a zoetrope-inspired CG animation style.","Nicolas Larrouquere","","Connor Coolbear","RED | TYLER THE CREATOR | BLUE | PORTRAIT | PHARRELL | FACES | 21 SAVAGE","3D animation | Low Angle | Miniature | Stop Motion | Zoetrope"
"https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/18/6VWTheWheel/88212991f4a4299bcc45cb236f9cce62.gif","Volkswagen - The Wheel","Volkswagen - The Wheel (2021)","Volkswagen - The Wheel (2021) Technique - X-Axis Arc , Yo-Yo Zoom , Zoetrope Director - Sam Brown DOP - Sebastian Blenkov Editor - Sam Ostrove Colorist - Seamus O'Keane, The Mill, Thomas Mangham Original Source - Link WARM INTERIOR PHOTOGRAPHY","Sam Ostrove","Sebastian Blenkov","Seamus O'Keane, The Mill, Thomas Mangham","WARM | INTERIOR | PHOTOGRAPHY","X-Axis Arc | Yo-Yo Zoom | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860205.webp","Volkswagen - The Wheel","Volkswagen - The Wheel (2021)","Volkswagen - The Wheel (2021) Technique - Zoetrope Director - Sam Brown DOP - Sebastian Blenkov Editor - Sam Ostrove Colorist - Seamus O'Keane, The Mill, Thomas Mangham Original Source - Link SEPIA","Sam Ostrove","Sebastian Blenkov","Seamus O'Keane, The Mill, Thomas Mangham","SEPIA","Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860247.webp","Volkswagen - The Wheel","Volkswagen - The Wheel (2021)","Volkswagen - The Wheel (2021) Technique - Stop Motion , Zoetrope Director - Sam Brown DOP - Sebastian Blenkov Editor - Sam Ostrove Colorist - Seamus O'Keane, The Mill, Thomas Mangham Original Source - Link WARM INTERIOR SILHOUETTE","Sam Ostrove","Sebastian Blenkov","Seamus O'Keane, The Mill, Thomas Mangham","WARM | INTERIOR | SILHOUETTE","Stop Motion | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860001.webp","Volkswagen - The Wheel","Volkswagen - The Wheel (2021)","Volkswagen - The Wheel (2021) Technique - Zoetrope Director - Sam Brown DOP - Sebastian Blenkov Editor - Sam Ostrove Colorist - Seamus O'Keane, The Mill, Thomas Mangham Original Source - Link WARM INTERIOR","Sam Ostrove","Sebastian Blenkov","Seamus O'Keane, The Mill, Thomas Mangham","WARM | INTERIOR","Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702859198.webp","Pharrell Williams - Cash In Cash Out","Pharrell Williams - Cash In Cash Out (2022)","""Cash In Cash Out"" is a song produced by American musician Pharrell Williams, featuring vocals from Atlanta-based rapper 21 Savage and American rapper Tyler, the Creator. Written by all three, it was released as a single through Columbia Records on June 10, 2022. Williams first teased the song on his TikTok account June 6, 2022. An accompanying music video was released, featuring a zoetrope-inspired CG animation style.","Nicolas Larrouquere","","Connor Coolbear","RED | TYLER THE CREATOR | BLUE | PORTRAIT | PHARRELL | FACES | 21 SAVAGE","Duplication | Magical realism | Stop Motion | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2024/04/01/261711985814.webp","Travis Scott - FE!N","Travis Scott - FE!N (2024)","The music video for ""Fe!n"" by Travis Scott featuring Playboi Carti was released on March 30, 2024, on Scott's YouTube channel via Vevo and directed by Gabriel Moses. The song itself, part of Scott's album ""Utopia,"" has been praised for its unique composition and contributions from both artists, showcasing a new vocal delivery by Carti and Scott's titular chorus.","Joseph Taylor, Trim Editing","Xiaolong Liu","John Lowe","YOUNG | GROUP | KIDS | CROWD | SCHOOL","Flash Cut | Locked-On | Speed Ramp | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860782.webp","Waveform","Waveform (2015)","Waveform (2015) Technique - Duplication , Vintage , Zoetrope Director - Stefan Nadelman Original Source - Link DAY OCEAN POLAROID SURFING STOP MOTION","Stefan Nadelman","","","DAY | OCEAN | POLAROID | SURFING | STOP MOTION","Duplication | Vintage | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702859939.webp","Volkswagen - The Wheel","Volkswagen - The Wheel (2021)","Volkswagen - The Wheel (2021) Technique - Phenakistiscope , Zoetrope Director - Sam Brown DOP - Sebastian Blenkov Editor - Sam Ostrove Colorist - Seamus O'Keane, The Mill, Thomas Mangham Original Source - Link WARM INTERIOR","Sam Ostrove","Sebastian Blenkov","Seamus O'Keane, The Mill, Thomas Mangham","WARM | INTERIOR","Phenakistiscope | Zoetrope"
"https://asset.eyecannndy.com/media/clip/2023/12/18/261702860496.webp","Waveform","Waveform (2015)","Waveform (2015) Technique - Duplication , Stop Motion , Zoetrope Director - Stefan Nadelman Original Source - Link DAY OCEAN POLAROID SURFING STOP MOTION","Stefan Nadelman","","","DAY | OCEAN | POLAROID | SURFING | STOP MOTION","Duplication | Stop Motion | Zoetrope"
